rank	name	state	income_35000_49999	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Onslow County	North Carolina	17.5	204,735	206,160	159	1,425	104
2	Marion County	Florida	16.9	377,370	385,915	1,462	8,545	94
2	Clayton County	Georgia	16.9	297,417	297,100	-178	-317	810
3	Charlotte County	Florida	16.4	187,960	194,843	1,113	6,883	110
4	Citrus County	Florida	16.2	154,403	158,083	560	3,680	105
4	Mohave County	Arizona	16.2	214,070	217,692	803	3,622	6
4	Jasper County	Missouri	16.2	122,766	123,155	5	389	74
5	Richland County	Ohio	16.1	124,840	125,195	-96	355	98
6	Clark County	Indiana	16.0	121,282	122,738	189	1,456	127
6	Hernando County	Florida	16.0	195,508	200,638	993	5,130	164
6	Osceola County	Florida	16.0	390,855	403,282	2,199	12,427	117
6	Douglas County	Oregon	16.0	111,235	111,978	34	743	9
6	Polk County	Florida	16.0	729,233	753,520	4,187	24,287	162
7	Randolph County	North Carolina	15.9	144,334	145,172	163	838	72
8	Yakima County	Washington	15.8	256,533	256,035	-195	-498	23
9	Hardin County	Kentucky	15.7	110,719	111,607	17	888	69
9	Bay County	Michigan	15.7	103,594	102,985	-262	-609	90
9	Horry County	South Carolina	15.7	353,498	365,579	2,469	12,081	125
9	Wayne County	North Carolina	15.7	117,226	116,835	-107	-391	81
10	St. Lucie County	Florida	15.6	331,275	343,579	2,049	12,304	232
