rank	name	state	income_mean	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Mateo County	California	182158	762,453	737,888	-1,989	-24,565	635
2	Marin County	California	181737	261,776	260,206	-545	-1,570	193
3	Loudoun County	Virginia	174594	422,597	427,592	1,638	4,995	320
4	Santa Clara County	California	174331	1,930,598	1,885,508	-5,661	-45,090	564
5	San Francisco County	California	167663	870,014	815,201	-3,951	-54,813	6,709
6	New York County	New York	163997	1,687,834	1,576,876	-6,417	-110,958	26,871
7	Fairfax County	Virginia	163072	1,148,472	1,139,720	-1,837	-8,752	1,125
8	Nassau County	New York	158190	1,393,978	1,390,907	-1,796	-3,071	1,887
9	Fairfield County	Connecticut	157765	955,895	959,768	-1,524	3,873	593
10	Somerset County	New Jersey	157405	345,014	345,647	-347	633	442
