rank	name	state	income_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Loudoun County	Virginia	147111	422,597	427,592	1,638	4,995	320
2	Santa Clara County	California	130890	1,930,598	1,885,508	-5,661	-45,090	564
3	San Mateo County	California	128091	762,453	737,888	-1,989	-24,565	635
4	Fairfax County	Virginia	127866	1,148,472	1,139,720	-1,837	-8,752	1,125
5	Howard County	Maryland	124042	332,722	334,529	405	1,807	515
6	Arlington County	Virginia	122604	238,766	232,965	123	-5,801	3,460
7	Marin County	California	121671	261,776	260,206	-545	-1,570	193
8	Douglas County	Colorado	121393	360,102	368,990	2,124	8,888	170
9	Nassau County	New York	120036	1,393,978	1,390,907	-1,796	-3,071	1,887
10	San Francisco County	California	119136	870,014	815,201	-3,951	-54,813	6,709
