rank	name	state	income_percapita	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	New York County	New York	78771	1,687,834	1,576,876	-6,417	-110,958	26,871
2	Marin County	California	74446	261,776	260,206	-545	-1,570	193
3	Arlington County	Virginia	73078	238,766	232,965	123	-5,801	3,460
4	San Francisco County	California	72041	870,014	815,201	-3,951	-54,813	6,709
5	Alexandria city	Virginia	64835	159,097	154,706	-370	-4,391	3,999
6	San Mateo County	California	64450	762,453	737,888	-1,989	-24,565	635
7	Santa Clara County	California	59297	1,930,598	1,885,508	-5,661	-45,090	564
8	Morris County	New Jersey	58981	509,001	510,981	-284	1,980	428
9	Fairfield County	Connecticut	58851	955,895	959,768	-1,524	3,873	593
10	Hunterdon County	New Jersey	58795	128,839	129,924	-108	1,085	117
