rank	name	state	job_bus_sci_art	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Arlington County	Virginia	70.8	238,766	232,965	123	-5,801	3,460
2	District of Columbia	District of Columbia	65.5	690,093	670,050	548	-20,043	4,232
3	Howard County	Maryland	63.9	332,722	334,529	405	1,807	515
4	New York County	New York	62.3	1,687,834	1,576,876	-6,417	-110,958	26,871
5	Alexandria city	Virginia	60.6	159,097	154,706	-370	-4,391	3,999
6	Loudoun County	Virginia	59.9	422,597	427,592	1,638	4,995	320
7	San Francisco County	California	59.1	870,014	815,201	-3,951	-54,813	6,709
8	Fairfax County	Virginia	58.9	1,148,472	1,139,720	-1,837	-8,752	1,125
9	Middlesex County	Massachusetts	58.2	1,629,422	1,614,742	-2,580	-14,680	762
10	Orange County	North Carolina	57.6	148,792	148,884	96	92	145
