rank	name	state	job_construction	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Grant County	Washington	25.2	99,365	100,297	242	932	14
2	Madera County	California	22.2	156,620	159,410	365	2,790	29
3	Kings County	California	20.5	152,627	153,443	141	816	43
4	Yakima County	Washington	20.2	256,533	256,035	-195	-498	23
5	Kern County	California	19.6	909,997	917,673	762	7,676	44
6	Monterey County	California	19.4	438,500	437,325	-535	-1,175	51
6	Tulare County	California	19.4	473,736	477,054	619	3,318	38
7	Merced County	California	19.2	281,726	286,461	524	4,735	57
8	Ector County	Texas	17.4	165,467	161,091	296	-4,376	69
9	Bastrop County	Texas	17.0	97,983	102,058	767	4,075	44
10	Yuma County	Arizona	16.5	204,437	206,990	556	2,553	14
