rank	name	state	job_prod_transpo	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Whitfield County	Georgia	33.5	102,727	102,848	-137	121	137
2	Elkhart County	Indiana	29.2	206,842	206,921	-205	79	172
3	Johnson County	Texas	27.4	180,733	187,280	806	6,547	100
4	Sheboygan County	Wisconsin	25.5	117,937	117,747	-97	-190	89
5	Catawba County	North Carolina	25.3	160,747	161,723	137	976	156
6	Allen County	Ohio	25.1	102,059	101,670	-147	-389	98
7	Muskegon County	Michigan	24.7	175,817	176,511	-7	694	135
8	Schuylkill County	Pennsylvania	24.1	142,777	143,264	-272	487	71
9	Randolph County	North Carolina	23.8	144,334	145,172	163	838	72
10	Richland County	Ohio	23.1	124,840	125,195	-96	355	98
