rank	name	state	job_sales	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Lowndes County	Georgia	27.6	118,316	119,276	65	960	93
2	Charlotte County	Florida	26.7	187,960	194,843	1,113	6,883	110
3	Sandoval County	New Mexico	26.6	149,218	151,369	384	2,151	16
4	Webb County	Texas	26.5	267,234	267,945	120	711	31
5	Lake County	Florida	26.3	385,875	395,804	1,919	9,929	161
6	Marion County	Florida	26.1	377,370	385,915	1,462	8,545	94
6	Volusia County	Florida	26.1	554,901	564,412	1,358	9,511	198
7	Horry County	South Carolina	26.0	353,498	365,579	2,469	12,081	125
7	Washington County	Utah	26.0	181,924	191,226	1,645	9,302	30
8	Canadian County	Oklahoma	25.8	155,507	161,737	1,102	6,230	70
8	Tom Green County	Texas	25.8	120,105	119,411	102	-694	30
9	Clay County	Florida	25.7	218,797	222,361	552	3,564	142
10	Garland County	Arkansas	25.5	100,162	100,330	-18	168	57
10	Sumter County	Florida	25.5	130,897	135,638	1,145	4,741	94
10	Pinellas County	Florida	25.5	958,752	956,615	-355	-2,137	1,349
10	Lee County	Florida	25.5	764,679	787,976	3,857	23,297	390
