rank	name	state	job_service	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Bronx County	New York	33.8	1,466,438	1,424,948	-6,216	-41,490	13,045
2	Maui County	Hawaii	28.1	164,655	164,221	-99	-434	55
3	Atlantic County	New Jersey	27.9	274,191	274,966	-343	775	191
4	Clark County	Nevada	27.3	2,273,386	2,292,476	7,925	19,090	112
5	Cameron County	Texas	27.1	421,191	423,029	174	1,838	183
6	Imperial County	California	26.8	179,489	179,851	-213	362	17
7	Mohave County	Arizona	26.2	214,070	217,692	803	3,622	6
8	Hawaii County	Hawaii	24.8	200,746	202,906	117	2,160	19
9	Collier County	Florida	24.5	377,079	385,980	1,327	8,901	75
10	Horry County	South Carolina	24.0	353,498	365,579	2,469	12,081	125
