rank	name	state	occupied_owner	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Sumter County	Florida	88.6	130,897	135,638	1,145	4,741	94
2	Livingston County	Michigan	85.1	193,973	195,014	107	1,041	133
3	Allegan County	Michigan	84.4	120,596	120,950	94	354	57
4	Forsyth County	Georgia	84.2	252,786	260,206	1,503	7,420	447
5	Hunterdon County	New Jersey	83.9	128,839	129,924	-108	1,085	117
6	Sussex County	New Jersey	83.6	144,082	145,543	-139	1,461	108
6	Scott County	Minnesota	83.6	151,265	153,268	337	2,003	166
7	Citrus County	Florida	83.5	154,403	158,083	560	3,680	105
7	Kendall County	Illinois	83.5	132,291	134,867	422	2,576	163
8	Rockwall County	Texas	83.4	109,090	116,381	1,271	7,291	353
9	Livingston Parish	Louisiana	83.2	142,726	145,830	444	3,104	87
10	Hanover County	Virginia	82.9	110,102	111,603	123	1,501	92
10	Wright County	Minnesota	82.9	141,759	144,845	422	3,086	85
