rank	name	state	occupied_renter	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Bronx County	New York	79.9	1,466,438	1,424,948	-6,216	-41,490	13,045
2	New York County	New York	75.9	1,687,834	1,576,876	-6,417	-110,958	26,871
3	Kings County	New York	69.7	2,727,393	2,641,052	-8,681	-86,341	14,698
4	Hudson County	New Jersey	67.6	722,655	702,463	-2,199	-20,192	5,871
5	Suffolk County	Massachusetts	63.7	795,431	771,245	-2,505	-24,186	5,112
6	San Francisco County	California	62.0	870,014	815,201	-3,951	-54,813	6,709
7	Clarke County	Georgia	59.5	128,489	128,711	-182	222	417
8	Arlington County	Virginia	57.5	238,766	232,965	123	-5,801	3,460
8	District of Columbia	District of Columbia	57.5	690,093	670,050	548	-20,043	4,232
9	Alexandria city	Virginia	56.6	159,097	154,706	-370	-4,391	3,999
10	Norfolk city	Virginia	56.5	237,591	235,089	-414	-2,502	1,704
