rank	name	state	race_asian	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Honolulu County	Hawaii	42.6	1,013,227	1,000,890	-3,281	-12,337	643
2	Santa Clara County	California	37.7	1,930,598	1,885,508	-5,661	-45,090	564
3	San Francisco County	California	34.3	870,014	815,201	-3,951	-54,813	6,709
4	Alameda County	California	31.3	1,679,844	1,648,556	-2,509	-31,288	863
5	San Mateo County	California	29.4	762,453	737,888	-1,989	-24,565	635
6	Maui County	Hawaii	28.9	164,655	164,221	-99	-434	55
7	Queens County	New York	25.9	2,395,791	2,331,143	-9,673	-64,648	8,278
8	Middlesex County	New Jersey	24.5	861,908	860,807	-1,254	-1,101	1,075
9	Hawaii County	Hawaii	22.7	200,746	202,906	117	2,160	19
10	Orange County	California	21.1	3,184,101	3,167,809	-2,888	-16,292	1,543
