rank	name	state	race_mixed	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Hawaii County	Hawaii	29.5	200,746	202,906	117	2,160	19
2	Maui County	Hawaii	23.4	164,655	164,221	-99	-434	55
3	Honolulu County	Hawaii	23.3	1,013,227	1,000,890	-3,281	-12,337	643
4	Webb County	Texas	14.6	267,234	267,945	120	711	31
5	San Joaquin County	California	14.1	780,517	789,410	1,284	8,893	219
6	El Paso County	Texas	12.1	866,093	867,947	436	1,854	331
7	Hidalgo County	Texas	11.4	872,204	880,356	1,423	8,152	216
8	Comanche County	Oklahoma	11.1	121,129	122,063	4	934	44
9	Anchorage Municipality	Alaska	11.0	290,637	288,121	-610	-2,516	65
10	Imperial County	California	10.8	179,489	179,851	-213	362	17
10	Yuma County	Arizona	10.8	204,437	206,990	556	2,553	14
