rank	name	state	race_native	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Navajo County	Arizona	43.9	106,802	108,147	85	1,345	4
2	Robeson County	North Carolina	40.2	116,361	116,328	-169	-33	47
3	San Juan County	New Mexico	38.8	121,429	120,993	-232	-436	8
4	Coconino County	Arizona	26.1	145,116	145,052	15	-64	3
5	Sandoval County	New Mexico	12.3	149,218	151,369	384	2,151	16
6	Pennington County	South Dakota	8.2	109,475	111,806	253	2,331	16
7	Anchorage Municipality	Alaska	7.5	290,637	288,121	-610	-2,516	65
8	Matanuska-Susitna Borough	Alaska	6.0	107,460	110,686	379	3,226	2
9	Terrebonne Parish	Louisiana	5.7	109,319	108,708	-261	-611	34
10	Tulsa County	Oklahoma	5.1	670,157	672,858	878	2,701	456
