rank	name	state	race_pacific	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Hawaii County	Hawaii	12.0	200,746	202,906	117	2,160	19
2	Maui County	Hawaii	11.2	164,655	164,221	-99	-434	55
3	Honolulu County	Hawaii	10.0	1,013,227	1,000,890	-3,281	-12,337	643
4	Anchorage Municipality	Alaska	2.9	290,637	288,121	-610	-2,516	65
5	Washington County	Arkansas	2.6	246,662	250,057	791	3,395	103
6	Salt Lake County	Utah	1.6	1,186,236	1,186,421	998	185	617
7	Pierce County	Washington	1.5	922,828	925,708	1,698	2,880	214
8	San Mateo County	California	1.3	762,453	737,888	-1,989	-24,565	635
9	Sacramento County	California	1.1	1,586,241	1,588,921	1,186	2,680	636
10	Marion County	Oregon	1.0	346,202	347,119	282	917	113
