rank	name	state	race_white	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Livingston County	Michigan	96.0	193,973	195,014	107	1,041	133
2	Franklin County	Missouri	95.6	104,769	105,231	87	462	44
3	Butler County	Pennsylvania	95.5	193,851	194,273	88	422	95
3	Kennebec County	Maine	95.5	123,754	124,486	112	732	55
4	Tazewell County	Illinois	95.4	131,018	130,413	-325	-605	78
5	Blair County	Pennsylvania	95.2	122,518	121,767	-304	-751	90
6	Oswego County	New York	94.9	117,351	117,387	-174	36	48
7	York County	Maine	94.7	212,089	214,591	117	2,502	84
8	Medina County	Ohio	94.5	182,550	183,092	80	542	168
9	Wayne County	Ohio	94.4	116,840	116,710	-54	-130	81
9	Clermont County	Ohio	94.4	208,635	209,642	34	1,007	179
10	Columbiana County	Ohio	94.3	101,607	101,310	-270	-297	74
10	Westmoreland County	Pennsylvania	94.3	353,998	353,057	-665	-941	133
10	Jefferson County	Missouri	94.3	226,929	227,771	190	842	134
