rank	name	state	rent_1500_1999	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Prince William County	Virginia	43.9	482,738	484,472	534	1,734	558
2	Howard County	Maryland	43.7	332,722	334,529	405	1,807	515
3	Charles County	Maryland	42.8	166,682	168,698	65	2,016	142
4	Fairfax County	Virginia	39.0	1,148,472	1,139,720	-1,837	-8,752	1,125
5	Alexandria city	Virginia	38.5	159,097	154,706	-370	-4,391	3,999
6	Douglas County	Colorado	38.1	360,102	368,990	2,124	8,888	170
7	Montgomery County	Maryland	38.0	1,061,243	1,054,827	-818	-6,416	826
8	Anne Arundel County	Maryland	36.8	588,769	590,336	508	1,567	549
9	Williamson County	Tennessee	36.2	249,424	255,735	1,698	6,311	169
10	Loudoun County	Virginia	33.8	422,597	427,592	1,638	4,995	320
