rank	name	state	rent_3000_more	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Mateo County	California	31.4	762,453	737,888	-1,989	-24,565	635
2	Santa Clara County	California	26.7	1,930,598	1,885,508	-5,661	-45,090	564
3	San Francisco County	California	25.2	870,014	815,201	-3,951	-54,813	6,709
4	Marin County	California	23.4	261,776	260,206	-545	-1,570	193
5	New York County	New York	22.1	1,687,834	1,576,876	-6,417	-110,958	26,871
6	Honolulu County	Hawaii	15.5	1,013,227	1,000,890	-3,281	-12,337	643
7	Alameda County	California	13.0	1,679,844	1,648,556	-2,509	-31,288	863
8	Nassau County	New York	12.9	1,393,978	1,390,907	-1,796	-3,071	1,887
9	Arlington County	Virginia	12.3	238,766	232,965	123	-5,801	3,460
10	Orange County	California	10.8	3,184,101	3,167,809	-2,888	-16,292	1,543
