rank	name	state	rent_500_less	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Cambria County	Pennsylvania	29.6	132,957	132,167	-515	-790	74
2	Navajo County	Arizona	26.0	106,802	108,147	85	1,345	4
3	Robeson County	North Carolina	25.9	116,361	116,328	-169	-33	47
4	Columbiana County	Ohio	25.1	101,607	101,310	-270	-297	74
5	Mercer County	Pennsylvania	24.8	110,333	109,972	-319	-361	63
6	Fayette County	Pennsylvania	23.9	128,393	126,931	-411	-1,462	62
7	Bay County	Michigan	23.2	103,594	102,985	-262	-609	90
8	Sullivan County	Tennessee	22.7	158,092	159,265	-71	1,173	149
9	St. Louis County	Minnesota	22.3	199,962	199,182	-269	-780	12
10	St. Lawrence County	New York	21.9	108,311	108,051	-194	-260	16
10	Beaver County	Pennsylvania	21.9	167,732	166,624	-483	-1,108	148
