rank	name	state	rent_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Mateo County	California	2435	762,453	737,888	-1,989	-24,565	635
2	Santa Clara County	California	2386	1,930,598	1,885,508	-5,661	-45,090	564
3	Marin County	California	2170	261,776	260,206	-545	-1,570	193
4	San Francisco County	California	2010	870,014	815,201	-3,951	-54,813	6,709
5	Arlington County	Virginia	2005	238,766	232,965	123	-5,801	3,460
6	Contra Costa County	California	1928	1,165,562	1,161,413	-365	-4,149	625
6	Orange County	California	1928	3,184,101	3,167,809	-2,888	-16,292	1,543
7	Loudoun County	Virginia	1913	422,597	427,592	1,638	4,995	320
8	Alameda County	California	1904	1,679,844	1,648,556	-2,509	-31,288	863
9	Fairfax County	Virginia	1898	1,148,472	1,139,720	-1,837	-8,752	1,125
10	Ventura County	California	1854	842,921	839,784	-922	-3,137	176
