rank	name	state	rooms_9	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Stafford County	Virginia	39.0	157,604	160,877	677	3,273	231
2	Williamson County	Tennessee	37.0	249,424	255,735	1,698	6,311	169
3	Loudoun County	Virginia	36.9	422,597	427,592	1,638	4,995	320
3	Forsyth County	Georgia	36.9	252,786	260,206	1,503	7,420	447
4	Douglas County	Colorado	36.0	360,102	368,990	2,124	8,888	170
5	Davis County	Utah	34.4	363,492	367,285	813	3,793	474
6	Carver County	Minnesota	34.1	107,286	108,626	364	1,340	118
7	Fayette County	Georgia	33.0	119,441	120,574	247	1,133	239
8	Hamilton County	Indiana	32.7	348,868	356,650	1,401	7,782	349
9	Delaware County	Ohio	32.4	215,062	220,740	938	5,678	192
10	Scott County	Minnesota	31.9	151,265	153,268	337	2,003	166
