rank	name	state	rooms_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Forsyth County	Georgia	7.7	252,786	260,206	1,503	7,420	447
1	Stafford County	Virginia	7.7	157,604	160,877	677	3,273	231
2	Williamson County	Tennessee	7.6	249,424	255,735	1,698	6,311	169
3	Davis County	Utah	7.4	363,492	367,285	813	3,793	474
3	Douglas County	Colorado	7.4	360,102	368,990	2,124	8,888	170
3	Fayette County	Georgia	7.4	119,441	120,574	247	1,133	239
3	Loudoun County	Virginia	7.4	422,597	427,592	1,638	4,995	320
4	Carver County	Minnesota	7.3	107,286	108,626	364	1,340	118
4	Delaware County	Ohio	7.3	215,062	220,740	938	5,678	192
5	Hamilton County	Indiana	7.2	348,868	356,650	1,401	7,782	349
5	Scott County	Minnesota	7.2	151,265	153,268	337	2,003	166
5	Rockwall County	Texas	7.2	109,090	116,381	1,271	7,291	353
6	Carroll County	Maryland	7.1	172,890	173,873	-1	983	150
6	Hunterdon County	New Jersey	7.1	128,839	129,924	-108	1,085	117
7	Hanover County	Virginia	7.0	110,102	111,603	123	1,501	92
7	Charles County	Maryland	7.0	166,682	168,698	65	2,016	142
7	Howard County	Maryland	7.0	332,722	334,529	405	1,807	515
7	Prince William County	Virginia	7.0	482,738	484,472	534	1,734	558
7	Chester County	Pennsylvania	7.0	534,645	538,649	232	4,004	277
8	Chesterfield County	Virginia	6.9	365,566	370,688	1,018	5,122	338
8	Harford County	Maryland	6.9	261,122	262,977	198	1,855	232
8	Kendall County	Illinois	6.9	132,291	134,867	422	2,576	163
8	Washington County	Minnesota	6.9	268,191	272,256	623	4,065	273
8	Spotsylvania County	Virginia	6.9	140,475	143,676	443	3,201	138
8	Frederick County	Maryland	6.9	272,737	279,835	1,020	7,098	164
9	Union County	North Carolina	6.8	239,287	243,648	1,020	4,361	149
9	Utah County	Utah	6.8	663,143	684,986	3,744	21,843	132
9	Columbia County	Georgia	6.8	156,773	159,639	763	2,866	212
9	Fort Bend County	Texas	6.8	828,632	858,527	5,853	29,895	385
9	Cherokee County	Georgia	6.8	268,043	274,615	1,423	6,572	252
10	Medina County	Ohio	6.7	182,550	183,092	80	542	168
10	Morris County	New Jersey	6.7	509,001	510,981	-284	1,980	428
10	Bucks County	Pennsylvania	6.7	646,008	646,098	-530	90	413
