rank	name	state	units_1_attached	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Philadelphia County	Pennsylvania	58.2	1,601,005	1,576,251	-2,792	-24,754	4,530
2	Baltimore city	Maryland	51.7	583,132	576,498	-2,576	-6,634	2,750
3	Delaware County	Pennsylvania	31.1	576,388	573,849	-442	-2,539	1,205
4	Loudoun County	Virginia	29.7	422,597	427,592	1,638	4,995	320
5	Schuylkill County	Pennsylvania	27.9	142,777	143,264	-272	487	71
6	Prince William County	Virginia	26.5	482,738	484,472	534	1,734	558
7	Richmond County	New York	25.4	495,522	493,494	-225	-2,028	3,312
8	Lehigh County	Pennsylvania	24.7	374,504	375,539	-53	1,035	420
9	Baltimore County	Maryland	24.0	853,073	849,316	-1,462	-3,757	548
10	District of Columbia	District of Columbia	23.9	690,093	670,050	548	-20,043	4,232
