rank	name	state	units_1_detached	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Paulding County	Georgia	91.4	169,660	173,780	999	4,120	215
2	Union County	North Carolina	87.6	239,287	243,648	1,020	4,361	149
3	Rockwall County	Texas	87.1	109,090	116,381	1,271	7,291	353
4	Newton County	Georgia	85.9	112,780	115,355	297	2,575	163
4	Hanover County	Virginia	85.9	110,102	111,603	123	1,501	92
5	Fayette County	Georgia	85.0	119,441	120,574	247	1,133	239
6	Fort Bend County	Texas	84.7	828,632	858,527	5,853	29,895	385
6	Forsyth County	Georgia	84.7	252,786	260,206	1,503	7,420	447
7	Matanuska-Susitna Borough	Alaska	83.5	107,460	110,686	379	3,226	2
8	Coweta County	Georgia	83.4	146,653	149,956	495	3,303	131
9	Canadian County	Oklahoma	83.2	155,507	161,737	1,102	6,230	70
10	Nevada County	California	82.7	102,199	103,487	-42	1,288	42
