rank	name	state	units_20_more	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	New York County	New York	78.8	1,687,834	1,576,876	-6,417	-110,958	26,871
2	Bronx County	New York	61.8	1,466,438	1,424,948	-6,216	-41,490	13,045
3	Arlington County	Virginia	47.9	238,766	232,965	123	-5,801	3,460
4	Alexandria city	Virginia	40.6	159,097	154,706	-370	-4,391	3,999
5	District of Columbia	District of Columbia	37.8	690,093	670,050	548	-20,043	4,232
6	Kings County	New York	36.0	2,727,393	2,641,052	-8,681	-86,341	14,698
7	Miami-Dade County	Florida	32.5	2,692,459	2,662,777	-9,308	-29,682	541
8	Queens County	New York	32.1	2,395,791	2,331,143	-9,673	-64,648	8,278
9	Hudson County	New Jersey	31.1	722,655	702,463	-2,199	-20,192	5,871
10	Cass County	North Dakota	29.9	184,868	186,562	343	1,694	41
