rank	name	state	units_3_4	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Suffolk County	Massachusetts	23.0	795,431	771,245	-2,505	-24,186	5,112
2	Providence County	Rhode Island	17.1	660,015	658,221	-726	-1,794	621
3	Kings County	New York	16.2	2,727,393	2,641,052	-8,681	-86,341	14,698
4	Essex County	New Jersey	15.8	862,032	854,917	-1,696	-7,115	2,618
5	Bristol County	Massachusetts	15.3	579,172	580,164	-28	992	405
6	St. Louis city	Missouri	14.1	300,528	293,310	-1,050	-7,218	1,834
7	Hudson County	New Jersey	13.6	722,655	702,463	-2,199	-20,192	5,871
8	Worcester County	Massachusetts	11.8	861,461	862,029	-650	568	220
9	Essex County	Massachusetts	11.7	809,218	807,074	-611	-2,144	633
10	San Francisco County	California	11.0	870,014	815,201	-3,951	-54,813	6,709
