rank	name	state	units_boat_rv_van	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Yuma County	Arizona	1.9	204,437	206,990	556	2,553	14
2	Yavapai County	Arizona	1.1	237,067	242,253	858	5,186	12
2	Bastrop County	Texas	1.1	97,983	102,058	767	4,075	44
2	Cowlitz County	Washington	1.1	110,924	111,524	194	600	38
3	Ector County	Texas	0.9	165,467	161,091	296	-4,376	69
3	Hunt County	Texas	0.9	100,231	103,394	275	3,163	48
4	Pinal County	Arizona	0.8	429,583	449,557	4,319	19,974	32
4	Highlands County	Florida	0.8	101,222	103,296	-13	2,074	39
5	Sumter County	Florida	0.7	130,897	135,638	1,145	4,741	94
5	Jackson County	Oregon	0.7	223,394	223,734	135	340	31
5	Douglas County	Oregon	0.7	111,235	111,978	34	743	9
6	Benton County	Washington	0.6	207,230	210,025	357	2,795	48
6	Galveston County	Texas	0.6	351,458	355,062	776	3,604	361
6	Livingston Parish	Louisiana	0.6	142,726	145,830	444	3,104	87
7	Hidalgo County	Texas	0.5	872,204	880,356	1,423	8,152	216
7	Linn County	Oregon	0.5	128,936	129,839	326	903	22
7	Greene County	Missouri	0.5	299,060	300,865	145	1,805	172
7	Imperial County	California	0.5	179,489	179,851	-213	362	17
7	Lane County	Oregon	0.5	382,940	383,189	-31	249	32
7	Yamhill County	Oregon	0.5	107,832	108,239	110	407	58
7	Mohave County	Arizona	0.5	214,070	217,692	803	3,622	6
7	San Juan County	New Mexico	0.5	121,429	120,993	-232	-436	8
7	Lake County	Florida	0.5	385,875	395,804	1,919	9,929	161
8	Terrebonne Parish	Louisiana	0.4	109,319	108,708	-261	-611	34
8	Brazoria County	Texas	0.4	373,368	379,689	1,337	6,321	108
8	Cochise County	Arizona	0.4	125,398	126,050	-49	652	8
9	Citrus County	Florida	0.3	154,403	158,083	560	3,680	105
9	Johnson County	Texas	0.3	180,733	187,280	806	6,547	100
9	Canyon County	Idaho	0.3	232,714	243,115	1,609	10,401	160
9	Beaufort County	South Carolina	0.3	187,691	191,748	574	4,057	129
9	Yolo County	California	0.3	216,255	216,986	-148	731	83
9	Faulkner County	Arkansas	0.3	123,666	125,106	168	1,440	75
9	Montgomery County	Texas	0.3	624,938	648,886	4,495	23,948	240
9	Navajo County	Arizona	0.3	106,802	108,147	85	1,345	4
9	Pima County	Arizona	0.3	1,045,599	1,052,030	2,166	6,431	44
9	Bay County	Florida	0.3	174,461	179,168	-755	4,707	91
9	Ascension Parish	Louisiana	0.3	126,984	128,369	484	1,385	171
9	Guadalupe County	Texas	0.3	173,541	177,036	835	3,495	96
9	Parker County	Texas	0.3	149,432	156,764	1,210	7,332	67
9	Marin County	California	0.3	261,776	260,206	-545	-1,570	193
9	Baldwin County	Alabama	0.3	233,140	239,294	1,373	6,154	58
9	Escambia County	Florida	0.3	322,424	322,390	519	-34	189
9	Grayson County	Texas	0.3	136,014	139,336	471	3,322	58
9	Skagit County	Washington	0.3	129,852	130,696	329	844	29
9	Butte County	California	0.3	210,083	208,309	-1,549	-1,774	49
10	Limestone County	Alabama	0.2	104,322	107,517	752	3,195	74
10	Onslow County	North Carolina	0.2	204,735	206,160	159	1,425	104
10	Franklin County	Pennsylvania	0.2	155,874	156,289	-58	415	78
10	Wilson County	Tennessee	0.2	148,564	151,917	827	3,353	103
10	Marion County	Oregon	0.2	346,202	347,119	282	917	113
10	Santa Cruz County	California	0.2	270,353	267,792	-508	-2,561	232
10	Newton County	Georgia	0.2	112,780	115,355	297	2,575	163
10	Pasco County	Florida	0.2	565,745	584,067	3,854	18,322	302
10	El Dorado County	California	0.2	191,114	193,221	-71	2,107	44
10	Gallatin County	Montana	0.2	119,502	122,713	542	3,211	18
10	Kitsap County	Washington	0.2	275,660	274,314	49	-1,346	268
10	Maury County	Tennessee	0.2	101,700	104,760	726	3,060	66
10	Aiken County	South Carolina	0.2	169,032	170,776	224	1,744	62
10	Ellis County	Texas	0.2	194,272	202,678	1,817	8,406	84
10	Columbiana County	Ohio	0.2	101,607	101,310	-270	-297	74
10	Deschutes County	Oregon	0.2	199,355	204,801	1,102	5,446	26
10	Tom Green County	Texas	0.2	120,105	119,411	102	-694	30
10	Berkeley County	South Carolina	0.2	231,568	236,701	1,707	5,133	83
10	Manatee County	Florida	0.2	401,443	412,703	1,733	11,260	215
10	McLennan County	Texas	0.2	261,023	263,115	444	2,092	98
10	Coweta County	Georgia	0.2	146,653	149,956	495	3,303	131
10	Tangipahoa Parish	Louisiana	0.2	133,549	135,217	392	1,668	66
10	Jefferson County	Texas	0.2	255,979	253,704	-547	-2,275	112
10	Polk County	Florida	0.2	729,233	753,520	4,187	24,287	162
10	Sarasota County	Florida	0.2	435,664	447,057	1,658	11,393	310
10	Vigo County	Indiana	0.2	106,007	105,994	-146	-13	101
10	Kern County	California	0.2	909,997	917,673	762	7,676	44
10	Charlotte County	Florida	0.2	187,960	194,843	1,113	6,883	110
10	Lowndes County	Georgia	0.2	118,316	119,276	65	960	93
10	Dallas County	Iowa	0.2	100,486	103,796	808	3,310	68
10	Humboldt County	California	0.2	136,351	136,310	-112	-41	15
10	Madera County	California	0.2	156,620	159,410	365	2,790	29
10	St. Tammany Parish	Louisiana	0.2	264,933	269,388	363	4,455	123
10	Shasta County	California	0.2	181,893	182,139	-262	246	19
10	Harrison County	Mississippi	0.2	208,613	209,396	-8	783	141
10	Fresno County	California	0.2	1,008,966	1,013,581	312	4,615	66
10	Pierce County	Washington	0.2	922,828	925,708	1,698	2,880	214
10	Pickens County	South Carolina	0.2	131,602	132,229	198	627	103
10	Buncombe County	North Carolina	0.2	269,621	271,534	169	1,913	160
10	Saline County	Arkansas	0.2	123,681	125,233	265	1,552	67
10	Jasper County	Missouri	0.2	122,766	123,155	5	389	74
10	Kings County	California	0.2	152,627	153,443	141	816	43
10	San Luis Obispo County	California	0.2	282,231	283,159	-193	928	33
10	Clackamas County	Oregon	0.2	422,160	422,537	759	377	87
10	Missoula County	Montana	0.2	118,238	119,533	316	1,295	18
10	Lubbock County	Texas	0.2	311,419	314,451	780	3,032	136
10	Whatcom County	Washington	0.2	227,304	228,831	457	1,527	42
10	Calcasieu Parish	Louisiana	0.2	216,416	205,282	-369	-11,134	74
10	Etowah County	Alabama	0.2	103,393	103,162	-43	-231	74
10	Nueces County	Texas	0.2	353,090	353,079	-88	-11	162
10	Cameron County	Texas	0.2	421,191	423,029	174	1,838	183
10	Maricopa County	Arizona	0.2	4,438,342	4,496,588	17,774	58,246	189
