rank	name	state	value_1000000_more	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Francisco County	California	63.3	870,014	815,201	-3,951	-54,813	6,709
2	San Mateo County	California	61.8	762,453	737,888	-1,989	-24,565	635
3	Santa Clara County	California	54.4	1,930,598	1,885,508	-5,661	-45,090	564
4	Marin County	California	53.6	261,776	260,206	-545	-1,570	193
5	New York County	New York	51.0	1,687,834	1,576,876	-6,417	-110,958	26,871
6	Alameda County	California	31.3	1,679,844	1,648,556	-2,509	-31,288	863
7	Kings County	New York	30.4	2,727,393	2,641,052	-8,681	-86,341	14,698
8	Santa Cruz County	California	27.1	270,353	267,792	-508	-2,561	232
9	Santa Barbara County	California	25.9	448,096	446,475	-133	-1,621	63
10	Contra Costa County	California	23.0	1,165,562	1,161,413	-365	-4,149	625
