rank	name	state	value_200000_299999	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Kendall County	Illinois	44.0	132,291	134,867	422	2,576	163
2	Osceola County	Florida	40.8	390,855	403,282	2,199	12,427	117
3	Kent County	Rhode Island	40.1	170,323	170,715	-40	392	391
4	Anoka County	Minnesota	39.8	364,299	367,018	412	2,719	336
5	Providence County	Rhode Island	38.7	660,015	658,221	-726	-1,794	621
6	Tolland County	Connecticut	38.3	149,650	150,293	-138	643	141
7	Kent County	Delaware	37.3	182,256	184,149	405	1,893	121
7	Merrimack County	New Hampshire	37.3	153,922	155,238	114	1,316	64
8	Spotsylvania County	Virginia	37.2	140,475	143,676	443	3,201	138
9	Cecil County	Maryland	37.1	103,740	103,905	15	165	116
10	Yellowstone County	Montana	37.0	165,045	167,146	314	2,101	25
10	Matanuska-Susitna Borough	Alaska	37.0	107,460	110,686	379	3,226	2
10	Kings County	California	37.0	152,627	153,443	141	816	43
