rank	name	state	value_50000_less	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	Robeson County	North Carolina	26.9	116,361	116,328	-169	-33	47
2	Genesee County	Michigan	22.3	405,648	404,208	-563	-1,440	245
2	Cameron County	Texas	22.3	421,191	423,029	174	1,838	183
3	Cambria County	Pennsylvania	22.0	132,957	132,167	-515	-790	74
3	Hidalgo County	Texas	22.0	872,204	880,356	1,423	8,152	216
4	Schuylkill County	Pennsylvania	20.7	142,777	143,264	-272	487	71
4	Saginaw County	Michigan	20.7	189,831	189,591	-293	-240	91
5	Wayne County	Michigan	19.7	1,790,225	1,774,816	-3,336	-15,409	1,120
6	Highlands County	Florida	19.5	101,222	103,296	-13	2,074	39
7	San Juan County	New Mexico	19.2	121,429	120,993	-232	-436	8
8	Delaware County	Indiana	19.1	111,669	111,871	-234	202	110
9	Wyandotte County	Kansas	17.8	168,873	167,046	-372	-1,827	425
9	Navajo County	Arizona	17.8	106,802	108,147	85	1,345	4
10	Mahoning County	Ohio	17.1	227,948	226,762	-666	-1,186	213
