rank	name	state	value_median	popestimate2020	popestimate2021	npopchg2020	npopchg2021	pop_sqkm
1	San Mateo County	California	1163100	762,453	737,888	-1,989	-24,565	635
2	San Francisco County	California	1152300	870,014	815,201	-3,951	-54,813	6,709
3	Santa Clara County	California	1061900	1,930,598	1,885,508	-5,661	-45,090	564
4	Marin County	California	1053600	261,776	260,206	-545	-1,570	193
5	New York County	New York	1024500	1,687,834	1,576,876	-6,417	-110,958	26,871
6	Alameda County	California	825300	1,679,844	1,648,556	-2,509	-31,288	863
7	Santa Cruz County	California	787000	270,353	267,792	-508	-2,561	232
8	Kings County	New York	734800	2,727,393	2,641,052	-8,681	-86,341	14,698
9	Arlington County	Virginia	731700	238,766	232,965	123	-5,801	3,460
10	Orange County	California	703800	3,184,101	3,167,809	-2,888	-16,292	1,543
