name	state	zscore_1_65
Abbeville County	South Carolina	"{""income_10000_14999"": ""{county:10.5|state:4.8|us:4.1}"", ""ancestry_scottish_irish"": ""{county:2.6|state:2.2|us:0.9}""}"
Acadia Parish	Louisiana	"{""ancestry_french"": ""{county:22.5|state:10.8|us:2.3}"", ""ancestry_frenchcanadian"": ""{county:7.7|state:2.8|us:0.6}""}"
Accomack County	Virginia	"{""age_55_59"": ""{county:9.3|state:6.8|us:6.7}"", ""ancestry_american"": ""{county:49.4|state:9.4|us:5.9}"", ""ancestry_west_indian"": ""{county:2.7|state:0.6|us:0.9}""}"
Ada County	Idaho	"{""rent_1000_1499"": ""{county:39.0|state:27.8|us:30.2}"", ""job_bus_sci_art"": ""{county:45.0|state:36.0|us:39.5}"", ""ancestry_english"": ""{county:19.7|state:17.1|us:7.7}"", ""built_2014_later"": ""{county:10.2|state:6.3|us:3.5}"", ""edu_bachelor_degree"": ""{county:26.5|state:19.3|us:20.2}"", ""edu_bachelor_higher"": ""{county:40.1|state:28.7|us:32.9}"", ""value_200000_299999"": ""{county:29.9|state:26.9|us:20.0}"", ""value_300000_499999"": ""{county:35.6|state:24.1|us:20.5}""}"
Adair County	Missouri	"{""rooms_1"": ""{county:6.8|state:1.8|us:2.3}"", ""age_15_19"": ""{county:11.0|state:6.5|us:6.5}"", ""age_20_24"": ""{county:19.4|state:6.7|us:6.7}"", ""units_3_4"": ""{county:7.9|state:4.6|us:4.3}"", ""edu_grad_degree"": ""{county:16.8|state:11.5|us:12.7}"", ""in_education_health"": ""{county:35.4|state:24.1|us:23.3}""}"
Adair County	Oklahoma	"{""edu_9_12"": ""{county:14.2|state:7.6|us:6.6}"", ""race_mixed"": ""{county:9.8|state:8.7|us:5.2}"", ""race_native"": ""{county:44.4|state:7.7|us:0.8}"", ""job_prod_transpo"": ""{county:27.2|state:14.3|us:13.1}""}"
Adair County	Kentucky	
Adair County	Iowa	"{""rooms_8"": ""{county:15.1|state:10.5|us:8.8}"", ""age_60_64"": ""{county:9.5|state:6.5|us:6.2}"", ""units_3_4"": ""{county:8.0|state:3.4|us:4.3}"", ""age_85_over"": ""{county:4.3|state:2.5|us:2.0}"", ""grapi_20_24"": ""{county:25.1|state:14.1|us:12.9}"", ""class_unpaid"": ""{county:1.3|state:0.2|us:0.2}"", ""ancestry_danish"": ""{county:4.9|state:1.6|us:0.4}"", ""built_1939_earlier"": ""{county:35.6|state:25.2|us:12.4}"", ""edu_associate_degree"": ""{county:14.8|state:11.8|us:8.6}""}"
Adams County	Mississippi	"{""edu_9_12"": ""{county:15.9|state:10.0|us:6.6}"", ""race_black"": ""{county:52.9|state:37.7|us:12.6}"", ""grapi_25_29"": ""{county:19.1|state:11.6|us:11.6}"", ""in_arts_food"": ""{county:15.0|state:9.5|us:9.4}"", ""built_1960_1969"": ""{county:21.3|state:11.5|us:10.5}"", ""income_10000_less"": ""{county:18.7|state:9.4|us:5.8}"", ""income_25000_34999"": ""{county:16.3|state:11.0|us:8.6}""}"
Adams County	North Dakota	"{""age_60_64"": ""{county:9.8|state:6.1|us:6.2}"", ""age_85_over"": ""{county:5.9|state:2.3|us:2.0}"", ""grapi_20_24"": ""{county:22.2|state:14.3|us:12.9}"", ""ancestry_czech"": ""{county:4.2|state:1.4|us:0.4}"", ""in_agri_mining"": ""{county:21.2|state:9.2|us:1.7}"", ""rent_2500_2999"": ""{county:4.3|state:0.4|us:2.6}"", ""ancestry_german"": ""{county:44.3|state:36.9|us:13.0}"", ""built_1940_1949"": ""{county:10.1|state:4.2|us:4.8}"", ""ancestry_russian"": ""{county:4.4|state:2.6|us:0.8}"", ""job_construction"": ""{county:20.1|state:11.9|us:8.7}"", ""ancestry_hungarian"": ""{county:2.7|state:0.3|us:0.4}"", ""ancestry_norwegian"": ""{county:24.1|state:23.7|us:1.3}"", ""class_selfemployed"": ""{county:19.8|state:7.4|us:5.9}"", ""income_10000_14999"": ""{county:10.0|state:3.9|us:4.1}""}"
