name	rooms_6	edu_9_12	race_black	units_mobile	housing_vacant	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_american	value_50000_99999	income_25000_34999	rank_rooms_6	rank_edu_9_12	rank_race_black	rank_units_mobile	rank_housing_vacant	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_value_50000_99999	rank_income_25000_34999
Alabama	20.4	9.1	26.6	13.0	16.8	14.2	17.2	12.5	16.2	19.7	10.5	5	3	6	5	7	7	6	4	1	8	5
Alaska	13.5	4.5	3.2	4.4	19.9	3.8	12.1	6.2	3.5	5.0	6.7	49	44	40	32	4	50	30	30	42	37	47
Arizona	18.6	7.0	4.5	10.3	13.1	7.0	10.9	7.3	3.7	6.7	9.0	16	17	35	11	22	40	41	26	38	32	27
Arkansas	20.4	8.1	15.2	11.7	15.2	13.4	17.3	13.3	9.8	22.9	11.3	5	5	14	9	16	8	5	3	8	4	2
California	17.0	7.2	5.7	3.6	7.8	9.0	11.9	2.7	2.9	2.0	7.1	34	14	32	37	51	30	34	45	48	47	43
Colorado	14.6	4.6	4.1	3.9	9.5	6.8	10.0	3.3	3.8	2.8	7.2	45	39	36	34	43	41	46	43	35	44	41
Connecticut	17.8	5.1	10.7	0.8	8.9	10.5	10.2	2.0	3.7	2.9	6.9	24	32	23	48	49	21	45	49	38	43	45
Delaware	19.7	6.1	22.0	7.8	15.4	8.0	11.7	4.9	6.0	3.7	8.9	7	22	8	19	13	36	37	34	20	40	30
District of Columbia	9.6	4.8	45.4	0.1	9.7	1.1	3.7	1.1	2.6	0.8	5.5	52	36	1	52	40	52	52	51	49	52	52
Florida	18.1	6.9	15.9	8.7	17.1	5.1	10.4	6.5	8.0	9.5	9.9	21	18	12	15	6	44	44	29	11	28	16
Georgia	18.6	7.7	31.6	8.6	11.5	10.5	14.7	7.7	9.7	12.9	9.3	16	10	4	16	30	21	12	22	9	22	22
Hawaii	14.1	4.1	1.9	0.2	14.4	2.9	9.3	1.0	1.3	1.2	6.3	48	50	44	51	18	51	49	52	51	50	50
Idaho	17.2	5.6	0.7	7.7	11.9	9.6	13.1	5.1	6.2	6.3	9.7	29	28	51	20	27	27	23	32	19	33	18
