name	age_5_9	rooms_1	rooms_2	rooms_3	rooms_4	age_25_34	units_3_4	class_govt	race_mixed	unemployed	age_5_under	age_under18	grapi_15_19	grapi_20_24	race_native	income_median	housing_vacant	rent_1500_1999	rent_2000_2499	built_1970_1979	built_1980_1989	in_public_admin	job_construction	in_transportation	units_boat_rv_van	value_200000_299999	value_300000_499999	edu_college_nodegree	income_100000_149999	income_150000_199999	edu_highschool_higher	rank_age_5_9	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_age_25_34	rank_units_3_4	rank_class_govt	rank_race_mixed	rank_unemployed	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_grapi_20_24	rank_race_native	rank_income_median	rank_housing_vacant	rank_rent_1500_1999	rank_rent_2000_2499	rank_built_1970_1979	rank_built_1980_1989	rank_in_public_admin	rank_job_construction	rank_in_transportation	rank_units_boat_rv_van	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher
Alabama	6.0	1.5	1.2	5.6	13.9	13.1	2.9	15.7	2.4	3.2	6.0	22.3	13.2	12.2	0.5	52035	16.8	4.5	0.9	16.0	14.7	5.5	9.5	5.5	0.1	17.6	11.1	21.6	13.1	4.9	86.9	27	40	51	50	41	33	41	16	50	28	25	25	34	44	24	46	7	42	45	21	19	13	18	21	13	41	44	19	45	44	45
Alaska	7.2	6.0	7.3	12.1	19.8	16.1	7.3	25.9	9.3	4.6	7.1	24.9	14.9	14.7	14.6	77790	19.9	18.9	11.0	23.0	26.1	11.8	11.6	8.9	0.2	29.3	33.0	26.0	19.3	9.6	93.1	2	2	3	4	4	2	4	1	3	3	2	4	7	1	1	9	4	12	5	2	1	2	5	1	3	4	9	2	2	6	7
Arizona	6.2	2.7	3.8	9.7	16.8	13.8	3.4	13.8	7.0	3.5	6.0	22.9	13.3	14.0	4.3	61529	13.1	14.9	3.6	16.6	17.6	4.9	8.9	5.5	0.4	26.4	24.2	24.9	15.0	6.1	87.9	19	13	9	13	14	19	33	31	9	16	25	19	30	7	7	29	22	19	19	17	4	18	29	21	1	13	18	7	31	26	39
Arkansas	6.5	2.1	2.0	6.8	15.9	13.1	3.4	15.2	4.0	3.0	6.3	23.3	14.3	13.3	0.6	49475	15.2	2.8	0.8	18.2	15.0	4.4	10.1	5.9	0.1	15.4	8.4	22.0	11.7	4.0	87.2	11	21	40	42	22	33	33	19	26	34	12	14	14	24	22	49	16	51	47	7	17	30	14	12	13	46	49	17	50	50	42
California	6.2	4.0	4.3	11.8	19.1	15.3	5.4	13.9	7.9	3.9	6.1	22.8	11.4	12.2	0.8	78672	7.8	23.8	14.5	17.5	15.1	4.6	8.8	5.5	0.1	9.9	26.0	20.9	17.1	9.4	83.9	19	5	4	5	5	4	11	29	6	7	19	20	49	44	18	7	51	3	2	12	14	25	31	21	13	49	14	24	15	8	51
Colorado	6.1	2.2	4.0	9.9	15.0	15.7	3.3	13.6	5.9	3.1	5.8	22.1	12.2	13.5	0.9	75231	9.5	24.8	9.0	17.8	14.2	4.6	9.1	4.8	0.1	18.4	38.5	20.8	18.2	8.7	92.1	24	19	8	12	34	3	36	34	13	31	33	30	44	19	16	12	43	2	11	10	24	25	24	35	13	38	1	26	8	12	14
Connecticut	5.4	2.1	2.9	9.1	15.2	12.4	8.4	12.8	4.8	4.0	5.1	20.6	12.2	12.3	0.3	79855	8.9	17.9	6.3	13.5	12.4	3.7	7.2	4.3	0.0	27.3	27.9	16.8	17.6	9.6	90.9	44	21	19	16	30	49	3	41	15	5	48	43	44	43	32	6	49	14	12	42	30	46	47	44	30	10	13	45	12	6	24
Delaware	5.7	1.2	1.1	5.4	11.9	13.3	2.2	15.2	3.9	3.6	5.7	21.1	13.7	11.8	0.4	69110	15.4	15.3	3.1	11.4	12.6	5.6	8.8	5.8	0.0	30.7	28.8	18.9	17.0	7.7	90.6	40	52	52	51	52	28	50	19	27	13	38	39	20	47	28	17	13	17	24	50	27	11	31	14	30	2	12	40	16	18	26
District of Columbia	5.0	7.9	10.5	21.5	17.3	23.3	7.0	24.8	4.2	5.0	6.4	18.0	13.5	13.7	0.3	90842	9.7	21.1	14.6	6.9	4.5	16.8	2.7	3.3	0.0	8.5	25.6	12.6	16.4	10.3	91.9	51	1	1	1	8	1	5	2	23	2	11	52	26	14	32	1	40	6	1	52	52	1	52	51	30	50	15	51	19	5	15
Florida	5.3	2.0	2.6	10.0	20.8	13.0	3.9	11.7	6.0	3.2	5.3	19.9	10.7	12.4	0.3	57703	17.1	19.6	6.2	17.4	20.0	4.3	9.3	5.8	0.2	24.8	22.2	19.8	13.7	5.6	88.5	45	25	25	10	2	39	25	49	12	28	44	45	52	42	32	38	6	10	13	14	2	33	21	14	3	15	23	37	40	32	35
Georgia	6.5	1.4	1.7	6.3	13.8	13.9	2.9	14.3	3.7	3.5	6.2	23.8	13.5	12.9	0.3	61224	11.5	12.8	2.9	13.5	16.5	4.8	8.8	6.7	0.1	21.0	17.4	20.2	14.9	6.3	87.9	11	47	45	46	42	15	41	26	33	16	14	9	26	29	32	30	30	23	26	42	7	21	31	3	13	28	29	35	33	22	39
Hawaii	5.9	5.5	7.4	13.7	20.4	14.3	4.0	20.4	24.3	2.8	6.2	21.3	10.8	11.8	0.2	83173	14.4	20.6	13.8	23.2	15.2	8.8	9.2	6.2	0.0	7.0	21.7	20.8	19.5	10.5	92.5	36	3	2	3	3	11	22	7	1	38	14	38	51	47	44	5	18	8	3	1	12	4	22	9	30	52	24	26	1	3	11
