name	age_75_84	job_sales	in_finance	grapi_20_24	race_hispanic	rent_1000_1499	built_1980_1989	built_1990_1999	built_2000_2009	units_boat_rv_van	edu_college_nodegree	rank_age_75_84	rank_job_sales	rank_in_finance	rank_grapi_20_24	rank_race_hispanic	rank_rent_1000_1499	rank_built_1980_1989	rank_built_1990_1999	rank_built_2000_2009	rank_units_boat_rv_van	rank_edu_college_nodegree
Alabama	5.1	21.5	5.6	12.2	4.4	23.5	14.7	18.1	15.3	0.1	21.6	11	20	36	44	41	41	19	6	16	13	19
Alaska	2.9	20.4	3.8	14.7	7.2	35.3	26.1	14.2	15.7	0.2	26.0	52	40	52	1	32	12	1	24	14	3	2
Arizona	5.5	23.9	8.6	14.0	31.5	38.0	17.6	20.0	23.4	0.4	24.9	6	3	3	7	5	6	4	3	2	1	7
Arkansas	5.1	21.2	4.9	13.3	7.6	17.6	15.0	17.8	15.7	0.1	22.0	11	24	46	24	30	50	17	8	14	13	17
California	4.1	20.9	6.0	12.2	39.1	26.7	15.1	11.0	10.9	0.1	20.9	46	30	30	44	4	30	14	41	39	13	24
Colorado	3.8	20.9	7.1	13.5	21.7	34.7	14.2	16.8	17.1	0.1	20.8	48	30	13	19	8	13	24	16	11	13	26
Connecticut	4.9	20.9	9.1	12.3	16.4	38.4	12.4	7.8	6.8	0.0	16.8	19	30	2	43	12	5	30	48	50	30	45
Delaware	5.6	21.6	9.4	11.8	9.4	46.0	12.6	15.1	18.7	0.0	18.9	5	19	1	47	29	1	27	20	8	30	40
District of Columbia	3.6	14.5	6.4	13.7	11.1	23.2	4.5	3.3	8.2	0.0	12.6	49	52	22	14	21	43	52	52	47	30	51
Florida	6.5	24.3	7.7	12.4	25.8	39.2	20.0	16.9	18.7	0.2	19.8	2	2	7	42	7	4	2	14	8	3	37
Georgia	3.9	22.0	6.4	12.9	9.6	36.6	16.5	20.6	21.0	0.1	20.2	47	7	22	29	26	10	7	2	3	13	35
Hawaii	5.1	22.9	6.6	11.8	10.7	25.7	15.2	13.9	12.3	0.0	20.8	11	5	19	47	23	35	12	27	30	30	26
Idaho	4.6	21.8	5.7	13.6	12.7	27.8	10.4	18.1	19.7	0.2	26.1	33	12	32	15	17	26	41	6	4	3	1
Illinois	4.5	21.5	7.3	13.3	17.2	30.4	9.1	11.3	10.8	0.0	20.4	35	20	9	24	11	21	48	40	42	30	33
Indiana	4.5	20.6	5.2	12.9	7.1	23.9	9.9	14.7	11.9	0.0	20.1	35	39	44	29	33	40	42	22	33	30	36
Iowa	5.0	20.4	7.8	14.1	6.2	20.9	7.4	10.7	10.9	0.1	20.6	14	40	6	5	35	47	51	43	39	13	30
Kansas	4.5	20.4	6.3	14.1	12.1	26.1	11.6	12.9	10.9	0.1	22.8	35	40	24	5	18	33	35	32	39	13	13
Kentucky	4.8	21.2	5.7	12.6	3.8	20.9	12.5	17.1	14.3	0.1	20.9	22	24	32	39	48	47	29	13	22	13	24
Louisiana	4.5	21.7	5.1	10.8	5.2	26.8	14.6	12.8	14.3	0.2	21.2	35	15	45	52	39	29	20	33	22	3	21
Maine	5.8	21.0	6.3	13.4	1.7	27.7	14.3	12.2	12.6	0.0	19.2	4	28	24	22	51	27	22	35	29	30	38
Maryland	4.4	19.5	6.1	13.8	10.3	33.4	15.1	14.2	11.2	0.0	18.7	44	47	28	12	24	15	14	24	36	30	41
Massachusetts	4.6	19.4	7.3	12.8	12.0	25.8	10.8	7.8	7.1	0.0	15.3	33	49	9	35	19	34	40	48	49	30	50
Michigan	4.9	20.7	5.6	12.6	5.2	28.1	9.9	13.3	9.9	0.0	23.2	19	37	36	39	39	25	42	31	44	30	10
Minnesota	4.5	20.4	7.3	14.0	5.5	31.2	12.6	13.5	13.7	0.0	20.8	35	40	9	7	38	18	27	29	26	30	26
Mississippi	4.7	20.8	4.5	12.7	3.2	21.8	14.3	17.3	16.8	0.1	22.2	29	35	49	38	49	46	22	11	12	13	15
Missouri	5.0	21.9	7.1	13.3	4.3	25.4	12.0	14.3	13.0	0.1	22.0	14	10	13	24	42	37	33	23	28	13	17
Montana	5.4	20.9	5.4	12.9	3.9	25.2	11.2	13.9	14.4	0.1	23.3	7	30	41	29	45	38	37	27	21	13	9
Nebraska	4.5	21.2	7.6	13.8	11.2	25.6	9.4	11.6	11.1	0.0	22.7	35	24	8	12	20	36	47	39	37	30	14
Nevada	4.5	22.9	5.6	13.2	28.9	41.0	15.1	26.7	26.6	0.2	25.1	35	5	36	28	6	2	14	1	1	3	5
New Hampshire	5.0	21.3	6.3	14.5	3.9	39.8	19.6	10.7	11.6	0.0	18.0	14	22	24	2	45	3	3	43	34	30	43
New Jersey	4.8	21.7	8.5	12.8	20.4	37.8	11.8	9.7	8.8	0.0	16.1	22	15	4	35	9	7	34	46	46	30	47
New Mexico	5.0	21.8	4.8	12.0	49.2	27.4	17.0	17.7	14.7	0.2	23.4	14	12	47	46	2	28	5	10	20	3	8
New York	4.8	21.0	8.1	11.6	19.1	26.5	7.6	6.3	6.1	0.0	15.5	22	28	5	50	10	31	50	51	51	30	49
North Carolina	4.7	20.9	6.7	13.5	9.5	31.4	15.2	19.7	18.8	0.1	21.1	29	30	17	19	27	17	12	4	6	13	22
North Dakota	4.5	20.0	5.7	14.3	4.0	22.3	11.1	10.1	11.0	0.0	22.2	35	45	32	3	44	45	38	45	38	30	15
Ohio	4.9	21.1	6.5	13.3	3.9	23.4	9.0	11.8	9.4	0.0	20.3	19	27	21	24	45	42	49	36	45	30	34
Oklahoma	4.8	21.9	5.5	13.4	10.9	23.2	14.6	11.7	13.2	0.2	23.1	22	10	39	22	22	43	20	38	27	3	11
Oregon	4.8	20.7	5.5	13.6	13.2	37.7	11.0	16.9	13.9	0.3	25.0	22	37	39	15	15	8	39	14	24	2	6
Pennsylvania	5.3	20.8	6.6	12.9	7.6	30.6	9.6	9.6	8.1	0.0	15.9	9	35	19	29	30	20	45	47	48	30	48
Puerto Rico	6.8	25.9	5.3	11.8	98.7	5.8	16.9	15.3	12.3	0.0	null	1	1	42	47	1	52	6	19	30	30	
Rhode Island	5.0	21.7	6.7	12.8	15.9	34.7	11.3	7.8	5.9	0.0	18.0	14	15	17	35	13	13	36	48	52	30	43
South Carolina	5.2	22.0	5.7	12.6	5.8	29.9	15.7	19.1	18.8	0.1	20.6	10	7	32	39	36	23	10	5	6	13	30
South Dakota	4.7	21.3	7.3	14.2	4.1	18.7	9.6	12.8	13.9	0.1	21.1	29	22	9	4	43	49	45	33	24	13	22
Tennessee	4.8	21.8	5.9	12.9	5.6	28.2	13.9	17.8	16.1	0.1	20.7	22	12	31	29	37	24	25	8	13	13	29
Texas	3.6	22.0	6.8	13.6	39.4	36.5	15.9	15.1	18.7	0.2	21.5	49	7	16	15	3	11	9	20	8	3	20
Utah	3.3	23.7	7.1	13.9	14.2	37.4	12.1	17.2	19.4	0.1	25.5	51	4	13	9	14	9	32	12	5	13	3
Vermont	5.4	19.2	4.8	12.9	2.0	32.7	15.6	10.8	10.8	0.0	16.7	7	50	47	29	50	16	11	42	42	30	46
Virginia	4.5	19.8	6.3	13.9	9.5	30.1	16.3	15.8	14.9	0.0	19.1	35	46	24	9	27	22	8	18	18	30	39
Washington	4.2	19.5	5.3	13.9	12.9	31.1	12.9	16.7	15.0	0.2	23.1	45	47	42	9	16	19	26	17	17	3	11
West Virginia	5.9	21.7	4.2	11.6	1.6	16.1	12.2	13.5	11.3	0.1	18.7	3	15	51	50	52	51	31	29	35	13	41
Wisconsin	4.8	20.3	6.1	13.5	7.0	26.5	9.8	14.0	12.3	0.0	20.5	22	44	28	19	34	31	44	26	30	30	32
Wyoming	4.7	19.0	4.5	13.6	10.1	24.9	14.9	11.8	14.8	0.2	25.4	29	51	49	15	25	39	18	36	19	3	4
