name	rooms_1	rooms_3	rooms_4	age_35_44	units_5_9	edu_9_less	race_asian	income_mean	rent_median	value_median	grapi_35_more	housing_units	income_median	race_hispanic	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1950_1959	built_1960_1969	in_professional	occupied_renter	popestimate2020	popestimate2021	housing_occupied	class_selfemployed	income_200000_more	value_1000000_more	value_500000_999999	income_150000_199999	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_age_35_44	rank_units_5_9	rank_edu_9_less	rank_race_asian	rank_income_mean	rank_rent_median	rank_value_median	rank_grapi_35_more	rank_housing_units	rank_income_median	rank_race_hispanic	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1950_1959	rank_built_1960_1969	rank_in_professional	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_housing_occupied	rank_class_selfemployed	rank_income_200000_more	rank_value_1000000_more	rank_value_500000_999999	rank_income_150000_199999
Alabama	1.5	5.6	13.9	12.2	4.2	4.0	1.4	71964	811	149600	38.8	2270398	52035	4.4	1.5	4.5	0.9	0.3	0.4	8.2	11.3	9.6	30.8	5024803	5039877	83.2	5.4	4.4	0.8	3.8	4.9	40	50	41	32	28	20	44	47	45	45	21	24	46	41	36	42	45	39	43	34	15	35	39	24	24	46	35	45	39	42	44
Alaska	6.0	12.1	19.8	12.8	4.6	2.4	6.4	98811	1240	275600	34.8	318370	77790	7.2	2.0	18.9	11.0	2.4	1.1	4.6	8.0	8.2	35.2	732441	732673	80.1	6.7	8.8	0.8	9.4	9.6	2	4	4	13	16	45	9	13	11	16	44	51	9	32	9	12	5	11	15	51	46	45	14	49	49	49	13	13	39	17	6
Arizona	2.7	9.7	16.8	12.3	4.0	5.1	3.3	84380	1097	242000	38.6	3040595	61529	31.5	1.8	14.9	3.6	1.1	1.1	5.2	7.2	12.5	34.7	7177986	7276316	86.9	6.1	6.4	2.0	9.3	6.1	13	13	14	27	33	6	21	24	18	20	24	14	29	5	15	19	19	18	15	50	48	12	15	14	14	31	23	23	18	18	26
Arkansas	2.1	6.8	15.9	12.3	3.4	4.7	1.5	69357	760	133600	34.5	1379778	49475	7.6	1.4	2.8	0.8	0.3	0.3	6.8	10.1	7.7	34.2	3012232	3025891	84.8	6.0	4.0	0.6	2.7	4.0	21	42	22	27	43	8	42	49	50	49	47	32	49	30	46	51	47	39	46	44	23	47	17	34	34	37	25	49	46	49	50
California	4.0	11.8	19.1	13.3	5.9	8.9	14.8	111622	1586	538500	44.7	14210945	78672	39.1	2.9	23.8	14.5	7.6	8.2	13.3	13.2	13.8	44.7	39499738	39237836	92.2	7.8	13.3	16.7	37.0	9.4	5	5	5	7	5	1	2	6	3	3	4	1	7	4	2	3	2	3	3	7	5	6	3	1	1	1	6	5	2	3	8
Colorado	2.2	9.9	15.0	13.8	4.5	3.3	3.2	100933	1335	369900	41.2	2361372	75231	21.7	2.7	24.8	9.0	2.9	1.8	7.4	8.3	14.3	33.8	5784308	5812069	90.5	6.3	9.6	4.0	22.8	8.7	19	12	34	2	22	32	22	12	8	5	9	22	12	8	4	2	11	10	11	37	43	5	20	21	21	9	19	12	8	6	12
Connecticut	2.1	9.1	15.2	11.9	5.3	4.0	4.6	115337	1201	279700	42.2	1521199	79855	16.4	2.0	17.9	6.3	2.4	2.5	14.7	13.6	11.7	33.9	3600260	3605597	91.1	6.3	13.2	4.7	12.1	9.6	21	16	30	43	7	20	14	4	13	14	7	30	6	12	9	14	12	11	9	1	3	15	18	29	29	4	19	6	7	13	6
Delaware	1.2	5.4	11.9	11.6	4.0	3.3	4.0	92308	1150	258300	39.8	438438	69110	9.4	1.3	15.3	3.1	0.8	0.8	9.9	10.0	10.1	28.6	991886	1003384	84.6	4.3	7.6	1.5	7.5	7.7	52	51	52	49	33	32	18	18	16	18	17	46	17	29	49	17	24	24	24	20	27	27	48	46	46	39	50	18	23	24	18
District of Columbia	7.9	21.5	17.3	15.1	7.1	3.3	4.1	133587	1607	618100	36.0	319192	90842	11.1	3.6	21.1	14.6	8.6	10.3	12.1	11.0	24.0	57.5	690093	670050	90.3	4.3	19.8	20.3	41.3	10.3	1	1	8	1	2	32	16	1	2	2	35	50	1	21	1	6	1	2	2	11	18	1	1	50	50	13	50	1	1	2	5
Florida	2.0	10.0	20.8	12.1	4.9	4.6	2.8	83104	1218	232000	46.8	9562324	57703	25.8	1.7	19.6	6.2	2.2	1.7	7.0	8.8	13.3	33.8	21569932	21781128	82.9	5.9	6.4	2.7	8.7	5.6	25	10	2	36	10	13	26	28	12	23	1	3	38	7	20	10	13	13	12	41	35	9	20	3	3	47	26	23	12	20	32
