name	rooms_9	age_25_34	age_35_44	grapi_30_34	rent_median	units_10_19	value_median	in_information	rent_1500_1999	rent_2000_2499	in_construction	in_professional	edu_bachelor_degree	edu_bachelor_higher	value_300000_499999	value_500000_999999	rank_rooms_9	rank_age_25_34	rank_age_35_44	rank_grapi_30_34	rank_rent_median	rank_units_10_19	rank_value_median	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_in_construction	rank_in_professional	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_300000_499999	rank_value_500000_999999
Alabama	11.9	13.1	12.2	8.5	811	3.3	149600	1.5	4.5	0.9	6.7	9.6	16.3	26.2	11.1	3.8	31	33	32	44	45	37	45	36	42	45	26	35	45	44	44	42
Alaska	8.1	16.1	12.8	9.4	1240	2.7	275600	2.0	18.9	11.0	6.7	8.2	18.7	30.0	33.0	9.4	45	2	13	11	11	42	16	9	12	5	26	45	35	32	9	17
Arizona	7.8	13.8	12.3	8.9	1097	4.2	242000	1.8	14.9	3.6	7.1	12.5	18.8	30.3	24.2	9.3	46	19	27	27	18	18	20	15	19	19	14	12	34	31	18	18
Arkansas	8.6	13.1	12.3	9.0	760	3.6	133600	1.4	2.8	0.8	6.9	7.7	15.2	23.8	8.4	2.7	42	33	27	24	50	28	49	46	51	47	22	47	48	49	49	49
California	6.9	15.3	13.3	9.5	1586	5.1	538500	2.9	23.8	14.5	6.4	13.8	21.6	34.7	26.0	37.0	49	4	7	8	3	9	3	2	3	2	36	6	16	15	14	3
Colorado	17.7	15.7	13.8	10.0	1335	5.6	369900	2.7	24.8	9.0	8.1	14.3	26.0	41.6	38.5	22.8	7	3	2	2	8	4	5	4	2	11	5	5	1	3	1	6
Connecticut	12.5	12.4	11.9	9.2	1201	3.6	279700	2.0	17.9	6.3	6.1	11.7	22.2	40.0	27.9	12.1	23	49	43	16	13	28	14	9	14	12	39	15	11	6	13	13
Delaware	16.5	13.3	11.6	9.4	1150	5.0	258300	1.3	15.3	3.1	6.9	10.1	19.0	32.7	28.8	7.5	10	28	49	11	16	10	18	49	17	24	22	27	33	21	12	24
District of Columbia	9.1	23.3	15.1	9.5	1607	9.0	618100	3.6	21.1	14.6	2.8	24.0	25.3	59.8	25.6	41.3	40	1	1	8	2	1	2	1	6	1	52	1	2	1	15	2
Florida	6.6	13.0	12.1	9.6	1218	5.6	232000	1.7	19.6	6.2	7.9	13.3	19.3	30.5	22.2	8.7	50	39	36	7	12	4	23	20	10	13	7	9	31	30	23	20
Georgia	15.3	13.9	13.2	9.0	1042	4.6	190200	2.3	12.8	2.9	6.6	12.7	19.7	32.2	17.4	7.4	14	15	9	24	21	14	29	6	23	26	29	10	28	25	29	25
Hawaii	6.1	14.3	12.7	9.2	1651	4.8	636400	1.5	20.6	13.8	7.3	10.3	21.9	33.6	21.7	49.2	51	11	15	16	1	12	1	36	8	3	9	25	14	19	24	1
Idaho	16.3	13.1	12.6	8.4	887	2.2	235600	1.6	7.3	1.4	8.2	9.8	19.3	28.7	24.1	7.9	11	33	17	47	31	48	22	25	32	36	2	30	31	39	19	21
Illinois	13.0	13.9	12.9	8.8	1038	3.8	202100	1.8	13.6	5.3	5.4	12.1	21.6	35.5	18.8	7.6	22	15	11	35	22	23	26	15	21	15	51	14	16	13	26	22
Indiana	13.5	13.1	12.3	8.9	844	3.4	148900	1.4	4.5	1.0	6.2	8.5	17.3	27.2	10.3	3.0	19	33	27	27	39	33	46	46	42	44	38	44	42	43	47	47
Iowa	16.0	12.6	12.1	8.0	806	3.9	153900	1.6	4.5	1.2	6.5	7.4	19.7	29.3	11.6	3.0	12	46	36	51	46	22	43	25	42	39	32	48	28	35	43	47
