name	units_2	age_45_54	age_55_59	units_3_4	in_finance	median_age	age_85_over	income_mean	earnings_male	grapi_35_more	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	earnings_median	edu_grad_degree	job_bus_sci_art	ancestry_italian	ancestry_russian	housing_occupied	income_percapita	ancestry_ukranian	ancestry_hungarian	income_200000_more	ancestry_lithuanian	edu_bachelor_higher	in_education_health	value_200000_299999	ancestry_west_indian	income_150000_199999	rank_units_2	rank_age_45_54	rank_age_55_59	rank_units_3_4	rank_in_finance	rank_median_age	rank_age_85_over	rank_income_mean	rank_earnings_male	rank_grapi_35_more	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_job_bus_sci_art	rank_ancestry_italian	rank_ancestry_russian	rank_housing_occupied	rank_income_percapita	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_income_200000_more	rank_ancestry_lithuanian	rank_edu_bachelor_higher	rank_in_education_health	rank_value_200000_299999	rank_ancestry_west_indian	rank_income_150000_199999
Alabama	2.0	12.8	6.8	2.9	5.6	39.2	1.8	71964	50823	38.8	52035	0.2	8.0	23.5	0.6	0.0	3.8	8.2	11.3	37425	32080	9.9	35.7	1.6	0.1	83.2	28934	0.1	0.1	4.4	0.0	26.2	22.7	17.6	0.2	4.9	37	22	21	41	36	20	34	47	36	21	46	31	40	41	49	40	35	34	15	46	44	40	42	48	49	46	47	34	44	45	46	44	36	41	20	44
Alaska	5.4	12.1	6.7	7.3	3.8	34.6	0.9	98811	61539	34.8	77790	0.2	9.7	35.3	1.9	0.1	1.5	4.6	8.0	51273	40471	11.3	38.2	2.8	1.2	80.1	37094	0.3	0.2	8.8	0.1	30.0	24.6	29.3	0.2	9.6	10	37	25	4	52	50	52	13	7	44	9	31	31	12	24	17	50	51	46	7	11	29	26	33	8	49	15	16	31	13	22	32	17	4	20	6
Arizona	1.3	11.9	6.1	3.4	8.6	37.9	2.0	84380	50312	38.6	61529	0.3	8.6	38.0	2.2	0.1	1.4	5.2	7.2	42071	34302	11.5	37.6	4.1	0.7	86.9	32340	0.2	0.4	6.4	0.2	30.3	22.0	26.4	0.2	6.1	52	40	49	33	3	35	26	24	37	24	29	20	36	6	21	17	51	50	48	25	31	27	30	20	24	31	34	25	11	23	14	31	43	13	20	26
Arkansas	3.2	12.2	6.5	3.4	4.9	38.3	2.0	69357	45269	34.5	49475	0.1	9.4	17.6	0.8	0.0	3.6	6.8	10.1	36482	31343	8.6	34.9	1.5	0.1	84.8	27724	0.1	0.1	4.0	0.1	23.8	24.6	15.4	0.2	4.0	16	36	34	33	46	28	26	49	51	47	49	45	32	50	46	40	38	44	23	49	46	49	48	49	49	37	49	34	44	49	22	49	17	46	20	50
California	2.4	12.8	6.3	5.4	6.0	36.7	1.9	111622	58031	44.7	78672	0.3	5.9	26.7	1.2	0.1	5.8	13.3	13.2	50693	38176	13.1	40.3	3.6	0.9	92.2	38576	0.3	0.3	13.3	0.1	34.7	21.2	9.9	0.2	9.4	26	22	44	11	30	44	32	6	15	4	7	20	49	30	39	17	11	7	5	9	16	15	16	24	15	1	12	16	20	5	22	15	47	49	20	8
Colorado	1.6	12.5	6.5	3.3	7.1	36.9	1.6	100933	58307	41.2	75231	0.3	10.9	34.7	2.3	0.2	2.5	7.4	8.3	48212	39394	15.6	43.5	4.9	1.0	90.5	39545	0.2	0.4	9.6	0.2	41.6	21.2	18.4	0.2	8.7	47	28	34	36	13	41	45	12	14	9	12	20	22	13	18	7	48	37	43	13	14	9	7	15	13	9	10	25	11	12	14	3	47	38	20	12
Connecticut	8.2	13.8	7.5	8.4	9.1	41.1	2.6	115337	68716	42.2	79855	0.8	15.0	38.4	6.9	0.5	6.7	14.7	13.6	55546	42996	17.9	44.5	16.5	1.4	91.1	45668	0.6	0.9	13.2	0.7	40.0	26.5	27.3	2.6	9.6	5	3	4	3	2	7	3	4	4	7	6	3	7	5	3	3	7	1	3	4	5	4	5	1	5	4	2	5	3	6	1	6	7	10	3	6
Delaware	1.6	12.6	7.1	2.2	9.4	41.0	1.9	92308	56025	39.8	69110	0.5	14.2	46.0	4.1	0.2	4.5	9.9	10.0	47363	37369	13.7	40.8	8.4	0.8	84.6	36574	0.5	0.4	7.6	0.3	32.7	25.0	30.7	1.2	7.7	47	27	9	50	1	8	32	18	19	17	17	8	8	1	10	7	26	20	27	15	18	14	13	8	19	39	17	7	11	18	7	21	14	2	9	18
District of Columbia	3.1	10.8	5.2	7.0	6.4	34.1	1.6	133587	84061	36.0	90842	0.4	7.1	23.2	2.2	0.2	11.3	12.1	11.0	73682	59677	34.5	65.5	4.0	1.5	90.3	58659	0.5	0.4	19.8	0.3	59.8	18.2	8.5	1.5	10.3	18	50	51	5	22	51	45	1	1	35	1	13	43	43	21	7	1	11	18	1	1	1	1	21	4	13	1	7	11	1	7	1	51	50	6	5
Florida	2.0	12.9	6.9	3.9	7.7	42.2	2.7	83104	45980	46.8	57703	0.4	8.4	39.2	2.3	0.1	2.0	7.0	8.8	39541	32098	11.3	36.4	5.8	0.9	82.9	32848	0.3	0.5	6.4	0.2	30.5	21.1	24.8	4.4	5.6	37	15	18	25	7	6	2	28	49	1	38	13	38	4	18	17	49	41	35	38	43	29	37	11	15	47	28	16	7	23	14	30	49	15	1	32
