name	rooms_1	rooms_2	rooms_3	employed	in_other	age_20_24	age_25_34	age_35_44	units_3_4	units_5_9	class_govt	race_black	unemployed	age_16_over	age_18_over	age_21_over	income_mean	rent_median	units_10_19	value_median	earnings_male	income_median	units_20_more	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	occupied_renter	ancestry_russian	built_2014_later	income_percapita	units_1_attached	ancestry_ukranian	built_1939_earlier	income_200000_more	value_1000000_more	edu_bachelor_degree	edu_bachelor_higher	value_500000_999999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_employed	rank_in_other	rank_age_20_24	rank_age_25_34	rank_age_35_44	rank_units_3_4	rank_units_5_9	rank_class_govt	rank_race_black	rank_unemployed	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_income_mean	rank_rent_median	rank_units_10_19	rank_value_median	rank_earnings_male	rank_income_median	rank_units_20_more	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_occupied_renter	rank_ancestry_russian	rank_built_2014_later	rank_income_percapita	rank_units_1_attached	rank_ancestry_ukranian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_500000_999999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Alabama	1.5	1.2	5.6	54.0	4.9	6.6	13.1	12.2	2.9	4.2	15.7	26.6	3.2	80.3	77.7	73.5	71964	811	3.3	149600	50823	52035	4.1	1.5	4.5	0.9	0.3	0.4	3.8	37425	32080	9.9	9.6	5.5	35.7	30.8	0.1	3.5	28934	1.6	0.1	5.1	4.4	0.8	16.3	26.2	3.8	4.9	0.9	40	51	50	48	13	34	33	32	41	28	16	6	28	26	27	30	47	45	37	45	36	46	42	36	42	45	39	43	35	46	44	40	35	13	42	39	49	25	47	50	34	39	45	39	45	44	42	44	26
Alaska	6.0	7.3	12.1	59.6	4.5	7.2	16.1	12.8	7.3	4.6	25.9	3.2	4.6	77.7	75.1	71.5	98811	1240	2.7	275600	61539	77790	4.9	2.0	18.9	11.0	2.4	1.1	1.5	51273	40471	11.3	8.2	11.8	38.2	35.2	1.2	2.4	37094	7.4	0.3	1.6	8.8	0.8	18.7	30.0	9.4	9.6	0.8	2	3	4	29	34	6	2	13	4	16	1	40	3	49	49	46	13	11	42	16	7	9	35	9	12	5	11	15	50	7	11	29	45	2	26	14	8	37	15	9	16	50	13	39	35	32	17	6	28
Arizona	2.7	3.8	9.7	56.2	4.7	6.8	13.8	12.3	3.4	4.0	13.8	4.5	3.5	79.7	77.1	73.0	84380	1097	4.2	242000	50312	61529	7.5	1.8	14.9	3.6	1.1	1.1	1.4	42071	34302	11.5	12.5	4.9	37.6	34.7	0.7	4.2	32340	4.9	0.2	1.4	6.4	2.0	18.8	30.3	9.3	6.1	0.7	13	9	13	42	19	17	19	27	33	33	31	35	16	34	34	34	24	18	18	20	37	29	20	15	19	19	18	15	51	25	31	27	12	18	30	15	24	16	34	21	25	51	23	18	34	31	18	26	33
Arkansas	2.1	2.0	6.8	54.8	4.8	6.7	13.1	12.3	3.4	3.4	15.2	15.2	3.0	79.3	76.7	72.5	69357	760	3.6	133600	45269	49475	2.9	1.4	2.8	0.8	0.3	0.3	3.6	36482	31343	8.6	7.7	4.4	34.9	34.2	0.1	4.1	27724	1.6	0.1	4.6	4.0	0.6	15.2	23.8	2.7	4.0	0.7	21	40	42	47	15	25	33	27	33	43	19	14	34	39	39	38	49	50	28	49	51	49	50	46	51	47	39	46	38	49	46	49	47	30	48	17	49	17	49	50	34	41	49	46	48	49	49	50	33
California	4.0	4.3	11.8	59.4	5.1	6.8	15.3	13.3	5.4	5.9	13.9	5.7	3.9	79.8	77.2	73.2	111622	1586	5.1	538500	58031	78672	12.6	2.9	23.8	14.5	7.6	8.2	5.8	50693	38176	13.1	13.8	4.6	40.3	44.7	0.9	2.4	38576	7.1	0.3	9.0	13.3	16.7	21.6	34.7	37.0	9.4	0.7	5	4	5	30	8	17	4	7	11	5	29	32	7	32	33	33	6	3	9	3	15	7	6	2	3	2	3	3	11	9	16	15	6	25	16	3	15	37	12	12	16	30	5	2	16	15	3	8	33
Colorado	2.2	4.0	9.9	64.3	4.9	6.7	15.7	13.8	3.3	4.5	13.6	4.1	3.1	80.4	77.9	73.9	100933	1335	5.6	369900	58307	75231	11.1	2.7	24.8	9.0	2.9	1.8	2.5	48212	39394	15.6	14.3	4.6	43.5	33.8	1.0	5.1	39545	7.2	0.2	7.6	9.6	4.0	26.0	41.6	22.8	8.7	0.8	19	8	12	8	13	25	3	2	36	22	34	36	31	22	23	23	12	8	4	5	14	12	11	4	2	11	10	11	48	13	14	9	5	25	7	20	13	8	10	11	25	33	12	8	1	3	6	12	28
Connecticut	2.1	2.9	9.1	61.7	4.6	6.8	12.4	11.9	8.4	5.3	12.8	10.7	4.0	82.0	79.4	75.1	115337	1201	3.6	279700	68716	79855	9.1	2.0	17.9	6.3	2.4	2.5	6.7	55546	42996	17.9	11.7	3.7	44.5	33.9	1.4	1.6	45668	5.6	0.6	21.5	13.2	4.7	22.2	40.0	12.1	9.6	1.0	21	19	16	17	25	17	49	43	3	7	41	23	5	10	10	14	4	13	28	14	4	6	16	9	14	12	11	9	7	4	5	4	15	46	5	18	5	49	2	17	5	9	6	7	11	6	13	6	19
Delaware	1.2	1.1	5.4	58.0	4.2	6.0	13.3	11.6	2.2	4.0	15.2	22.0	3.6	81.3	78.9	74.9	92308	1150	5.0	258300	56025	69110	5.1	1.3	15.3	3.1	0.8	0.8	4.5	47363	37369	13.7	10.1	5.6	40.8	28.6	0.8	5.4	36574	15.9	0.5	8.2	7.6	1.5	19.0	32.7	7.5	7.7	1.5	52	52	51	37	50	49	28	49	50	33	19	8	13	14	14	15	18	16	10	18	19	17	33	49	17	24	24	24	26	15	18	14	27	11	13	48	19	6	17	4	7	32	18	23	33	21	24	18	8
District of Columbia	7.9	10.5	21.5	65.2	9.5	7.5	23.3	15.1	7.0	7.1	24.8	45.4	5.0	83.5	82.0	77.4	133587	1607	9.0	618100	84061	90842	37.8	3.6	21.1	14.6	8.6	10.3	11.3	73682	59677	34.5	24.0	16.8	65.5	57.5	1.5	5.4	58659	23.9	0.5	33.6	19.8	20.3	25.3	59.8	41.3	10.3	3.2	1	1	1	5	1	3	1	1	5	2	2	1	2	4	1	2	1	2	1	2	1	1	1	1	6	1	2	2	1	1	1	1	1	1	1	1	4	6	1	1	7	1	1	1	2	1	2	5	2
Florida	2.0	2.6	10.0	55.4	5.3	6.0	13.0	12.1	3.9	4.9	11.7	15.9	3.2	82.4	80.1	76.6	83104	1218	5.6	232000	45980	57703	13.8	1.7	19.6	6.2	2.2	1.7	2.0	39541	32098	11.3	13.3	4.3	36.4	33.8	0.9	4.4	32848	6.3	0.3	2.1	6.4	2.7	19.3	30.5	8.7	5.6	0.7	25	25	10	45	5	49	39	36	25	10	49	12	28	8	8	5	28	12	4	23	49	38	5	20	10	13	13	12	49	38	43	29	9	33	37	20	15	14	28	14	16	48	23	12	31	30	20	32	33
Georgia	1.4	1.7	6.3	59.2	4.7	6.8	13.9	13.2	2.9	4.4	14.3	31.6	3.5	78.9	76.2	71.9	85691	1042	4.6	190200	51053	61224	6.5	2.3	12.8	2.9	0.7	0.7	2.6	41521	34603	12.5	12.7	4.8	38.5	36.0	0.4	4.3	32427	4.1	0.1	4.2	7.1	1.5	19.7	32.2	7.4	6.3	1.9	47	45	46	33	19	17	15	9	41	23	26	4	16	43	44	43	22	21	14	29	34	30	25	6	23	26	26	28	47	28	29	19	10	21	24	12	34	15	33	31	34	44	20	23	28	25	25	22	7
