name	rooms_4	age_65_74	age_75_84	in_retail	job_sales	in_finance	median_age	pop_change	age_16_over	age_18_over	age_21_over	age_62_over	age_65_over	age_85_over	grapi_30_34	job_service	units_10_19	in_arts_food	grapi_35_more	housing_units	housing_vacant	rent_1000_1499	rent_1500_1999	built_1980_1989	built_2000_2009	in_construction	popestimate2020	popestimate2021	units_boat_rv_van	ancestry_west_indian	rank_rooms_4	rank_age_65_74	rank_age_75_84	rank_in_retail	rank_job_sales	rank_in_finance	rank_median_age	rank_pop_change	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_age_62_over	rank_age_65_over	rank_age_85_over	rank_grapi_30_34	rank_job_service	rank_units_10_19	rank_in_arts_food	rank_grapi_35_more	rank_housing_units	rank_housing_vacant	rank_rent_1000_1499	rank_rent_1500_1999	rank_built_1980_1989	rank_built_2000_2009	rank_in_construction	rank_popestimate2020	rank_popestimate2021	rank_units_boat_rv_van	rank_ancestry_west_indian
Alabama	13.9	10.0	5.1	11.6	21.5	5.6	39.2	15074	80.3	77.7	73.5	20.8	16.9	1.8	8.5	16.1	3.3	8.3	38.8	2270398	16.8	23.5	4.5	14.7	15.3	6.7	5024803	5039877	0.1	0.2	41	17	11	13	20	36	20	16	26	27	30	20	20	34	44	43	37	40	21	24	7	41	42	19	16	26	24	24	13	20
Alaska	19.8	8.1	2.9	10.5	20.4	3.8	34.6	232	77.7	75.1	71.5	15.4	11.9	0.9	9.4	17.7	2.7	9.0	34.8	318370	19.9	35.3	18.9	26.1	15.7	6.7	732441	732673	0.2	0.2	4	49	52	43	40	52	50	32	49	49	46	50	51	52	11	14	42	22	44	51	4	12	12	1	14	26	49	49	3	20
Arizona	16.8	10.2	5.5	12.0	23.9	8.6	37.9	98330	79.7	77.1	73.0	21.1	17.6	2.0	8.9	18.7	4.2	10.4	38.6	3040595	13.1	38.0	14.9	17.6	23.4	7.1	7177986	7276316	0.4	0.2	14	14	6	8	3	3	35	3	34	34	34	16	12	26	27	10	18	6	24	14	22	6	19	4	2	14	14	14	1	20
Arkansas	15.9	9.9	5.1	13.1	21.2	4.9	38.3	13659	79.3	76.7	72.5	20.6	16.9	2.0	9.0	16.6	3.6	7.9	34.5	1379778	15.2	17.6	2.8	15.0	15.7	6.9	3012232	3025891	0.1	0.2	22	18	11	2	24	46	28	18	39	39	38	24	20	26	24	34	28	47	47	32	16	50	51	17	14	22	34	34	13	20
California	19.1	8.3	4.1	10.4	20.9	6.0	36.7	-261902	79.8	77.2	73.2	17.6	14.3	1.9	9.5	18.1	5.1	10.2	44.7	14210945	7.8	26.7	23.8	15.1	10.9	6.4	39499738	39237836	0.1	0.2	5	48	46	47	30	30	44		32	33	33	46	46	32	8	12	9	9	4	1	51	30	3	14	39	36	1	1	13	20
Colorado	15.0	8.8	3.8	10.6	20.9	7.1	36.9	27761	80.4	77.9	73.9	17.6	14.2	1.6	10.0	16.5	5.6	10.4	41.2	2361372	9.5	34.7	24.8	14.2	17.1	8.1	5784308	5812069	0.1	0.2	34	45	48	42	30	13	41	11	22	23	23	46	47	45	2	36	4	6	9	22	43	13	2	24	11	5	21	21	13	20
Connecticut	15.2	9.7	4.9	10.5	20.9	9.1	41.1	5337	82.0	79.4	75.1	21.1	17.2	2.6	9.2	17.3	3.6	8.3	42.2	1521199	8.9	38.4	17.9	12.4	6.8	6.1	3600260	3605597	0.0	2.6	30	24	19	43	30	2	7	25	10	10	14	16	16	3	16	19	28	40	7	30	49	5	14	30	50	39	29	29	30	3
Delaware	11.9	11.3	5.6	11.7	21.6	9.4	41.0	11498	81.3	78.9	74.9	23.0	18.8	1.9	9.4	17.2	5.0	8.8	39.8	438438	15.4	46.0	15.3	12.6	18.7	6.9	991886	1003384	0.0	1.2	52	4	5	11	19	1	8	19	14	14	15	6	6	32	11	22	10	31	17	46	13	1	17	27	8	22	46	46	30	9
District of Columbia	17.3	7.0	3.6	4.6	14.5	6.4	34.1	-20043	83.5	82.0	77.4	15.1	12.2	1.6	9.5	13.6	9.0	9.0	36.0	319192	9.7	23.2	21.1	4.5	8.2	2.8	690093	670050	0.0	1.5	8	51	49	52	52	22	51		4	1	2	51	50	45	8	52	1	22	35	50	40	43	6	52	47	52	50	50	30	6
Florida	20.8	11.3	6.5	12.5	24.3	7.7	42.2	211196	82.4	80.1	76.6	24.3	20.5	2.7	9.6	19.6	5.6	12.0	46.8	9562324	17.1	39.2	19.6	20.0	18.7	7.9	21569932	21781128	0.2	4.4	2	4	2	4	2	7	6	2	8	8	5	2	2	2	7	5	4	3	1	3	6	4	10	2	8	7	3	3	3	1
Georgia	13.8	8.5	3.9	11.3	22.0	6.4	36.9	73766	78.9	76.2	71.9	17.2	13.9	1.4	9.0	16.0	4.6	9.2	40.1	4329675	11.5	36.6	12.8	16.5	21.0	6.6	10725800	10799566	0.1	1.3	42	46	47	27	7	22	41	5	43	44	43	48	48	49	24	45	14	20	15	10	30	10	23	7	3	29	8	8	13	8
Hawaii	20.4	10.4	5.1	11.3	22.9	6.6	39.4	-10358	80.9	78.7	75.5	22.1	18.4	2.8	9.2	23.0	4.8	16.0	45.5	546571	14.4	25.7	20.6	15.2	12.3	7.3	1451911	1441553	0.0	0.2	3	11	11	27	5	19	19		15	15	11	10	8	1	16	2	12	2	2	43	18	35	8	12	30	9	41	41	30	20
Idaho	14.4	9.6	4.6	11.9	21.8	5.7	36.6	53151	77.5	74.7	70.6	19.4	15.8	1.6	8.4	16.9	2.2	9.0	36.6	737411	11.9	27.8	7.3	10.4	19.7	8.2	1847772	1900923	0.2	0.1	38	29	33	9	12	32	46	9	50	50	50	35	33	45	47	25	48	22	33	41	27	26	32	41	4	2	39	39	3	36
Illinois	15.5	9.0	4.5	10.5	21.5	7.3	38.3	-113776	80.2	77.5	73.6	19.2	15.7	2.1	8.8	16.8	3.8	8.8	38.2	5373385	9.1	30.4	13.6	9.1	10.8	5.4	12785245	12671469	0.0	0.3	27	42	35	43	20	9	28		29	29	28	38	37	23	35	28	23	31	25	6	47	21	21	48	42	51	6	6	30	16
Indiana	13.7	9.2	4.5	10.8	20.6	5.2	37.8	20341	79.2	76.5	72.3	19.4	15.7	2.0	8.9	16.1	3.4	8.6	37.2	2903720	10.4	23.9	4.5	9.9	11.9	6.2	6785644	6805985	0.0	0.1	45	36	35	37	39	44	36	13	40	41	41	35	37	26	27	43	33	37	32	17	36	40	42	42	33	38	17	17	30	36
Iowa	14.7	9.5	5.0	11.5	20.4	7.8	38.3	4410	79.5	76.9	72.5	20.9	17.1	2.5	8.0	15.9	3.9	7.2	34.7	1407819	9.5	20.9	4.5	7.4	10.9	6.5	3188669	3193079	0.1	0.1	37	30	14	19	40	6	28	27	36	35	38	18	18	6	51	47	22	52	46	31	43	47	42	51	39	32	32	32	13	36
Kansas	13.6	9.0	4.5	10.5	20.4	6.3	36.9	-1298	78.5	75.8	71.4	19.5	15.8	2.3	9.0	16.3	3.6	8.2	34.2	1280376	10.8	26.1	6.3	11.6	10.9	6.4	2935880	2934582	0.1	0.1	46	42	35	43	40	24	41		45	45	47	34	33	11	24	40	28	42	48	34	34	33	35	35	39	36	36	36	13	36
Kentucky	15.9	9.8	4.8	11.7	21.2	5.7	39.0	5436	80.0	77.4	73.3	20.1	16.4	1.8	8.2	16.2	3.4	8.5	35.0	1994554	12.4	20.9	3.4	12.5	14.3	6.1	4503958	4509394	0.1	0.1	22	21	22	11	24	32	21	24	31	31	32	27	27	34	50	41	33	38	42	26	24	47	47	29	22	39	26	26	13	36
Louisiana	17.0	9.3	4.5	11.4	21.7	5.1	37.2	-27156	79.1	76.5	72.5	19.1	15.4	1.7	8.9	18.8	2.7	10.3	45.2	2074664	15.6	26.8	6.2	14.6	14.3	8.1	4651203	4624047	0.2	0.2	11	34	35	25	15	45	39		41	41	38	42	41	40	27	8	42	8	3	25	11	29	37	20	22	5	25	25	3	20
Maine	16.5	12.3	5.8	12.9	21.0	6.3	44.8	9967	83.6	81.3	77.8	25.1	20.6	2.6	10.2	17.4	1.6	8.4	35.5	746793	23.7	27.7	7.8	14.3	12.6	7.3	1362280	1372247	0.0	0.2	16	1	4	3	28	24	1	22	3	3	1	1	1	3	1	17	52	39	41	40	1	27	31	22	29	9	43	43	30	20
Maryland	12.8	9.1	4.4	9.3	19.5	6.1	38.8	-7550	80.3	77.8	74.0	19.1	15.4	2.0	8.9	16.6	7.7	8.1	40.3	2459650	9.3	33.4	27.1	15.1	11.2	7.1	6172679	6165129	0.0	1.5	50	39	44	51	47	28	24		26	24	21	42	41	26	27	34	2	45	12	20	45	15	1	14	36	14	18	19	30	6
Massachusetts	15.7	9.5	4.6	10.1	19.4	7.3	39.6	-37497	82.6	80.2	75.7	20.4	16.5	2.4	9.8	16.8	4.3	8.2	39.1	2913009	9.1	25.8	20.2	10.8	7.1	5.8	7022220	6984723	0.0	2.0	26	30	33	48	49	9	15		7	7	8	25	25	9	3	28	17	42	20	16	47	34	9	40	49	46	15	15	30	4
Michigan	13.8	10.1	4.9	10.7	20.7	5.6	39.8	-16853	80.9	78.3	74.2	21.2	17.2	2.2	8.7	17.3	3.5	9.2	39.8	4611913	13.7	28.1	6.6	9.9	9.9	5.5	10067664	10050811	0.0	0.2	42	15	19	40	37	36	13		15	17	19	13	16	16	38	19	31	20	17	9	21	25	34	42	44	50	10	10	30	20
Minnesota	13.5	9.1	4.5	10.8	20.4	7.3	38.1	225	79.4	76.8	73.0	19.6	15.8	2.2	9.4	15.8	3.4	7.9	36.0	2458030	10.2	31.2	13.6	12.6	13.7	6.1	5707165	5707390	0.0	0.2	47	39	35	37	40	9	32	33	37	37	34	32	33	16	11	49	33	47	35	21	37	18	21	27	26	39	22	22	30	20
Mississippi	14.8	9.5	4.7	11.3	20.8	4.5	37.7	-6905	79.0	76.3	71.8	19.6	15.9	1.7	8.8	17.8	2.4	9.5	40.2	1330867	16.1	21.8	3.4	14.3	16.8	6.7	2956870	2949965	0.1	0.1	36	30	29	27	35	49	38		42	43	44	32	32	40	35	13	46	18	14	33	9	46	47	22	12	26	35	35	13	36
Missouri	15.1	9.7	5.0	11.5	21.9	7.1	38.7	13706	80.1	77.5	73.5	20.7	16.9	2.1	8.5	16.8	3.3	8.8	36.0	2804664	13.0	25.4	4.9	12.0	13.0	6.5	6154481	6168187	0.1	0.1	33	24	14	19	10	13	26	17	30	29	30	22	20	23	44	28	37	31	35	18	23	37	41	33	28	32	19	18	13	36
Montana	16.3	11.3	5.4	12.3	20.9	5.4	40.1	18078	80.9	78.5	74.6	22.9	18.7	2.0	8.9	18.8	2.5	11.4	35.7	514956	15.3	25.2	6.2	11.2	14.4	8.2	1086193	1104271	0.1	0.1	17	4	7	6	30	41	10	15	15	16	16	7	7	26	27	8	45	4	38	44	15	38	37	37	21	2	45	44	13	36
Nebraska	13.8	8.9	4.5	11.0	21.2	7.6	36.6	2237	78.0	75.3	71.1	19.4	15.7	2.2	8.6	15.9	4.6	7.4	32.9	844248	9.2	25.6	5.6	9.4	11.1	7.0	1961455	1963692	0.0	0.1	42	44	35	34	24	8	46	30	48	48	49	35	37	16	40	47	14	51	49	39	46	36	40	47	37	19	38	38	30	36
Nevada	17.7	9.7	4.5	11.5	22.9	5.6	38.2	29920	79.8	77.3	73.9	19.2	15.8	1.5	9.2	25.1	5.2	23.1	40.8	1268533	10.9	41.0	17.9	15.1	26.6	7.2	3114071	3143991	0.2	0.3	7	24	35	19	5	36	31	10	32	32	23	38	33	48	16	1	8	1	11	35	32	2	14	14	1	11	33	33	3	16
New Hampshire	16.3	10.9	5.0	12.2	21.3	6.3	43.0	11144	83.4	81.0	76.8	22.3	18.1	2.2	9.7	16.0	3.1	8.7	36.6	638611	15.6	39.8	17.0	19.6	11.6	6.9	1377848	1388992	0.0	0.3	17	8	14	7	22	24	2	20	5	5	4	8	10	16	5	45	40	35	33	42	11	3	16	3	34	22	42	42	30	16
New Jersey	15.2	9.2	4.8	10.7	21.7	8.5	40.0	-12613	80.6	78.0	74.4	19.9	16.2	2.3	8.9	15.7	4.7	7.8	41.7	3628732	9.8	37.8	23.4	11.8	8.8	5.9	9279743	9267130	0.0	1.9	30	36	22	40	15	4	11		19	20	17	30	31	11	27	50	13	50	8	11	39	7	4	34	46	44	11	11	30	5
New Mexico	17.3	10.4	5.0	11.1	21.8	4.8	38.1	-1689	79.7	76.9	72.9	21.2	17.4	2.0	8.7	19.7	2.3	10.8	39.7	943568	16.0	27.4	6.7	17.0	14.7	7.2	2117566	2115877	0.2	0.1	8	11	14	33	12	47	32		34	35	36	13	14	26	38	4	47	5	19	37	10	28	33	5	20	11	37	37	3	36
New York	18.4	9.3	4.8	9.9	21.0	8.1	39.0	-319020	81.5	79.1	75.3	20.1	16.5	2.4	9.1	19.6	4.2	9.0	42.4	8362971	11.3	26.5	19.3	7.6	6.1	5.7	20154933	19835913	0.0	4.0	6	34	22	50	28	5	21		13	13	12	27	25	9	21	5	18	22	6	4	31	31	11	50	51	47	4	4	30	2
North Carolina	16.6	9.7	4.7	11.6	20.9	6.7	38.9	93985	80.4	77.8	73.6	19.9	16.3	1.8	8.9	16.8	4.2	9.3	37.9	4687122	14.0	31.4	8.6	15.2	18.8	7.0	10457177	10551162	0.1	0.5	15	24	29	13	30	17	23	4	22	24	28	30	30	34	27	28	18	19	27	8	20	17	27	12	6	19	9	9	13	13
North Dakota	16.9	8.4	4.5	11.3	20.0	5.7	35.2	-4014	78.9	76.6	72.2	18.8	15.3	2.3	7.0	17.1	5.4	7.9	31.6	376597	14.8	22.3	6.3	11.1	11.0	7.4	778962	774948	0.0	0.2	13	47	35	27	45	32	48		43	40	42	45	45	11	52	23	7	47	51	48	17	45	35	38	38	8	48	48	30	20
Ohio	13.3	9.9	4.9	11.3	21.1	6.5	39.5	-10570	80.4	77.8	73.7	20.9	17.0	2.2	8.5	16.9	3.8	8.9	35.6	5217090	9.6	23.4	4.5	9.0	9.4	5.6	11790587	11780017	0.0	0.2	49	18	19	27	27	21	17		22	24	27	18	19	16	44	25	23	29	40	7	41	42	42	49	45	48	7	7	30	20
Oklahoma	15.3	9.1	4.8	11.5	21.9	5.5	36.7	24608	78.4	75.8	71.6	19.2	15.7	1.8	8.3	17.3	3.4	9.6	35.7	1740972	14.2	23.2	4.5	14.6	13.2	7.1	3962031	3986639	0.2	0.4	29	39	22	19	10	39	44	12	46	45	45	38	37	34	48	19	33	15	38	28	19	43	42	20	27	14	28	28	3	14
Oregon	17.0	10.7	4.8	11.6	20.7	5.5	39.5	4611	81.6	79.2	75.6	21.6	17.6	2.1	9.4	17.6	3.7	9.6	41.2	1788855	8.2	37.7	18.1	11.0	13.9	6.5	4241544	4246155	0.3	0.1	11	10	22	13	37	39	17	26	12	12	9	11	12	23	11	15	27	15	9	27	50	8	13	39	24	32	27	27	2	36
Pennsylvania	12.1	10.3	5.3	11.0	20.8	6.6	40.9	-25569	81.7	79.3	75.3	22.3	18.3	2.6	8.6	17.0	2.6	8.1	38.1	5713345	10.6	30.6	10.1	9.6	8.1	6.0	12989625	12964056	0.0	0.7	51	13	9	34	35	19	9		11	11	12	8	9	3	40	24	44	45	26	5	35	20	26	45	48	43	5	5	30	11
Puerto Rico	26.2	11.2	6.8	13.3	25.9	5.3	42.4	-17954	83.8	81.2	77.1	24.3	20.5	2.5	8.6	20.6	3.1	9.8	44.4	1559976	22.7	5.8	1.2	16.9	12.3	5.6	3281538	3263584	0.0	null	1	7	1	1	1	42	5		1	4	3	2	2	6	40	3	40	12	5	29	2	52	52	6	30	48	31	31	30	
Rhode Island	17.1	9.8	5.0	11.6	21.7	6.7	40.0	-619	83.0	80.6	75.6	21.2	17.3	2.5	9.4	18.4	3.8	10.0	37.9	469289	11.6	34.7	12.6	11.3	5.9	6.1	1096229	1095610	0.0	0.9	10	21	14	13	15	17	11		6	6	9	13	15	6	11	11	23	10	27	45	29	13	24	36	52	39	44	45	30	10
South Carolina	15.2	10.8	5.2	11.8	22.0	5.7	39.7	59976	80.8	78.2	74.1	21.6	17.7	1.7	9.1	17.5	3.2	10.0	40.3	2319112	15.4	29.9	8.1	15.7	18.8	6.9	5130729	5190705	0.1	0.4	30	9	10	10	7	32	14	6	18	18	20	11	11	40	21	16	39	10	12	23	13	23	30	10	6	22	23	23	13	14
South Dakota	15.8	9.7	4.7	11.5	21.3	7.3	37.2	8277	78.1	75.5	71.4	20.7	16.7	2.3	8.6	16.8	4.4	8.9	30.3	396817	12.3	18.7	3.4	9.6	13.9	7.1	887099	895376	0.1	0.1	24	24	29	19	22	9	39	23	47	47	47	22	24	11	40	28	16	29	52	47	25	49	47	45	24	14	47	47	13	36
Tennessee	15.5	9.8	4.8	11.6	21.8	5.9	38.8	55099	80.3	77.7	73.9	20.1	16.4	1.8	9.2	16.5	3.8	9.6	37.9	2996127	11.9	28.2	8.2	13.9	16.1	6.6	6920119	6975218	0.1	0.2	27	21	22	13	12	31	24	8	26	27	23	27	27	34	16	36	23	15	27	15	27	24	29	25	13	29	16	16	13	20
