name	edu_9_12	age_10_14	age_15_19	age_35_44	age_45_54	race_black	in_information	rent_1000_1499	built_1990_1999	built_2000_2009	ancestry_american	in_transportation	rank_edu_9_12	rank_age_10_14	rank_age_15_19	rank_age_35_44	rank_age_45_54	rank_race_black	rank_in_information	rank_rent_1000_1499	rank_built_1990_1999	rank_built_2000_2009	rank_ancestry_american	rank_in_transportation
Alabama	9.1	6.4	6.6	12.2	12.8	26.6	1.5	23.5	18.1	15.3	16.2	5.5	3	23	16	32	22	6	36	41	6	16	1	21
Alaska	4.5	6.7	6.3	12.8	12.1	3.2	2.0	35.3	14.2	15.7	3.5	8.9	44	11	34	13	37	40	9	12	24	14	42	1
Arizona	7.0	6.7	6.7	12.3	11.9	4.5	1.8	38.0	20.0	23.4	3.7	5.5	17	11	12	27	40	35	15	6	3	2	38	21
Arkansas	8.1	6.7	6.7	12.3	12.2	15.2	1.4	17.6	17.8	15.7	9.8	5.9	5	11	12	27	36	14	46	50	8	14	8	12
California	7.2	6.6	6.5	13.3	12.8	5.7	2.9	26.7	11.0	10.9	2.9	5.5	14	16	22	7	22	32	2	30	41	39	48	21
Colorado	4.6	6.4	6.4	13.8	12.5	4.1	2.7	34.7	16.8	17.1	3.8	4.8	39	23	31	2	28	36	4	13	16	11	35	35
Connecticut	5.1	6.2	6.8	11.9	13.8	10.7	2.0	38.4	7.8	6.8	3.7	4.3	32	35	8	43	3	23	9	5	48	50	38	44
Delaware	6.1	6.1	6.2	11.6	12.6	22.0	1.3	46.0	15.1	18.7	6.0	5.8	22	38	42	49	27	8	49	1	20	8	20	14
District of Columbia	4.8	4.3	5.3	15.1	10.8	45.4	3.6	23.2	3.3	8.2	2.6	3.3	36	52	52	1	50	1	1	43	52	47	49	51
Florida	6.9	5.8	5.7	12.1	12.9	15.9	1.7	39.2	16.9	18.7	8.0	5.8	18	46	50	36	15	12	20	4	14	8	11	14
Georgia	7.7	7.0	7.0	13.2	13.4	31.6	2.3	36.6	20.6	21.0	9.7	6.7	10	4	4	9	5	4	6	10	2	3	9	3
Hawaii	4.1	5.9	5.4	12.7	12.1	1.9	1.5	25.7	13.9	12.3	1.3	6.2	50	43	51	15	37	44	36	35	27	30	51	9
Idaho	5.6	7.4	7.1	12.6	11.5	0.7	1.6	27.8	18.1	19.7	6.2	5.0	28	2	2	17	44	51	25	26	6	4	19	33
Illinois	5.7	6.5	6.5	12.9	12.9	14.1	1.8	30.4	11.3	10.8	3.7	6.7	27	21	22	11	15	15	15	21	40	42	38	3
Indiana	7.1	6.7	6.9	12.3	12.5	9.4	1.4	23.9	14.7	11.9	7.7	5.7	16	11	6	27	28	24	46	40	22	33	12	18
Iowa	4.6	6.6	6.7	12.1	11.8	3.7	1.6	20.9	10.7	10.9	4.5	5.0	39	16	12	36	41	38	25	47	43	39	30	33
Kansas	5.2	6.9	6.9	12.3	11.6	5.7	1.8	26.1	12.9	10.9	5.9	5.1	31	7	6	27	43	32	15	33	32	39	21	32
Kentucky	7.8	6.4	6.5	12.4	12.9	8.1	1.5	20.9	17.1	14.3	14.0	6.5	8	23	22	25	15	26	36	47	13	22	2	5
Louisiana	9.5	6.7	6.4	12.6	12.1	32.2	1.5	26.8	12.8	14.3	7.5	5.6	2	11	31	17	37	3	36	29	33	22	15	19
Maine	4.5	5.4	5.8	11.5	13.4	1.4	1.6	27.7	12.2	12.6	6.5	4.1	44	50	49	50	5	47	25	27	35	29	18	47
Maryland	5.6	6.3	6.3	12.9	13.5	29.9	1.9	33.4	14.2	11.2	4.6	4.8	28	30	34	11	4	5	12	15	24	36	28	35
Massachusetts	4.7	5.7	6.6	12.2	13.3	7.5	2.2	25.8	7.8	7.1	3.8	4.0	38	47	16	32	7	27	7	34	48	49	35	48
