name	rooms_1	rooms_2	rooms_3	rooms_4	job_sales	units_5_9	class_govt	race_asian	race_mixed	age_85_over	income_mean	job_service	rent_median	in_arts_food	race_pacific	value_median	grapi_35_more	income_median	units_20_more	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1960_1969	built_1970_1979	in_public_admin	occupied_renter	income_200000_more	value_1000000_more	ancestry_portuguese	value_500000_999999	edu_associate_degree	income_100000_149999	income_150000_199999	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_job_sales	rank_units_5_9	rank_class_govt	rank_race_asian	rank_race_mixed	rank_age_85_over	rank_income_mean	rank_job_service	rank_rent_median	rank_in_arts_food	rank_race_pacific	rank_value_median	rank_grapi_35_more	rank_income_median	rank_units_20_more	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1960_1969	rank_built_1970_1979	rank_in_public_admin	rank_occupied_renter	rank_income_200000_more	rank_value_1000000_more	rank_ancestry_portuguese	rank_value_500000_999999	rank_edu_associate_degree	rank_income_100000_149999	rank_income_150000_199999
Alabama	1.5	1.2	5.6	13.9	21.5	4.2	15.7	1.4	2.4	1.8	71964	16.1	811	8.3	0.0	149600	38.8	52035	4.1	4.5	0.9	0.3	0.4	11.3	16.0	5.5	30.8	4.4	0.8	0.1	3.8	8.7	13.1	4.9	40	51	50	41	20	28	16	44	50	34	47	43	45	40	32	45	21	46	42	42	45	39	43	15	21	13	39	45	39	29	42	28	45	44
Alaska	6.0	7.3	12.1	19.8	20.4	4.6	25.9	6.4	9.3	0.9	98811	17.7	1240	9.0	1.4	275600	34.8	77790	4.9	18.9	11.0	2.4	1.1	8.0	23.0	11.8	35.2	8.8	0.8	0.2	9.4	8.7	19.3	9.6	2	3	4	4	40	16	1	9	3	52	13	14	11	22	2	16	44	9	35	12	5	11	15	46	2	2	14	13	39	17	17	28	2	6
Arizona	2.7	3.8	9.7	16.8	23.9	4.0	13.8	3.3	7.0	2.0	84380	18.7	1097	10.4	0.2	242000	38.6	61529	7.5	14.9	3.6	1.1	1.1	7.2	16.6	4.9	34.7	6.4	2.0	0.2	9.3	8.9	15.0	6.1	13	9	13	14	3	33	31	21	9	26	24	10	18	6	9	20	24	29	20	19	19	18	15	48	17	18	15	23	18	17	18	21	31	26
Arkansas	2.1	2.0	6.8	15.9	21.2	3.4	15.2	1.5	4.0	2.0	69357	16.6	760	7.9	0.3	133600	34.5	49475	2.9	2.8	0.8	0.3	0.3	10.1	18.2	4.4	34.2	4.0	0.6	0.1	2.7	7.5	11.7	4.0	21	40	42	22	24	43	19	42	26	26	49	34	50	47	8	49	47	49	50	51	47	39	46	23	7	30	17	49	46	29	49	45	50	50
California	4.0	4.3	11.8	19.1	20.9	5.9	13.9	14.8	7.9	1.9	111622	18.1	1586	10.2	0.4	538500	44.7	78672	12.6	23.8	14.5	7.6	8.2	13.2	17.5	4.6	44.7	13.3	16.7	0.8	37.0	8.0	17.1	9.4	5	4	5	5	30	5	29	2	6	32	6	12	3	9	6	3	4	7	6	3	2	3	3	5	12	25	3	5	2	7	3	38	15	8
Colorado	2.2	4.0	9.9	15.0	20.9	4.5	13.6	3.2	5.9	1.6	100933	16.5	1335	10.4	0.2	369900	41.2	75231	11.1	24.8	9.0	2.9	1.8	8.3	17.8	4.6	33.8	9.6	4.0	0.3	22.8	8.5	18.2	8.7	19	8	12	34	30	22	34	22	13	45	12	36	8	6	9	5	9	12	11	2	11	10	11	43	10	25	20	12	8	14	6	32	8	12
Connecticut	2.1	2.9	9.1	15.2	20.9	5.3	12.8	4.6	4.8	2.6	115337	17.3	1201	8.3	0.0	279700	42.2	79855	9.1	17.9	6.3	2.4	2.5	13.6	13.5	3.7	33.9	13.2	4.7	1.3	12.1	7.8	17.6	9.6	21	19	16	30	30	7	41	14	15	3	4	19	13	40	32	14	7	6	16	14	12	11	9	3	42	46	18	6	7	5	13	42	12	6
Delaware	1.2	1.1	5.4	11.9	21.6	4.0	15.2	4.0	3.9	1.9	92308	17.2	1150	8.8	0.1	258300	39.8	69110	5.1	15.3	3.1	0.8	0.8	10.0	11.4	5.6	28.6	7.6	1.5	0.1	7.5	8.0	17.0	7.7	52	52	51	52	19	33	19	18	27	32	18	22	16	31	13	18	17	17	33	17	24	24	24	27	50	11	48	18	23	29	24	38	16	18
District of Columbia	7.9	10.5	21.5	17.3	14.5	7.1	24.8	4.1	4.2	1.6	133587	13.6	1607	9.0	0.0	618100	36.0	90842	37.8	21.1	14.6	8.6	10.3	11.0	6.9	16.8	57.5	19.8	20.3	0.2	41.3	2.9	16.4	10.3	1	1	1	8	52	2	2	16	23	45	1	52	2	22	32	2	35	1	1	6	1	2	2	18	52	1	1	1	1	17	2	51	19	5
Florida	2.0	2.6	10.0	20.8	24.3	4.9	11.7	2.8	6.0	2.7	83104	19.6	1218	12.0	0.1	232000	46.8	57703	13.8	19.6	6.2	2.2	1.7	8.8	17.4	4.3	33.8	6.4	2.7	0.4	8.7	10.0	13.7	5.6	25	25	10	2	2	10	49	26	12	2	28	5	12	3	13	23	1	38	5	10	13	13	12	35	14	33	20	23	12	11	20	13	40	32
