name	age_5_9	age_10_14	age_15_19	race_white	age_under18	ancestry_swiss	ancestry_welsh	in_agri_mining	ancestry_danish	built_2000_2009	in_construction	ancestry_english	ancestry_swedish	built_2014_later	job_construction	units_1_detached	ancestry_scottish	units_boat_rv_van	class_selfemployed	income_35000_49999	income_50000_74999	edu_college_nodegree	rank_age_5_9	rank_age_10_14	rank_age_15_19	rank_race_white	rank_age_under18	rank_ancestry_swiss	rank_ancestry_welsh	rank_in_agri_mining	rank_ancestry_danish	rank_built_2000_2009	rank_in_construction	rank_ancestry_english	rank_ancestry_swedish	rank_built_2014_later	rank_job_construction	rank_units_1_detached	rank_ancestry_scottish	rank_units_boat_rv_van	rank_class_selfemployed	rank_income_35000_49999	rank_income_50000_74999	rank_edu_college_nodegree
Alabama	6.0	6.4	6.6	67.5	22.3	0.1	0.5	1.4	0.1	15.3	6.7	7.9	0.3	3.5	9.5	68.7	1.8	0.1	5.4	13.2	17.5	21.6	27	23	16	37	25	44	26	28	40	16	26	32	48	25	18	16	21	13	35	21	34	19
Alaska	7.2	6.7	6.3	63.4	24.9	0.4	0.8	4.5	0.7	15.7	6.7	8.0	2.0	2.4	11.6	63.0	2.2	0.2	6.7	10.1	18.3	26.0	2	11	34	42	4	10	12	6	13	14	26	29	14	37	5	35	11	3	13	45	19	2
Arizona	6.2	6.7	6.7	73.8	22.9	0.3	0.6	1.3	0.6	23.4	7.1	8.5	1.3	4.2	8.9	64.0	1.7	0.4	6.1	13.3	18.6	24.9	19	11	12	29	19	19	18	31	15	2	14	25	23	16	29	30	23	1	23	16	11	7
Arkansas	6.5	6.7	6.7	75.4	23.3	0.2	0.5	2.7	0.2	15.7	6.9	8.2	0.5	4.1	10.1	70.1	1.7	0.1	6.0	14.1	18.4	22.0	11	11	12	27	14	24	26	16	28	14	22	27	40	17	14	11	23	13	25	2	16	17
California	6.2	6.6	6.5	56.1	22.8	0.2	0.4	2.1	0.4	10.9	6.4	5.4	0.9	2.4	8.8	57.7	1.2	0.1	7.8	10.0	15.3	20.9	19	16	22	49	20	24	38	23	18	39	36	47	26	37	31	42	42	13	6	46	46	24
Colorado	6.1	6.4	6.4	81.5	22.1	0.4	0.8	2.2	0.7	17.1	8.1	10.4	2.2	5.1	9.1	62.8	2.5	0.1	6.3	11.0	17.4	20.8	24	23	31	19	30	10	12	21	13	11	5	12	13	8	24	36	10	13	19	39	35	26
Connecticut	5.4	6.2	6.8	74.2	20.6	0.2	0.4	0.4	0.3	6.8	6.1	8.4	1.4	1.6	7.2	59.0	1.6	0.0	6.3	10.0	15.4	16.8	44	35	8	28	43	24	38	49	22	50	39	26	22	49	47	39	30	30	19	46	45	45
Delaware	5.7	6.1	6.2	67.4	21.1	0.2	0.8	1.0	0.1	18.7	6.9	9.4	0.7	5.4	8.8	58.5	1.6	0.0	4.3	11.7	17.7	18.9	40	38	42	38	39	24	12	38	40	8	22	17	30	6	31	41	30	30	50	36	30	40
District of Columbia	5.0	4.3	5.3	41.1	18.0	0.2	0.4	0.2	0.3	8.2	2.8	5.6	0.8	5.4	2.7	12.0	1.3	0.0	4.3	7.2	12.4	12.6	51	52	52	51	52	24	38	52	22	47	52	44	28	6	52	52	40	30	50	52	51	51
Florida	5.3	5.8	5.7	71.6	19.9	0.2	0.5	0.9	0.2	18.7	7.9	7.0	0.7	4.4	9.3	54.7	1.5	0.2	5.9	13.8	18.3	19.8	45	46	50	31	45	24	26	42	28	8	7	38	30	14	21	46	32	3	26	6	19	37
Georgia	6.5	7.0	7.0	57.2	23.8	0.1	0.5	1.1	0.1	21.0	6.6	7.8	0.4	4.3	8.8	66.6	1.7	0.1	5.4	12.5	17.6	20.2	11	4	4	48	9	44	26	36	40	3	29	33	46	15	31	24	23	13	35	26	31	35
Hawaii	5.9	5.9	5.4	24.1	21.3	0.1	0.3	1.4	0.2	12.3	7.3	4.0	0.6	2.6	9.2	53.8	0.9	0.0	6.9	9.7	16.1	20.8	36	43	51	52	38	44	46	28	28	30	9	51	34	34	22	47	51	30	10	48	43	26
Idaho	7.1	7.4	7.1	88.4	25.3	0.7	1.4	4.8	1.9	19.7	8.2	17.1	2.8	6.3	12.2	73.5	3.2	0.2	7.3	14.0	20.9	26.1	3	2	2	7	3	3	2	5	3	4	2	3	6	4	2	1	5	3	8	4	1	1
Illinois	6.0	6.5	6.5	69.8	22.5	0.3	0.4	1.0	0.3	10.8	5.4	5.7	1.9	1.7	7.2	58.8	1.1	0.0	4.6	11.2	16.7	20.4	27	21	22	34	23	19	38	38	22	42	51	43	16	48	47	40	46	30	47	38	40	33
Indiana	6.5	6.7	6.9	82.3	23.5	0.6	0.6	1.2	0.2	11.9	6.2	8.7	0.8	2.9	8.7	73.1	1.7	0.0	4.5	13.6	19.2	20.1	11	11	6	17	11	5	18	34	28	33	38	23	28	31	36	2	23	30	49	8	3	36
Iowa	6.4	6.6	6.7	89.1	23.1	0.5	0.6	3.8	1.6	10.9	6.5	8.1	2.5	3.6	9.6	73.1	1.5	0.1	6.4	13.1	19.1	20.6	15	16	12	6	17	8	18	10	5	39	32	28	10	22	17	2	32	13	18	23	5	30
Kansas	6.8	6.9	6.9	83.0	24.2	0.4	0.8	3.1	0.5	10.9	6.4	10.2	2.0	2.8	9.5	72.7	1.9	0.1	6.1	13.5	18.7	22.8	7	7	6	15	7	10	12	13	17	39	36	14	14	32	18	5	19	13	23	11	9	13
Kentucky	6.2	6.4	6.5	86.2	22.6	0.2	0.6	1.9	0.1	14.3	6.1	11.0	0.4	3.1	9.0	67.5	1.9	0.1	5.2	13.5	18.0	20.9	19	23	22	9	22	24	18	25	40	22	39	10	46	29	26	19	19	13	38	11	26	24
Louisiana	6.4	6.7	6.4	61.2	23.5	0.1	0.3	3.7	0.1	14.3	8.1	5.5	0.3	4.0	11.1	65.7	1.0	0.2	6.2	12.5	16.3	21.2	15	11	31	45	11	44	46	11	40	22	5	46	48	19	6	26	47	3	21	26	41	21
Maine	5.1	5.4	5.8	93.7	18.7	0.2	0.9	2.4	0.4	12.6	7.3	19.0	1.6	2.2	10.8	70.3	4.5	0.0	8.4	13.1	18.5	19.2	48	50	49	1	50	24	9	19	18	29	9	2	18	40	9	10	1	30	3	23	12	38
Maryland	6.1	6.3	6.3	54.2	22.2	0.2	0.6	0.5	0.2	11.2	7.1	7.3	0.5	3.2	7.8	51.6	1.4	0.0	5.0	9.3	15.2	18.7	24	30	34	50	27	24	18	47	28	36	14	34	40	28	44	50	35	30	40	49	47	41
Massachusetts	5.3	5.7	6.6	76.6	19.8	0.1	0.4	0.4	0.2	7.1	5.8	9.3	1.5	2.3	6.6	52.1	2.0	0.0	5.7	9.0	13.9	15.3	45	47	16	26	46	44	38	49	28	49	46	19	20	39	51	49	16	30	28	50	50	50
Michigan	5.9	6.2	6.6	77.6	21.7	0.2	0.5	1.1	0.4	9.9	5.5	8.8	1.3	1.8	7.9	72.1	2.1	0.0	5.0	13.3	18.2	23.2	36	35	16	24	36	24	26	36	18	44	50	22	23	45	43	7	14	30	40	16	22	10
Minnesota	6.5	6.6	6.4	81.6	23.2	0.4	0.4	2.1	1.2	13.7	6.1	5.6	7.3	3.3	8.0	67.0	1.2	0.0	5.4	11.5	17.4	20.8	11	16	31	18	15	10	38	23	7	26	39	44	1	27	40	21	42	30	35	37	35	26
Mississippi	6.4	7.0	7.0	58.0	23.7	0.0	0.3	2.3	0.1	16.8	6.7	7.3	0.3	3.5	10.4	69.3	1.4	0.1	5.5	13.5	17.0	22.2	15	4	4	47	10	51	46	20	40	12	26	34	48	25	13	12	35	13	32	11	39	15
Missouri	6.1	6.5	6.5	81.3	22.5	0.4	0.6	1.7	0.3	13.0	6.5	9.1	0.9	2.8	8.8	70.4	1.7	0.1	5.6	13.7	18.5	22.0	24	21	22	20	23	10	18	26	22	28	32	20	26	32	31	9	23	13	30	7	12	17
Montana	5.9	6.2	6.1	87.8	21.5	0.5	1.0	6.4	1.1	14.4	8.2	11.6	2.7	4.1	11.8	69.3	3.0	0.1	8.6	13.5	19.2	23.3	36	35	43	8	37	8	6	3	8	21	2	7	9	17	4	12	7	13	2	11	3	9
Nebraska	6.9	7.0	6.8	85.3	24.7	0.4	0.5	4.4	2.0	11.1	7.0	8.0	3.7	3.6	9.9	72.2	1.4	0.0	6.2	13.3	19.3	22.7	6	4	8	11	5	10	26	7	2	37	19	29	3	22	16	6	35	30	21	16	2	14
Nevada	6.2	6.6	6.0	62.1	22.7	0.3	0.5	1.4	0.6	26.6	7.2	7.3	1.1	4.7	9.0	60.0	1.5	0.2	5.5	13.3	18.5	25.1	19	16	45	44	21	19	26	28	15	1	11	34	25	11	26	38	32	3	32	16	12	5
New Hampshire	5.1	5.7	6.3	92.0	19.0	0.2	0.8	0.8	0.3	11.6	6.9	16.9	1.9	2.2	8.7	63.3	4.1	0.0	6.6	10.2	17.1	18.0	48	47	34	4	48	24	12	44	22	34	22	5	16	40	36	32	4	30	14	44	37	43
New Jersey	6.0	6.3	6.3	65.5	22.0	0.2	0.3	0.3	0.2	8.8	5.9	4.8	0.5	2.2	7.0	53.5	1.0	0.0	4.6	9.0	14.5	16.1	27	30	34	41	31	24	46	51	28	46	44	49	40	40	49	48	47	30	47	50	49	47
New Mexico	6.3	6.9	6.6	70.0	23.1	0.2	0.5	4.0	0.3	14.7	7.2	6.6	0.7	2.5	10.8	64.5	1.4	0.2	6.5	13.2	17.8	23.4	18	7	16	33	17	24	26	9	22	20	11	39	30	35	9	29	35	3	16	21	29	8
