name	units_5_9	in_wholesale	class_private	ancestry_greek	ancestry_polish	built_1950_1959	housing_occupied	in_transportation	ancestry_lithuanian	rank_units_5_9	rank_in_wholesale	rank_class_private	rank_ancestry_greek	rank_ancestry_polish	rank_built_1950_1959	rank_housing_occupied	rank_in_transportation	rank_ancestry_lithuanian
Alabama	4.2	2.5	78.7	0.2	0.6	8.2	83.2	5.5	0.0	28	24	29	31	49	34	46	21	46
Alaska	4.6	1.8	67.2	0.2	1.9	4.6	80.1	8.9	0.1	16	48	52	31	24	51	49	1	22
Arizona	4.0	2.3	79.9	0.3	2.2	5.2	86.9	5.5	0.2	33	35	22	20	21	50	31	21	14
Arkansas	3.4	2.4	78.6	0.1	0.8	6.8	84.8	5.9	0.1	43	28	30	45	46	44	37	12	22
California	5.9	2.8	78.1	0.3	1.2	13.3	92.2	5.5	0.1	5	4	34	20	39	7	1	21	22
Colorado	4.5	2.3	80.0	0.3	2.3	7.4	90.5	4.8	0.2	22	35	21	20	18	37	9	35	14
Connecticut	5.3	2.4	80.8	0.8	6.9	14.7	91.1	4.3	0.7	7	28	14	3	3	1	4	44	1
Delaware	4.0	2.1	80.3	0.5	4.1	9.9	84.6	5.8	0.3	33	41	16	8	10	20	39	14	7
District of Columbia	7.1	0.6	70.7	0.4	2.2	12.1	90.3	3.3	0.3	2	52	49	13	21	11	13	51	7
Florida	4.9	2.6	82.2	0.4	2.3	7.0	82.9	5.8	0.2	10	16	9	13	18	41	47	14	14
Georgia	4.4	2.8	80.1	0.2	1.0	5.9	88.5	6.7	0.1	23	4	19	31	41	49	23	3	22
Hawaii	6.4	2.2	72.5	0.2	0.9	8.5	85.6	6.2	0.1	3	37	47	31	44	33	35	9	22
Idaho	2.8	2.7	77.8	0.2	1.3	6.1	88.1	5.0	0.1	50	12	36	31	36	47	25	33	22
Illinois	6.3	2.9	83.1	0.7	6.6	12.6	90.9	6.7	0.6	4	3	4	4	4	8	5	3	3
Indiana	4.7	2.5	84.5	0.3	3.0	10.9	89.6	5.7	0.1	14	24	1	20	16	14	17	18	22
Iowa	3.6	2.8	79.9	0.2	1.3	10.1	90.5	5.0	0.1	42	4	22	31	36	17	9	33	22
Kansas	3.9	2.8	77.8	0.2	1.3	12.6	89.2	5.1	0.1	36	4	36	31	36	8	19	32	22
Kentucky	4.4	2.4	80.3	0.1	0.9	9.1	87.6	6.5	0.1	23	28	16	45	44	25	29	5	22
Louisiana	3.1	2.6	78.4	0.1	0.5	9.3	84.4	5.6	0.0	47	16	31	45	50	24	41	19	46
Maine	3.7	2.0	77.9	0.5	2.2	7.2	76.3	4.1	0.3	40	44	35	8	21	40	52	47	7
Maryland	5.0	1.7	73.1	0.5	2.9	11.3	90.7	4.8	0.3	9	51	46	8	17	13	8	35	7
Massachusetts	5.8	2.2	81.9	1.1	4.2	11.4	90.9	4.0	0.7	6	37	11	2	9	12	5	48	1
Michigan	4.1	2.4	84.2	0.4	8.0	14.7	86.3	4.4	0.3	32	28	2	13	2	1	32	42	7
Minnesota	2.2	2.8	82.3	0.2	4.3	9.7	89.8	4.7	0.1	52	4	8	31	8	21	16	38	22
Mississippi	4.2	2.4	75.7	0.1	0.4	7.4	83.9	6.5	0.0	28	28	43	45	51	37	44	5	46
Missouri	3.8	2.7	81.9	0.2	1.6	10.0	87.0	5.6	0.1	39	12	11	31	30	19	30	19	22
Montana	2.8	2.1	74.7	0.2	1.9	9.0	84.7	5.2	0.1	50	41	45	31	24	26	38	30	22
Nebraska	4.0	2.6	79.5	0.2	3.3	9.5	90.8	5.9	0.1	33	16	26	31	15	23	7	12	22
Nevada	7.5	2.1	82.4	0.4	1.8	2.8	89.1	6.2	0.1	1	41	7	13	26	52	20	9	22
New Hampshire	4.6	2.6	80.1	1.4	4.0	6.9	84.4	3.7	0.5	16	16	19	1	11	42	41	50	4
New Jersey	4.7	3.3	81.6	0.7	5.3	14.7	90.2	6.4	0.3	14	2	13	4	6	1	14	7	7
New Mexico	2.9	1.8	70.7	0.2	1.0	9.6	84.0	4.4	0.1	48	48	49	31	41	22	43	42	22
New York	5.1	2.2	78.4	0.7	4.4	14.6	88.7	5.5	0.2	8	37	31	4	7	4	22	21	14
North Carolina	4.2	2.5	80.3	0.3	1.4	6.9	86.0	4.8	0.1	28	24	16	20	35	42	33	35	22
North Dakota	3.9	3.4	76.2	0.1	2.3	8.6	85.2	5.4	0.0	36	1	41	45	18	29	36	27	46
Ohio	4.6	2.6	82.8	0.5	3.6	14.0	90.4	5.4	0.2	16	16	5	8	12	5	11	27	14
Oklahoma	3.7	2.6	76.3	0.1	0.8	10.1	85.8	5.5	0.0	40	16	39	45	46	17	34	21	46
Oregon	4.4	2.6	78.9	0.3	1.6	7.9	91.8	4.5	0.1	23	16	28	20	30	35	3	40	22
Pennsylvania	3.2	2.6	84.1	0.5	6.0	13.5	89.4	5.8	0.5	46	16	3	8	5	6	18	14	4
Puerto Rico	4.4	2.8	68.9	null	null	8.6	77.3	3.8	null	23	4	51			29	51	49	
Rhode Island	4.8	2.2	82.0	0.7	3.5	12.3	88.4	4.2	0.3	12	37	10	4	14	10	24	46	7
South Carolina	4.2	2.4	79.3	0.3	1.5	6.5	84.6	5.3	0.1	28	28	27	20	34	46	39	29	22
South Dakota	3.9	2.8	76.3	0.1	1.6	8.7	87.7	4.3	0.0	36	4	39	45	30	27	28	44	46
Tennessee	4.6	2.5	79.7	0.2	1.1	8.7	88.1	6.8	0.1	16	24	24	31	40	27	25	2	22
Texas	4.6	2.8	79.7	0.2	1.0	7.7	89.1	6.0	0.1	16	4	24	31	41	36	20	11	22
Utah	3.4	2.4	80.4	0.4	0.8	6.8	90.4	5.2	0.1	43	28	15	13	46	44	11	30	22
Vermont	4.8	1.9	77.0	0.4	3.6	6.0	77.9	3.0	0.4	12	46	38	13	12	48	50	52	6
Virginia	4.6	1.8	75.0	0.4	1.8	8.6	90.0	4.5	0.2	16	48	44	13	26	29	15	40	14
Washington	4.4	2.7	78.4	0.3	1.7	7.3	92.2	5.5	0.2	23	12	31	20	28	39	1	21	14
