name	in_finance	race_white	age_85_over	grapi_20_24	rent_500_999	grapi_15_less	ancestry_czech	ancestry_dutch	ancestry_danish	ancestry_german	in_manufacturing	job_prod_transpo	value_50000_99999	built_1939_earlier	value_100000_149000	edu_associate_degree	rank_in_finance	rank_race_white	rank_age_85_over	rank_grapi_20_24	rank_rent_500_999	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_dutch	rank_ancestry_danish	rank_ancestry_german	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_99999	rank_built_1939_earlier	rank_value_100000_149000	rank_edu_associate_degree
Alabama	5.6	67.5	1.8	12.2	54.7	15.5	0.1	0.6	0.1	6.2	14.2	17.2	19.7	5.1	17.9	8.7	36	37	34	44	14	15	44	44	40	47	7	6	8	39	12	28
Alaska	3.8	63.4	0.9	14.7	25.1	14.5	0.4	1.4	0.7	14.3	3.8	12.1	5.0	1.6	6.3	8.7	52	42	52	1	42	23	14	16	13	21	50	30	37	50	40	28
Arizona	8.6	73.8	2.0	14.0	35.6	13.1	0.4	1.1	0.6	12.7	7.0	10.9	6.7	1.4	9.6	8.9	3	29	26	7	34	35	14	23	15	23	40	41	32	51	34	21
Arkansas	4.9	75.4	2.0	13.3	62.1	17.3	0.2	1.0	0.2	9.3	13.4	17.3	22.9	4.6	20.1	7.5	46	27	26	24	1	8	29	26	28	33	8	5	4	41	6	45
California	6.0	56.1	1.9	12.2	14.6	10.6	0.2	0.8	0.4	7.1	9.0	11.9	2.0	9.0	2.3	8.0	30	49	32	44	49	50	29	34	18	44	30	34	47	30	50	38
Colorado	7.1	81.5	1.6	13.5	20.8	10.5	0.6	1.5	0.7	18.3	6.8	10.0	2.8	7.6	3.7	8.5	13	19	45	19	46	51	11	14	13	15	41	46	44	33	48	32
Connecticut	9.1	74.2	2.6	12.3	22.9	12.2	0.3	0.7	0.3	8.4	10.5	10.2	2.9	21.5	8.3	7.8	2	28	3	43	43	41	22	39	22	40	21	45	43	9	37	42
Delaware	9.4	67.4	1.9	11.8	26.3	12.9	0.2	0.8	0.1	12.0	8.0	11.7	3.7	8.2	7.4	8.0	1	38	32	47	39	38	29	34	40	26	36	37	40	32	38	38
District of Columbia	6.4	41.1	1.6	13.7	12.2	15.1	0.4	0.7	0.3	7.3	1.1	3.7	0.8	33.6	1.0	2.9	22	51	45	14	51	18	14	39	22	43	52	52	52	1	52	51
Florida	7.7	71.6	2.7	12.4	26.1	8.9	0.2	0.8	0.2	9.2	5.1	10.4	9.5	2.1	11.0	10.0	7	31	2	42	40	52	29	34	28	36	44	44	28	48	30	13
