name	age_5_9	age_15_19	age_20_24	grapi_15_19	grapi_20_24	rooms_median	ancestry_german	built_1950_1959	value_50000_less	value_50000_99999	rank_age_5_9	rank_age_15_19	rank_age_20_24	rank_grapi_15_19	rank_grapi_20_24	rank_rooms_median	rank_ancestry_german	rank_built_1950_1959	rank_value_50000_less	rank_value_50000_99999
Alabama	6.0	6.6	6.6	13.2	12.2	5.8	6.2	8.2	12.5	19.7	27	16	34	34	44	13	47	34	4	8
Alaska	7.2	6.3	7.2	14.9	14.7	4.8	14.3	4.6	6.2	5.0	2	34	6	7	1	49	21	51	30	37
Arizona	6.2	6.7	6.8	13.3	14.0	5.3	12.7	5.2	7.3	6.7	19	12	17	30	7	42	23	50	26	32
Arkansas	6.5	6.7	6.7	14.3	13.3	5.4	9.3	6.8	13.3	22.9	11	12	25	14	24	37	33	44	3	4
California	6.2	6.5	6.8	11.4	12.2	5.1	7.1	13.3	2.7	2.0	19	22	17	49	44	47	44	7	45	47
Colorado	6.1	6.4	6.7	12.2	13.5	5.7	18.3	7.4	3.3	2.8	24	31	25	44	19	19	15	37	43	44
Connecticut	5.4	6.8	6.8	12.2	12.3	5.6	8.4	14.7	2.0	2.9	44	8	17	44	43	23	40	1	49	43
Delaware	5.7	6.2	6.0	13.7	11.8	6.3	12.0	9.9	4.9	3.7	40	42	49	20	47	2	26	20	34	40
District of Columbia	5.0	5.3	7.5	13.5	13.7	4.1	7.3	12.1	1.1	0.8	51	52	3	26	14	52	43	11	51	52
Florida	5.3	5.7	6.0	10.7	12.4	5.2	9.2	7.0	6.5	9.5	45	50	49	52	42	45	36	41	29	28
Georgia	6.5	7.0	6.8	13.5	12.9	5.9	6.4	5.9	7.7	12.9	11	4	17	26	29	9	46	49	22	22
Hawaii	5.9	5.4	6.5	10.8	11.8	4.7	5.8	8.5	1.0	1.2	36	51	39	51	47	51	48	33	52	50
Idaho	7.1	7.1	6.7	14.4	13.6	5.9	16.6	6.1	5.1	6.3	3	2	25	12	15	9	18	47	32	33
Illinois	6.0	6.5	6.6	13.9	13.3	5.6	17.1	12.6	6.1	13.4	27	22	34	16	24	23	17	8	31	21
Indiana	6.5	6.9	7.1	14.0	12.9	5.8	20.6	10.9	7.9	20.8	11	6	9	15	29	13	13	14	20	6
Iowa	6.4	6.7	7.2	14.5	14.1	5.9	32.3	10.1	8.4	19.6	15	12	6	9	5	9	5	17	16	9
Kansas	6.8	6.9	7.3	15.1	14.1	6.0	24.1	12.6	11.0	19.1	7	6	4	5	5	5	7	8	9	11
Kentucky	6.2	6.5	6.8	14.4	12.6	5.6	13.1	9.1	11.8	19.3	19	22	17	12	39	23	22	25	5	10
Louisiana	6.4	6.4	6.7	11.5	10.8	5.4	6.7	9.3	11.3	14.7	15	31	25	48	52	37	45	24	7	17
Maine	5.1	5.8	5.6	13.3	13.4	5.4	7.8	7.2	6.9	11.6	48	49	52	30	22	37	42	40	27	26
Maryland	6.1	6.3	6.3	12.9	13.8	6.2	12.1	11.3	2.6	3.4	24	34	45	38	12	3	25	13	46	41
Massachusetts	5.3	6.6	7.1	12.5	12.8	5.5	5.6	11.4	1.5	1.2	45	16	9	42	35	32	49	12	50	50
Michigan	5.9	6.6	6.9	13.3	12.6	5.8	18.5	14.7	10.9	16.4	36	16	14	30	39	13	14	1	10	13
Minnesota	6.5	6.4	6.4	13.7	14.0	6.1	31.3	9.7	4.3	7.0	11	31	42	20	7	4	6	21	36	31
Mississippi	6.4	7.0	6.9	11.9	12.7	5.6	4.8	7.4	16.0	24.3	15	4	14	46	38	23	51	37	2	2
Missouri	6.1	6.5	6.7	15.0	13.3	5.6	22.3	10.0	8.7	16.9	24	22	25	6	24	23	12	19	14	12
Montana	5.9	6.1	6.8	13.1	12.9	5.5	24.1	9.0	7.4	7.6	36	43	17	37	29	32	7	26	24	30
Nebraska	6.9	6.8	7.1	15.3	13.8	6.0	32.4	9.5	7.9	15.4	6	8	9	3	12	5	4	23	20	15
Nevada	6.2	6.0	6.0	13.2	13.2	5.2	10.0	2.8	4.0	3.8	19	45	49	34	28	45	30	52	40	39
New Hampshire	5.1	6.3	6.6	13.9	14.5	5.6	8.6	6.9	4.0	4.6	48	34	34	16	2	23	38	42	40	38
New Jersey	6.0	6.3	6.2	12.9	12.8	5.7	9.8	14.7	2.3	2.8	27	34	48	38	35	19	31	1	47	44
New Mexico	6.3	6.6	6.8	13.3	12.0	5.3	8.0	9.6	10.6	12.6	18	16	17	30	46	42	41	22	12	24
New York	5.6	6.1	6.6	11.9	11.6	5.0	9.3	14.6	4.3	9.3	41	43	34	46	50	48	33	4	36	29
North Carolina	6.0	6.6	6.7	13.7	13.5	5.5	9.6	6.9	7.5	14.2	27	16	25	20	19	32	32	42	23	19
North Dakota	6.6	6.3	8.3	16.4	14.3	5.6	36.9	8.6	9.7	11.7	10	34	1	1	3	23	2	29	13	25
