name	edu_9_12	rent_500_999	units_mobile	grapi_15_less	edu_highschool	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_american	in_transportation	value_50000_99999	value_100000_149000	rank_edu_9_12	rank_rent_500_999	rank_units_mobile	rank_grapi_15_less	rank_edu_highschool	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_in_transportation	rank_value_50000_99999	rank_value_100000_149000
Alabama	9.1	54.7	13.0	15.5	30.3	14.2	17.2	12.5	16.2	5.5	19.7	17.9	3	14	5	15	14	7	6	4	1	21	8	12
Alaska	4.5	25.1	4.4	14.5	28.4	3.8	12.1	6.2	3.5	8.9	5.0	6.3	44	42	32	23	21	50	30	30	42	1	37	40
Arizona	7.0	35.6	10.3	13.1	23.8	7.0	10.9	7.3	3.7	5.5	6.7	9.6	17	34	11	35	44	40	41	26	38	21	32	34
Arkansas	8.1	62.1	11.7	17.3	33.9	13.4	17.3	13.3	9.8	5.9	22.9	20.1	5	1	9	8	3	8	5	3	8	12	4	6
California	7.2	14.6	3.6	10.6	20.4	9.0	11.9	2.7	2.9	5.5	2.0	2.3	14	49	37	50	50	30	34	45	48	21	47	50
Colorado	4.6	20.8	3.9	10.5	21.2	6.8	10.0	3.3	3.8	4.8	2.8	3.7	39	46	34	51	49	41	46	43	35	35	44	48
Connecticut	5.1	22.9	0.8	12.2	26.3	10.5	10.2	2.0	3.7	4.3	2.9	8.3	32	43	48	41	32	21	45	49	38	44	43	37
Delaware	6.1	26.3	7.8	12.9	31.0	8.0	11.7	4.9	6.0	5.8	3.7	7.4	22	39	19	38	11	36	37	34	20	14	40	38
District of Columbia	4.8	12.2	0.1	15.1	16.6	1.1	3.7	1.1	2.6	3.3	0.8	1.0	36	51	52	18	51	52	52	51	49	51	52	52
Florida	6.9	26.1	8.7	8.9	28.2	5.1	10.4	6.5	8.0	5.8	9.5	11.0	18	40	15	52	23	44	44	29	11	14	28	30
Georgia	7.7	37.9	8.6	13.5	27.5	10.5	14.7	7.7	9.7	6.7	12.9	15.1	10	29	16	32	27	21	12	22	9	3	22	23
Hawaii	4.1	11.8	0.2	11.1	27.3	2.9	9.3	1.0	1.3	6.2	1.2	1.5	50	52	51	49	28	51	49	52	51	9	50	51
Idaho	5.6	51.3	7.7	15.0	26.7	9.6	13.1	5.1	6.2	5.0	6.3	11.9	28	18	20	20	30	27	23	32	19	33	33	29
Illinois	5.7	37.2	2.4	14.6	25.6	11.7	14.7	6.1	3.7	6.7	13.4	14.4	27	30	43	22	37	16	12	31	38	3	21	26
Indiana	7.1	58.6	4.7	15.4	33.2	18.7	19.5	7.9	7.7	5.7	20.8	21.7	16	3	31	16	5	1	1	20	12	18	6	2
Iowa	4.6	58.1	3.6	17.5	30.8	14.7	17.0	8.4	4.5	5.0	19.6	20.4	39	5	37	6	12	5	7	16	30	33	9	4
Kansas	5.2	53.6	4.2	16.0	25.8	12.5	14.5	11.0	5.9	5.1	19.1	16.9	31	15	33	13	35	14	15	9	21	32	11	15
Kentucky	7.8	58.0	11.5	18.0	32.6	14.3	18.4	11.8	14.0	6.5	19.3	20.0	8	6	10	4	7	6	2	5	2	5	10	7
Louisiana	9.5	51.2	12.9	13.8	33.3	7.6	13.1	11.3	7.5	5.6	14.7	16.0	2	19	6	30	4	38	23	7	15	19	17	18
Maine	4.5	45.2	8.3	12.4	31.3	8.7	12.0	6.9	6.5	4.1	11.6	14.7	44	25	18	39	9	33	31	27	18	47	26	24
Maryland	5.6	15.4	1.3	11.8	24.2	4.5	8.9	2.6	4.6	4.8	3.4	5.8	28	48	45	46	41	47	51	46	28	35	41	42
Massachusetts	4.7	19.3	0.8	13.4	23.5	8.8	9.2	1.5	3.8	4.0	1.2	3.1	38	47	48	33	45	32	50	50	35	48	50	49
Michigan	6.0	50.8	5.4	14.2	28.5	18.6	16.6	10.9	5.0	4.4	16.4	17.5	24	20	28	28	20	2	10	10	23	42	13	14
Minnesota	3.9	37.0	3.2	14.4	24.2	13.4	13.6	4.3	3.0	4.7	7.0	10.9	51	31	41	24	41	8	22	36	47	38	31	31
Mississippi	10.0	56.7	14.8	14.9	30.1	13.2	17.9	16.0	10.7	6.5	24.3	17.6	1	10	3	21	17	11	3	2	4	5	2	13
Missouri	6.5	55.5	5.9	15.6	30.5	11.4	14.7	8.7	7.7	5.6	16.9	18.6	20	12	26	14	13	18	12	14	12	19	12	9
Montana	4.3	51.5	10.2	17.4	28.1	5.0	11.0	7.4	5.0	5.2	7.6	9.2	48	17	12	7	24	45	40	24	23	30	30	35
Nebraska	4.6	55.0	3.3	18.0	25.7	10.2	14.2	7.9	3.7	5.9	15.4	20.3	39	13	40	4	36	24	19	20	38	12	15	5
Nevada	7.7	31.8	5.3	12.0	27.9	4.8	12.0	4.0	3.5	6.2	3.8	6.2	10	35	29	45	26	46	31	40	42	9	39	41
