name	rooms_5	edu_9_12	race_black	units_mobile	grapi_35_more	edu_highschool	ancestry_french	built_1960_1969	in_construction	job_construction	value_50000_less	units_boat_rv_van	income_15000_24999	value_150000_199999	rank_rooms_5	rank_edu_9_12	rank_race_black	rank_units_mobile	rank_grapi_35_more	rank_edu_highschool	rank_ancestry_french	rank_built_1960_1969	rank_in_construction	rank_job_construction	rank_value_50000_less	rank_units_boat_rv_van	rank_income_15000_24999	rank_value_150000_199999
Alabama	22.2	9.1	26.6	13.0	38.8	30.3	1.4	11.3	6.7	9.5	12.5	0.1	10.9	16.6	10	3	6	5	21	14	45	15	26	18	4	13	7	19
Alaska	18.1	4.5	3.2	4.4	34.8	28.4	2.3	8.0	6.7	11.6	6.2	0.2	6.2	10.2	32	44	40	32	44	21	18	46	26	5	30	3	48	41
Arizona	21.1	7.0	4.5	10.3	38.6	23.8	2.1	7.2	7.1	8.9	7.3	0.4	8.6	14.4	13	17	35	11	24	44	23	48	14	29	26	1	25	35
Arkansas	24.5	8.1	15.2	11.7	34.5	33.9	1.6	10.1	6.9	10.1	13.3	0.1	11.9	16.6	3	5	14	9	47	3	36	23	22	14	3	13	5	19
California	19.4	7.2	5.7	3.6	44.7	20.4	1.6	13.2	6.4	8.8	2.7	0.1	6.9	3.3	24	14	32	37	4	50	36	5	36	31	45	13	40	50
Colorado	15.3	4.6	4.1	3.9	41.2	21.2	2.5	8.3	8.1	9.1	3.3	0.1	6.6	6.5	48	39	36	34	9	49	17	43	5	24	43	13	46	48
Connecticut	18.1	5.1	10.7	0.8	42.2	26.3	4.6	13.6	6.1	7.2	2.0	0.0	6.8	14.8	32	32	23	48	7	32	7	3	39	47	49	30	41	33
Delaware	15.5	6.1	22.0	7.8	39.8	31.0	1.4	10.0	6.9	8.8	4.9	0.0	6.8	15.5	46	22	8	19	17	11	45	27	22	31	34	30	41	31
District of Columbia	11.4	4.8	45.4	0.1	36.0	16.6	1.6	11.0	2.8	2.7	1.1	0.0	5.4	1.4	52	36	1	52	35	51	36	18	52	52	51	30	52	52
Florida	22.3	6.9	15.9	8.7	46.8	28.2	2.0	8.8	7.9	9.3	6.5	0.2	9.3	14.5	8	18	12	15	1	23	24	35	7	21	29	3	18	34
Georgia	19.3	7.7	31.6	8.6	40.1	27.5	1.3	8.5	6.6	8.8	7.7	0.1	9.0	17.1	26	10	4	16	15	27	49	41	29	31	22	13	21	15
Hawaii	19.5	4.1	1.9	0.2	45.5	27.3	1.4	14.4	7.3	9.2	1.0	0.0	5.5	1.9	23	50	44	51	2	28	45	2	9	22	52	30	51	51
Idaho	19.0	5.6	0.7	7.7	36.6	26.7	2.3	6.6	8.2	12.2	5.1	0.2	9.2	16.3	28	28	51	20	33	30	18	51	2	2	32	3	19	26
Illinois	19.3	5.7	14.1	2.4	38.2	25.6	1.7	11.6	5.4	7.2	6.1	0.0	8.1	15.6	26	27	15	43	25	37	34	11	51	47	31	30	32	30
Indiana	20.3	7.1	9.4	4.7	37.2	33.2	2.0	11.0	6.2	8.7	7.9	0.0	9.5	18.2	17	16	24	31	32	5	24	18	38	36	20	30	16	6
Iowa	17.3	4.6	3.7	3.6	34.7	30.8	1.8	10.1	6.5	9.6	8.4	0.1	8.6	17.2	38	39	38	37	46	12	30	23	32	17	16	13	25	14
Kansas	17.5	5.2	5.7	4.2	34.2	25.8	2.3	10.2	6.4	9.5	11.0	0.1	8.7	16.4	36	31	32	33	48	35	18	22	36	18	9	13	23	25
Kentucky	22.0	7.8	8.1	11.5	35.0	32.6	1.5	10.7	6.1	9.0	11.8	0.1	10.4	17.4	11	8	26	10	42	7	40	20	39	26	5	13	9	11
Louisiana	24.2	9.5	32.2	12.9	45.2	33.3	10.8	12.5	8.1	11.1	11.3	0.2	12.2	19.0	4	2	3	6	3	4	3	6	5	6	7	3	4	3
Maine	20.0	4.5	1.4	8.3	35.5	31.3	13.3	6.9	7.3	10.8	6.9	0.0	9.7	17.4	20	44	47	18	41	9	1	50	9	9	27	30	12	11
Maryland	13.6	5.6	29.9	1.3	40.3	24.2	1.4	11.5	7.1	7.8	2.6	0.0	5.6	9.2	51	28	5	45	12	41	45	12	14	44	46	30	50	44
Massachusetts	17.7	4.7	7.5	0.8	39.1	23.5	5.6	10.1	5.8	6.6	1.5	0.0	6.8	6.4	35	38	27	48	20	45	6	23	46	51	50	30	41	49
Michigan	20.0	6.0	13.6	5.4	39.8	28.5	3.7	11.8	5.5	7.9	10.9	0.0	9.2	17.1	20	24	16	28	17	20	8	9	50	43	10	30	19	15
Minnesota	14.4	3.9	6.4	3.2	36.0	24.2	3.1	9.4	6.1	8.0	4.3	0.0	7.0	16.6	49	51	30	41	35	41	11	31	39	40	36	30	38	19
Mississippi	24.2	10.0	37.7	14.8	40.2	30.1	2.2	11.5	6.7	10.4	16.0	0.1	12.3	16.2	4	1	2	3	14	17	21	12	26	13	2	13	2	27
Missouri	20.8	6.5	11.4	5.9	36.0	30.5	2.7	11.4	6.5	8.8	8.7	0.1	9.6	18.0	15	20	20	26	35	13	15	14	32	31	14	13	14	7
Montana	18.5	4.3	0.6	10.2	35.7	28.1	3.2	8.4	8.2	11.8	7.4	0.1	9.6	13.5	30	48	52	12	38	24	10	42	2	4	24	13	14	37
Nebraska	15.6	4.6	4.8	3.3	32.9	25.7	2.0	11.1	7.0	9.9	7.9	0.0	8.2	19.4	45	39	34	40	49	36	24	17	19	16	20	30	31	1
Nevada	20.5	7.7	9.3	5.3	40.8	27.9	1.9	5.8	7.2	9.0	4.0	0.2	8.5	10.5	16	10	25	29	11	26	27	52	11	26	40	3	29	40
New Hampshire	17.9	4.5	1.6	5.7	36.6	27.3	12.0	8.7	6.9	8.7	4.0	0.0	6.7	13.0	34	44	46	27	33	28	2	38	22	36	40	30	44	38
New Jersey	16.3	5.1	13.4	0.9	41.7	26.7	1.1	13.3	5.9	7.0	2.3	0.0	6.7	9.2	41	32	17	46	8	30	51	4	44	49	47	30	44	44
New Mexico	24.1	7.9	2.1	16.7	39.7	26.2	1.5	9.9	7.2	10.8	10.6	0.2	11.2	18.8	6	7	42	1	19	33	40	29	11	9	12	3	6	4
New York	16.2	6.8	15.4	2.3	42.4	25.5	1.9	12.5	5.7	7.0	4.3	0.0	8.1	9.5	43	19	13	44	6	38	27	6	47	49	36	30	32	43
North Carolina	22.3	7.2	21.4	12.4	37.9	25.5	1.5	8.6	7.0	9.0	7.5	0.1	9.7	16.6	8	14	9	8	27	38	40	40	19	26	23	13	12	19
North Dakota	15.5	4.2	3.2	7.1	31.6	26.1	3.3	8.7	7.4	11.9	9.7	0.0	8.0	16.5	46	49	40	22	51	34	9	38	8	3	13	30	37	24
Ohio	18.8	6.5	12.4	3.7	35.6	32.8	1.9	12.0	5.6	7.4	8.2	0.0	9.5	17.7	29	20	18	36	40	6	27	8	48	46	19	30	16	9
Oklahoma	24.6	7.6	7.3	9.2	35.7	31.1	1.8	11.3	7.1	11.0	11.8	0.2	10.7	17.6	2	12	28	13	38	10	30	15	14	7	5	3	8	10
Oregon	19.4	5.4	1.9	7.7	41.2	22.7	2.8	9.1	6.5	8.9	5.0	0.3	8.1	7.9	24	30	44	20	9	47	13	33	32	29	33	2	32	46
Pennsylvania	15.7	5.9	11.1	3.8	38.1	34.2	1.5	10.1	6.0	8.0	6.7	0.0	8.8	17.1	44	25	22	35	26	2	40	23	43	40	28	30	22	15
Puerto Rico	37.4	null	11.3	0.3	44.4	null	null	17.4	5.6	9.1	8.5	0.0	18.3	15.2	1		21	50	5			1	48	24	15	30	1	32
Rhode Island	20.2	6.1	6.5	0.9	37.9	28.0	8.4	11.7	6.1	7.5	2.2	0.0	8.1	13.9	19	22	29	46	27	25	5	10	39	45	48	30	32	36
South Carolina	22.7	8.0	26.4	15.8	40.3	28.9	1.6	8.8	6.9	9.2	10.7	0.1	9.9	16.6	7	6	7	2	12	18	36	35	22	22	11	13	11	19
South Dakota	16.3	5.0	2.1	8.6	30.3	30.2	2.2	8.3	7.1	10.8	11.2	0.1	8.7	18.4	41	34	42	16	52	16	21	43	14	9	8	13	23	5
Tennessee	21.1	7.6	16.7	8.9	37.9	31.8	1.5	10.0	6.6	8.7	7.4	0.1	10.0	16.8	13	12	11	14	27	8	40	27	29	36	24	13	10	18
Texas	20.3	7.8	12.1	6.9	38.8	24.7	1.8	8.8	8.6	10.5	8.3	0.2	8.4	15.8	17	8	19	23	21	40	30	35	1	12	18	3	30	29
Utah	14.3	4.6	1.2	3.1	34.8	22.8	1.8	7.0	7.2	8.8	3.2	0.1	6.1	10.1	50	39	49	42	44	46	30	49	11	31	44	13	49	42
Vermont	17.5	4.5	1.3	6.4	40.0	28.3	10.5	8.3	7.1	10.1	4.2	0.0	8.6	18.0	36	44	48	24	16	22	4	43	14	14	38	30	25	7
Virginia	16.9	5.8	19.0	4.9	37.9	23.9	1.7	10.5	6.6	8.0	4.2	0.0	7.0	12.3	39	26	10	30	27	43	34	21	29	40	38	30	38	39
Washington	16.5	4.8	3.9	6.0	37.9	21.8	2.8	9.3	7.0	9.4	3.4	0.2	6.5	7.1	40	36	37	25	27	48	13	32	19	20	42	3	47	47
West Virginia	21.9	8.3	3.6	14.6	38.8	40.0	1.3	9.0	6.5	10.9	16.2	0.1	12.3	16.0	12	4	39	4	21	1	49	34	32	8	1	13	2	28
Wisconsin	19.6	4.9	6.3	3.4	34.9	30.3	2.9	9.7	5.9	8.5	4.4	0.0	8.6	19.2	22	35	31	39	43	14	12	30	44	39	35	30	25	2
