name	age_45_54	age_55_59	age_60_64	age_65_74	age_75_84	in_retail	median_age	race_white	age_16_over	age_18_over	age_21_over	age_62_over	age_65_over	age_85_over	grapi_25_29	grapi_30_34	ancestry_irish	housing_vacant	occupied_owner	ancestry_french	ancestry_english	ancestry_scottish	built_1939_earlier	class_selfemployed	in_education_health	edu_highschool_higher	ancestry_frenchcanadian	ancestry_scottish_irish	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_age_75_84	rank_in_retail	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_age_62_over	rank_age_65_over	rank_age_85_over	rank_grapi_25_29	rank_grapi_30_34	rank_ancestry_irish	rank_housing_vacant	rank_occupied_owner	rank_ancestry_french	rank_ancestry_english	rank_ancestry_scottish	rank_built_1939_earlier	rank_class_selfemployed	rank_in_education_health	rank_edu_highschool_higher	rank_ancestry_frenchcanadian	rank_ancestry_scottish_irish
Alabama	12.8	6.8	6.6	10.0	5.1	11.6	39.2	67.5	80.3	77.7	73.5	20.8	16.9	1.8	11.8	8.5	8.0	16.8	69.2	1.4	7.9	1.8	5.1	5.4	22.7	86.9	0.2	1.4	22	21	15	17	11	13	20	37	26	27	30	20	20	34	21	44	40	7	14	45	32	21	39	35	36	45	35	7
Alaska	12.1	6.7	6.1	8.1	2.9	10.5	34.6	63.4	77.7	75.1	71.5	15.4	11.9	0.9	11.7	9.4	9.7	19.9	64.8	2.3	8.0	2.2	1.6	6.7	24.6	93.1	0.7	1.3	37	25	41	49	52	43	50	42	49	49	46	50	51	52	24	11	31	4	39	18	29	11	50	13	17	7	13	11
Arizona	11.9	6.1	6.0	10.2	5.5	12.0	37.9	73.8	79.7	77.1	73.0	21.1	17.6	2.0	12.0	8.9	8.6	13.1	65.3	2.1	8.5	1.7	1.4	6.1	22.0	87.9	0.4	0.8	40	49	44	14	6	8	35	29	34	34	34	16	12	26	16	27	36	22	38	23	25	23	51	23	43	39	21	27
Arkansas	12.2	6.5	6.3	9.9	5.1	13.1	38.3	75.4	79.3	76.7	72.5	20.6	16.9	2.0	11.6	9.0	9.4	15.2	65.8	1.6	8.2	1.7	4.6	6.0	24.6	87.2	0.2	1.1	36	34	32	18	11	2	28	27	39	39	38	24	20	26	28	24	32	16	36	36	27	23	41	25	17	42	35	16
California	12.8	6.3	5.7	8.3	4.1	10.4	36.7	56.1	79.8	77.2	73.2	17.6	14.3	1.9	11.5	9.5	5.9	7.8	55.3	1.6	5.4	1.2	9.0	7.8	21.2	83.9	0.3	0.5	22	44	49	48	46	47	44	49	32	33	33	46	46	32	36	8	49	51	50	36	47	42	30	6	47	51	27	42
Colorado	12.5	6.5	5.9	8.8	3.8	10.6	36.9	81.5	80.4	77.9	73.9	17.6	14.2	1.6	12.5	10.0	10.9	9.5	66.2	2.5	10.4	2.5	7.6	6.3	21.2	92.1	0.5	1.1	28	34	46	45	48	42	41	19	22	23	23	46	47	45	6	2	22	43	30	17	12	10	33	19	47	14	17	16
Connecticut	13.8	7.5	6.8	9.7	4.9	10.5	41.1	74.2	82.0	79.4	75.1	21.1	17.2	2.6	11.9	9.2	15.0	8.9	66.1	4.6	8.4	1.6	21.5	6.3	26.5	90.9	2.5	0.5	3	4	10	24	19	43	7	28	10	10	14	16	16	3	18	16	7	49	34	7	26	30	9	19	7	24	7	42
Delaware	12.6	7.1	6.9	11.3	5.6	11.7	41.0	67.4	81.3	78.9	74.9	23.0	18.8	1.9	12.5	9.4	14.2	15.4	71.4	1.4	9.4	1.6	8.2	4.3	25.0	90.6	0.3	0.7	27	9	6	4	5	11	8	38	14	14	15	6	6	32	6	11	8	13	5	45	17	30	32	50	14	26	27	34
District of Columbia	10.8	5.2	4.8	7.0	3.6	4.6	34.1	41.1	83.5	82.0	77.4	15.1	12.2	1.6	12.1	9.5	7.1	9.7	42.5	1.6	5.6	1.3	33.6	4.3	18.2	91.9	0.3	0.6	50	51	51	51	49	52	51	51	4	1	2	51	50	45	14	8	43	40	52	36	44	40	1	50	51	15	27	38
Florida	12.9	6.9	6.5	11.3	6.5	12.5	42.2	71.6	82.4	80.1	76.6	24.3	20.5	2.7	11.7	9.6	8.4	17.1	66.2	2.0	7.0	1.5	2.1	5.9	21.1	88.5	0.5	0.8	15	18	19	4	2	4	6	31	8	8	5	2	2	2	24	7	38	6	30	24	38	32	48	26	49	35	17	27
