name	rooms_8	rooms_9	age_45_54	class_govt	race_black	income_mean	rent_median	units_10_19	rooms_median	earnings_male	income_median	rent_1500_1999	rent_2000_2499	earnings_female	earnings_median	edu_grad_degree	in_professional	in_public_admin	job_bus_sci_art	income_percapita	units_1_attached	income_200000_more	edu_bachelor_higher	value_300000_499999	income_100000_149999	income_150000_199999	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_age_45_54	rank_class_govt	rank_race_black	rank_income_mean	rank_rent_median	rank_units_10_19	rank_rooms_median	rank_earnings_male	rank_income_median	rank_rent_1500_1999	rank_rent_2000_2499	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_in_public_admin	rank_job_bus_sci_art	rank_income_percapita	rank_units_1_attached	rank_income_200000_more	rank_edu_bachelor_higher	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_ancestry_subsaharan_african
Alabama	9.4	11.9	12.8	15.7	26.6	71964	811	3.3	5.8	50823	52035	4.5	0.9	37425	32080	9.9	9.6	5.5	35.7	28934	1.6	4.4	26.2	11.1	13.1	4.9	0.9	21	31	22	16	6	47	45	37	13	36	46	42	45	46	44	40	35	13	42	47	50	45	44	44	45	44	26
Alaska	6.4	8.1	12.1	25.9	3.2	98811	1240	2.7	4.8	61539	77790	18.9	11.0	51273	40471	11.3	8.2	11.8	38.2	37094	7.4	8.8	30.0	33.0	19.3	9.6	0.8	49	45	37	1	40	13	11	42	49	7	9	12	5	7	11	29	45	2	26	15	9	13	32	9	2	6	28
Arizona	7.7	7.8	11.9	13.8	4.5	84380	1097	4.2	5.3	50312	61529	14.9	3.6	42071	34302	11.5	12.5	4.9	37.6	32340	4.9	6.4	30.3	24.2	15.0	6.1	0.7	39	46	40	31	35	24	18	18	42	37	29	19	19	25	31	27	12	18	30	34	21	23	31	18	31	26	33
Arkansas	7.4	8.6	12.2	15.2	15.2	69357	760	3.6	5.4	45269	49475	2.8	0.8	36482	31343	8.6	7.7	4.4	34.9	27724	1.6	4.0	23.8	8.4	11.7	4.0	0.7	45	42	36	19	14	49	50	28	37	51	49	51	47	49	46	49	47	30	48	49	50	49	49	49	50	50	33
California	7.1	6.9	12.8	13.9	5.7	111622	1586	5.1	5.1	58031	78672	23.8	14.5	50693	38176	13.1	13.8	4.6	40.3	38576	7.1	13.3	34.7	26.0	17.1	9.4	0.7	46	49	22	29	32	6	3	9	47	15	7	3	2	9	16	15	6	25	16	12	12	5	15	14	15	8	33
Colorado	9.9	17.7	12.5	13.6	4.1	100933	1335	5.6	5.7	58307	75231	24.8	9.0	48212	39394	15.6	14.3	4.6	43.5	39545	7.2	9.6	41.6	38.5	18.2	8.7	0.8	16	7	28	34	36	12	8	4	19	14	12	2	11	13	14	9	5	25	7	10	11	12	3	1	8	12	28
Connecticut	9.5	12.5	13.8	12.8	10.7	115337	1201	3.6	5.6	68716	79855	17.9	6.3	55546	42996	17.9	11.7	3.7	44.5	45668	5.6	13.2	40.0	27.9	17.6	9.6	1.0	19	23	3	41	23	4	13	28	23	4	6	14	12	4	5	4	15	46	5	2	17	6	6	13	12	6	19
Delaware	12.4	16.5	12.6	15.2	22.0	92308	1150	5.0	6.3	56025	69110	15.3	3.1	47363	37369	13.7	10.1	5.6	40.8	36574	15.9	7.6	32.7	28.8	17.0	7.7	1.5	1	10	27	19	8	18	16	10	2	19	17	17	24	15	18	14	27	11	13	17	4	18	21	12	16	18	8
District of Columbia	5.4	9.1	10.8	24.8	45.4	133587	1607	9.0	4.1	84061	90842	21.1	14.6	73682	59677	34.5	24.0	16.8	65.5	58659	23.9	19.8	59.8	25.6	16.4	10.3	3.2	50	40	50	2	1	1	2	1	52	1	1	6	1	1	1	1	1	1	1	1	1	1	1	15	19	5	2
Florida	6.8	6.6	12.9	11.7	15.9	83104	1218	5.6	5.2	45980	57703	19.6	6.2	39541	32098	11.3	13.3	4.3	36.4	32848	6.3	6.4	30.5	22.2	13.7	5.6	0.7	48	50	15	49	12	28	12	4	45	49	38	10	13	38	43	29	9	33	37	28	14	23	30	23	40	32	33
