name	units_2	age_45_54	units_3_4	units_5_9	age_16_over	age_18_over	grapi_30_34	income_mean	rent_median	value_median	ancestry_arab	earnings_male	income_median	ancestry_greek	ancestry_irish	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	earnings_female	earnings_median	edu_grad_degree	in_professional	job_bus_sci_art	ancestry_italian	ancestry_russian	housing_occupied	income_percapita	built_1939_earlier	income_200000_more	ancestry_lithuanian	ancestry_portuguese	edu_bachelor_degree	edu_bachelor_higher	in_education_health	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	ancestry_frenchcanadian	ancestry_subsaharan_african	rank_units_2	rank_age_45_54	rank_units_3_4	rank_units_5_9	rank_age_16_over	rank_age_18_over	rank_grapi_30_34	rank_income_mean	rank_rent_median	rank_value_median	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_earnings_female	rank_earnings_median	rank_edu_grad_degree	rank_in_professional	rank_job_bus_sci_art	rank_ancestry_italian	rank_ancestry_russian	rank_housing_occupied	rank_income_percapita	rank_built_1939_earlier	rank_income_200000_more	rank_ancestry_lithuanian	rank_ancestry_portuguese	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_in_education_health	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999	rank_ancestry_frenchcanadian	rank_ancestry_subsaharan_african
Alabama	2.0	12.8	2.9	4.2	80.3	77.7	8.5	71964	811	149600	0.3	50823	52035	0.2	8.0	4.5	0.9	0.3	0.4	37425	32080	9.9	9.6	35.7	1.6	0.1	83.2	28934	5.1	4.4	0.0	0.1	16.3	26.2	22.7	11.1	3.8	0.2	4.9	0.2	0.9	37	22	41	28	26	27	44	47	45	45	31	36	46	31	40	42	45	39	43	46	44	40	35	42	48	49	46	47	39	45	46	29	45	44	36	44	42	20	44	35	26
Alaska	5.4	12.1	7.3	4.6	77.7	75.1	9.4	98811	1240	275600	0.1	61539	77790	0.2	9.7	18.9	11.0	2.4	1.1	51273	40471	11.3	8.2	38.2	2.8	1.2	80.1	37094	1.6	8.8	0.1	0.2	18.7	30.0	24.6	33.0	9.4	0.2	9.6	0.7	0.8	10	37	4	16	49	49	11	13	11	16	49	7	9	31	31	12	5	11	15	7	11	29	45	26	33	8	49	15	50	13	22	17	35	32	17	9	17	20	6	13	28
Arizona	1.3	11.9	3.4	4.0	79.7	77.1	8.9	84380	1097	242000	0.5	50312	61529	0.3	8.6	14.9	3.6	1.1	1.1	42071	34302	11.5	12.5	37.6	4.1	0.7	86.9	32340	1.4	6.4	0.2	0.2	18.8	30.3	22.0	24.2	9.3	0.2	6.1	0.4	0.7	52	40	33	33	34	34	27	24	18	20	17	37	29	20	36	19	19	18	15	25	31	27	12	30	20	24	31	34	51	23	14	17	34	31	43	18	18	20	26	21	33
Arkansas	3.2	12.2	3.4	3.4	79.3	76.7	9.0	69357	760	133600	0.2	45269	49475	0.1	9.4	2.8	0.8	0.3	0.3	36482	31343	8.6	7.7	34.9	1.5	0.1	84.8	27724	4.6	4.0	0.1	0.1	15.2	23.8	24.6	8.4	2.7	0.2	4.0	0.2	0.7	16	36	33	43	39	39	24	49	50	49	45	51	49	45	32	51	47	39	46	49	46	49	47	48	49	49	37	49	41	49	22	29	48	49	17	49	49	20	50	35	33
California	2.4	12.8	5.4	5.9	79.8	77.2	9.5	111622	1586	538500	0.8	58031	78672	0.3	5.9	23.8	14.5	7.6	8.2	50693	38176	13.1	13.8	40.3	3.6	0.9	92.2	38576	9.0	13.3	0.1	0.8	21.6	34.7	21.2	26.0	37.0	0.2	9.4	0.3	0.7	26	22	11	5	32	33	8	6	3	3	6	15	7	20	49	3	2	3	3	9	16	15	6	16	24	15	1	12	30	5	22	7	16	15	47	14	3	20	8	27	33
Colorado	1.6	12.5	3.3	4.5	80.4	77.9	10.0	100933	1335	369900	0.4	58307	75231	0.3	10.9	24.8	9.0	2.9	1.8	48212	39394	15.6	14.3	43.5	4.9	1.0	90.5	39545	7.6	9.6	0.2	0.3	26.0	41.6	21.2	38.5	22.8	0.2	8.7	0.5	0.8	47	28	36	22	22	23	2	12	8	5	22	14	12	20	22	2	11	10	11	13	14	9	5	7	15	13	9	10	33	12	14	14	1	3	47	1	6	20	12	17	28
Connecticut	8.2	13.8	8.4	5.3	82.0	79.4	9.2	115337	1201	279700	0.7	68716	79855	0.8	15.0	17.9	6.3	2.4	2.5	55546	42996	17.9	11.7	44.5	16.5	1.4	91.1	45668	21.5	13.2	0.7	1.3	22.2	40.0	26.5	27.9	12.1	2.6	9.6	2.5	1.0	5	3	3	7	10	10	16	4	13	14	10	4	6	3	7	14	12	11	9	4	5	4	15	5	1	5	4	2	9	6	1	5	11	6	7	13	13	3	6	7	19
Delaware	1.6	12.6	2.2	4.0	81.3	78.9	9.4	92308	1150	258300	0.4	56025	69110	0.5	14.2	15.3	3.1	0.8	0.8	47363	37369	13.7	10.1	40.8	8.4	0.8	84.6	36574	8.2	7.6	0.3	0.1	19.0	32.7	25.0	28.8	7.5	1.2	7.7	0.3	1.5	47	27	50	33	14	14	11	18	16	18	22	19	17	8	8	17	24	24	24	15	18	14	27	13	8	19	39	17	32	18	7	29	33	21	14	12	24	9	18	27	8
District of Columbia	3.1	10.8	7.0	7.1	83.5	82.0	9.5	133587	1607	618100	0.8	84061	90842	0.4	7.1	21.1	14.6	8.6	10.3	73682	59677	34.5	24.0	65.5	4.0	1.5	90.3	58659	33.6	19.8	0.3	0.2	25.3	59.8	18.2	25.6	41.3	1.5	10.3	0.3	3.2	18	50	5	2	4	1	8	1	2	2	6	1	1	13	43	6	1	2	2	1	1	1	1	1	21	4	13	1	1	1	7	17	2	1	51	15	2	6	5	27	2
Florida	2.0	12.9	3.9	4.9	82.4	80.1	9.6	83104	1218	232000	0.6	45980	57703	0.4	8.4	19.6	6.2	2.2	1.7	39541	32098	11.3	13.3	36.4	5.8	0.9	82.9	32848	2.1	6.4	0.2	0.4	19.3	30.5	21.1	22.2	8.7	4.4	5.6	0.5	0.7	37	15	25	10	8	8	7	28	12	23	13	49	38	13	38	10	13	13	12	38	43	29	9	37	11	15	47	28	48	23	14	11	31	30	49	23	20	1	32	17	33
