name	ancestry_arab	class_private	ancestry_dutch	occupied_owner	ancestry_polish	built_1940_1949	built_1950_1959	in_manufacturing	job_prod_transpo	value_50000_less	ancestry_hungarian	rank_ancestry_arab	rank_class_private	rank_ancestry_dutch	rank_occupied_owner	rank_ancestry_polish	rank_built_1940_1949	rank_built_1950_1959	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_hungarian
Alabama	0.3	78.7	0.6	69.2	0.6	3.8	8.2	14.2	17.2	12.5	0.1	31	29	44	14	49	35	34	7	6	4	44
Alaska	0.1	67.2	1.4	64.8	1.9	1.5	4.6	3.8	12.1	6.2	0.2	49	52	16	39	24	50	51	50	30	30	31
Arizona	0.5	79.9	1.1	65.3	2.2	1.4	5.2	7.0	10.9	7.3	0.4	17	22	23	38	21	51	50	40	41	26	11
Arkansas	0.2	78.6	1.0	65.8	0.8	3.6	6.8	13.4	17.3	13.3	0.1	45	30	26	36	46	38	44	8	5	3	44
California	0.8	78.1	0.8	55.3	1.2	5.8	13.3	9.0	11.9	2.7	0.3	6	34	34	50	39	11	7	30	34	45	20
Colorado	0.4	80.0	1.5	66.2	2.3	2.5	7.4	6.8	10.0	3.3	0.4	22	21	14	30	18	48	37	41	46	43	11
Connecticut	0.7	80.8	0.7	66.1	6.9	6.7	14.7	10.5	10.2	2.0	0.9	10	14	39	34	3	7	1	21	45	49	3
Delaware	0.4	80.3	0.8	71.4	4.1	4.5	9.9	8.0	11.7	4.9	0.4	22	16	34	5	10	26	20	36	37	34	11
District of Columbia	0.8	70.7	0.7	42.5	2.2	11.3	12.1	1.1	3.7	1.1	0.4	6	49	39	52	21	1	11	52	52	51	11
Florida	0.6	82.2	0.8	66.2	2.3	2.0	7.0	5.1	10.4	6.5	0.5	13	9	34	30	18	49	41	44	44	29	7
Georgia	0.3	80.1	0.6	64.0	1.0	2.6	5.9	10.5	14.7	7.7	0.2	31	19	44	40	41	47	49	21	12	22	31
Hawaii	0.2	72.5	0.5	60.3	0.9	3.5	8.5	2.9	9.3	1.0	0.2	45	47	47	48	44	39	33	51	49	52	31
Idaho	0.2	77.8	1.8	70.8	1.3	3.8	6.1	9.6	13.1	5.1	0.2	45	36	6	10	36	35	47	27	23	32	31
Illinois	0.8	83.1	1.1	66.3	6.6	6.1	12.6	11.7	14.7	6.1	0.4	6	4	23	28	4	9	8	16	12	31	11
Indiana	0.3	84.5	1.6	69.5	3.0	5.7	10.9	18.7	19.5	7.9	0.5	31	1	12	13	16	12	14	1	1	20	7
Iowa	0.3	79.9	3.7	71.2	1.3	5.0	10.1	14.7	17.0	8.4	0.1	31	22	3	7	36	19	17	5	7	16	44
Kansas	0.3	77.8	1.5	66.2	1.3	5.5	12.6	12.5	14.5	11.0	0.2	31	36	14	30	36	13	8	14	15	9	31
Kentucky	0.3	80.3	0.9	67.6	0.9	4.3	9.1	14.3	18.4	11.8	0.2	31	16	28	21	44	29	25	6	2	5	31
Louisiana	0.4	78.4	0.4	66.6	0.5	4.0	9.3	7.6	13.1	11.3	0.1	22	31	49	26	50	33	24	38	23	7	44
Maine	0.3	77.9	0.9	72.9	2.2	4.6	7.2	8.7	12.0	6.9	0.3	31	35	28	2	21	25	40	33	31	27	20
Maryland	0.6	73.1	0.7	67.1	2.9	5.2	11.3	4.5	8.9	2.6	0.4	13	46	39	22	17	16	13	47	51	46	11
Massachusetts	1.0	81.9	0.5	62.5	4.2	5.4	11.4	8.8	9.2	1.5	0.3	3	11	47	44	9	15	12	32	50	50	20
Michigan	2.0	84.2	4.3	71.7	8.0	7.5	14.7	18.6	16.6	10.9	0.8	1	2	1	4	2	3	1	2	10	10	5
Minnesota	0.5	82.3	1.6	71.9	4.3	4.5	9.7	13.4	13.6	4.3	0.2	17	8	12	3	8	26	21	8	22	36	31
