name	rooms_8	rooms_9	employed	grapi_20_24	rooms_median	ancestry_czech	occupied_owner	ancestry_german	ancestry_swedish	ancestry_norwegian	edu_bachelor_degree	value_200000_299999	edu_associate_degree	income_100000_149999	edu_highschool_higher	ancestry_subsaharan_african	rank_rooms_8	rank_rooms_9	rank_employed	rank_grapi_20_24	rank_rooms_median	rank_ancestry_czech	rank_occupied_owner	rank_ancestry_german	rank_ancestry_swedish	rank_ancestry_norwegian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_edu_associate_degree	rank_income_100000_149999	rank_edu_highschool_higher	rank_ancestry_subsaharan_african
Alabama	9.4	11.9	54.0	12.2	5.8	0.1	69.2	6.2	0.3	0.3	16.3	17.6	8.7	13.1	86.9	0.9	21	31	48	44	13	44	14	47	48	45	45	41	28	45	45	26
Alaska	6.4	8.1	59.6	14.7	4.8	0.4	64.8	14.3	2.0	3.0	18.7	29.3	8.7	19.3	93.1	0.8	49	45	29	1	49	14	39	21	14	10	35	4	28	2	7	28
Arizona	7.7	7.8	56.2	14.0	5.3	0.4	65.3	12.7	1.3	1.7	18.8	26.4	8.9	15.0	87.9	0.7	39	46	42	7	42	14	38	23	23	15	34	13	21	31	39	33
Arkansas	7.4	8.6	54.8	13.3	5.4	0.2	65.8	9.3	0.5	0.5	15.2	15.4	7.5	11.7	87.2	0.7	45	42	47	24	37	29	36	33	40	31	48	46	45	50	42	33
California	7.1	6.9	59.4	12.2	5.1	0.2	55.3	7.1	0.9	0.9	21.6	9.9	8.0	17.1	83.9	0.7	46	49	30	44	47	29	50	44	26	19	16	49	38	15	51	33
Colorado	9.9	17.7	64.3	13.5	5.7	0.6	66.2	18.3	2.2	2.1	26.0	18.4	8.5	18.2	92.1	0.8	16	7	8	19	19	11	30	15	13	13	1	38	32	8	14	28
Connecticut	9.5	12.5	61.7	12.3	5.6	0.3	66.1	8.4	1.4	0.5	22.2	27.3	7.8	17.6	90.9	1.0	19	23	17	43	23	22	34	40	22	31	11	10	42	12	24	19
Delaware	12.4	16.5	58.0	11.8	6.3	0.2	71.4	12.0	0.7	0.4	19.0	30.7	8.0	17.0	90.6	1.5	1	10	37	47	2	29	5	26	30	37	33	2	38	16	26	8
District of Columbia	5.4	9.1	65.2	13.7	4.1	0.4	42.5	7.3	0.8	0.6	25.3	8.5	2.9	16.4	91.9	3.2	50	40	5	14	52	14	52	43	28	27	2	50	51	19	15	2
Florida	6.8	6.6	55.4	12.4	5.2	0.2	66.2	9.2	0.7	0.6	19.3	24.8	10.0	13.7	88.5	0.7	48	50	45	42	45	29	30	36	30	27	31	15	13	40	35	33
Georgia	10.1	15.3	59.2	12.9	5.9	0.1	64.0	6.4	0.4	0.4	19.7	21.0	8.0	14.9	87.9	1.9	15	14	33	29	9	44	40	46	46	37	28	28	38	33	39	7
Hawaii	5.4	6.1	58.7	11.8	4.7	0.1	60.3	5.8	0.6	0.7	21.9	7.0	10.9	19.5	92.5	0.2	50	51	36	47	51	44	48	48	34	24	14	52	7	1	11	49
Idaho	10.3	16.3	60.2	13.6	5.9	0.3	70.8	16.6	2.8	3.0	19.3	26.9	9.8	14.5	91.3	0.2	12	11	26	15	9	22	10	18	6	10	31	11	17	36	19	49
Illinois	9.3	13.0	61.2	13.3	5.6	0.8	66.3	17.1	1.9	1.1	21.6	22.3	8.1	16.6	89.7	1.0	25	22	18	24	23	7	28	17	16	17	16	19	36	18	31	19
Indiana	9.8	13.5	60.7	12.9	5.8	0.2	69.5	20.6	0.8	0.5	17.3	17.4	8.9	14.7	89.3	0.9	17	19	22	29	13	29	13	13	28	31	42	42	21	34	32	26
Iowa	10.5	16.0	64.3	14.1	5.9	1.6	71.2	32.3	2.5	4.7	19.7	19.3	11.8	15.9	92.5	1.0	9	12	8	5	9	3	7	5	10	6	28	34	2	24	11	19
Kansas	10.5	16.6	63.2	14.1	6.0	0.7	66.2	24.1	2.0	1.0	21.5	19.0	8.8	15.1	91.4	0.7	9	9	13	5	5	8	30	7	14	18	18	37	24	29	18	33
Kentucky	8.7	12.2	55.9	12.6	5.6	0.1	67.6	13.1	0.4	0.3	14.8	17.0	8.6	13.0	87.2	0.8	33	28	44	39	23	44	21	22	46	45	49	43	30	46	42	28
Louisiana	7.7	8.3	54.9	10.8	5.4	0.1	66.6	6.7	0.3	0.2	15.9	21.3	6.5	13.0	85.9	1.4	39	43	46	52	37	44	26	45	48	51	46	26	50	46	48	10
Maine	8.3	10.0	60.3	13.4	5.4	0.2	72.9	7.8	1.6	0.8	20.3	24.7	10.2	15.0	93.2	0.8	36	37	25	22	37	29	2	42	18	22	24	16	10	31	6	28
Maryland	11.4	20.7	63.5	13.8	6.2	0.3	67.1	12.1	0.5	0.4	21.8	23.7	6.8	19.3	90.6	4.3	3	2	12	12	3	22	22	25	40	37	15	18	48	2	26	1
Massachusetts	9.3	12.0	63.7	12.8	5.5	0.2	62.5	5.6	1.5	0.5	24.5	17.9	7.7	18.0	91.1	2.2	25	30	10	35	32	29	44	49	20	31	4	40	43	10	21	6
Michigan	9.5	13.5	57.7	12.6	5.8	0.4	71.7	18.5	1.3	0.8	18.3	19.6	9.6	14.6	91.3	0.8	19	19	40	39	13	14	4	14	23	22	37	33	18	35	19	28
Minnesota	11.0	19.8	66.5	14.0	6.1	1.5	71.9	31.3	7.3	13.9	24.2	28.8	11.6	18.3	93.4	2.9	5	3	3	7	4	4	3	6	1	2	5	5	3	6	4	4
Mississippi	8.6	9.2	52.7	12.7	5.6	0.1	68.8	4.8	0.3	0.3	13.8	15.7	10.2	11.2	85.3	0.7	34	39	50	38	23	44	16	51	48	45	50	45	10	51	49	33
Missouri	9.1	12.5	59.8	13.3	5.6	0.4	67.1	22.3	0.9	0.7	18.4	19.8	8.1	14.2	90.6	0.7	28	23	27	24	23	14	22	12	26	24	36	32	36	38	26	33
Montana	9.1	14.3	60.5	12.9	5.5	0.7	68.5	24.1	2.7	8.7	22.2	26.0	9.4	13.8	94.0	0.1	28	17	24	29	32	8	17	7	9	4	11	14	19	39	1	51
Nebraska	10.7	18.8	66.6	13.8	6.0	4.2	66.2	32.4	3.7	1.9	21.4	20.5	10.7	15.9	91.6	1.0	8	4	2	12	5	1	30	4	3	14	19	30	8	24	17	19
