name	rooms_5	rooms_6	edu_9_12	age_10_14	age_15_19	race_black	class_unpaid	rent_500_999	units_mobile	job_prod_transpo	value_50000_less	ancestry_american	in_transportation	value_50000_99999	income_10000_14999	income_15000_24999	income_25000_34999	rank_rooms_5	rank_rooms_6	rank_edu_9_12	rank_age_10_14	rank_age_15_19	rank_race_black	rank_class_unpaid	rank_rent_500_999	rank_units_mobile	rank_job_prod_transpo	rank_value_50000_less	rank_ancestry_american	rank_in_transportation	rank_value_50000_99999	rank_income_10000_14999	rank_income_15000_24999	rank_income_25000_34999
Alabama	22.2	20.4	9.1	6.4	6.6	26.6	0.2	54.7	13.0	17.2	12.5	16.2	5.5	19.7	5.6	10.9	10.5	10	5	3	23	16	6	6	14	5	6	4	1	21	8	5	7	5
Alaska	18.1	13.5	4.5	6.7	6.3	3.2	0.2	25.1	4.4	12.1	6.2	3.5	8.9	5.0	2.9	6.2	6.7	32	49	44	11	34	40	6	42	32	30	30	42	1	37	49	48	47
Arizona	21.1	18.6	7.0	6.7	6.7	4.5	0.2	35.6	10.3	10.9	7.3	3.7	5.5	6.7	3.7	8.6	9.0	13	16	17	11	12	35	6	34	11	41	26	38	21	32	37	25	27
Arkansas	24.5	20.4	8.1	6.7	6.7	15.2	0.2	62.1	11.7	17.3	13.3	9.8	5.9	22.9	5.6	11.9	11.3	3	5	5	11	12	14	6	1	9	5	3	8	12	4	5	5	2
California	19.4	17.0	7.2	6.6	6.5	5.7	0.2	14.6	3.6	11.9	2.7	2.9	5.5	2.0	3.9	6.9	7.1	24	34	14	16	22	32	6	49	37	34	45	48	21	47	31	40	43
Colorado	15.3	14.6	4.6	6.4	6.4	4.1	0.2	20.8	3.9	10.0	3.3	3.8	4.8	2.8	3.1	6.6	7.2	48	45	39	23	31	36	6	46	34	46	43	35	35	44	45	46	41
Connecticut	18.1	17.8	5.1	6.2	6.8	10.7	0.2	22.9	0.8	10.2	2.0	3.7	4.3	2.9	3.4	6.8	6.9	32	24	32	35	8	23	6	43	48	45	49	38	44	43	42	41	45
Delaware	15.5	19.7	6.1	6.1	6.2	22.0	0.2	26.3	7.8	11.7	4.9	6.0	5.8	3.7	3.5	6.8	8.9	46	7	22	38	42	8	6	39	19	37	34	20	14	40	40	41	30
District of Columbia	11.4	9.6	4.8	4.3	5.3	45.4	0.2	12.2	0.1	3.7	1.1	2.6	3.3	0.8	3.9	5.4	5.5	52	52	36	52	52	1	6	51	52	52	51	49	51	52	31	52	52
Florida	22.3	18.1	6.9	5.8	5.7	15.9	0.2	26.1	8.7	10.4	6.5	8.0	5.8	9.5	4.2	9.3	9.9	8	21	18	46	50	12	6	40	15	44	29	11	14	28	20	18	16
Georgia	19.3	18.6	7.7	7.0	7.0	31.6	0.2	37.9	8.6	14.7	7.7	9.7	6.7	12.9	4.2	9.0	9.3	26	16	10	4	4	4	6	29	16	12	22	9	3	22	20	21	22
Hawaii	19.5	14.1	4.1	5.9	5.4	1.9	0.2	11.8	0.2	9.3	1.0	1.3	6.2	1.2	2.7	5.5	6.3	23	48	50	43	51	44	6	52	51	49	52	51	9	50	50	51	50
