name	grapi_15_19	rank_grapi_15_19
Alabama	13.2	34
Alaska	14.9	7
Arizona	13.3	30
Arkansas	14.3	14
California	11.4	49
Colorado	12.2	44
Connecticut	12.2	44
Delaware	13.7	20
District of Columbia	13.5	26
Florida	10.7	52
Georgia	13.5	26
Hawaii	10.8	51
Idaho	14.4	12
Illinois	13.9	16
Indiana	14.0	15
Iowa	14.5	9
Kansas	15.1	5
Kentucky	14.4	12
Louisiana	11.5	48
Maine	13.3	30
Maryland	12.9	38
Massachusetts	12.5	42
Michigan	13.3	30
Minnesota	13.7	20
Mississippi	11.9	46
Missouri	15.0	6
Montana	13.1	37
Nebraska	15.3	3
Nevada	13.2	34
New Hampshire	13.9	16
New Jersey	12.9	38
New Mexico	13.3	30
New York	11.9	46
North Carolina	13.7	20
North Dakota	16.4	1
Ohio	14.5	9
Oklahoma	14.5	9
Oregon	12.4	43
Pennsylvania	13.8	19
Puerto Rico	11.2	50
Rhode Island	13.4	29
South Carolina	13.2	34
South Dakota	15.6	2
Tennessee	13.5	26
Texas	13.6	24
Utah	15.2	4
Vermont	12.8	40
Virginia	13.9	16
Washington	13.7	20
West Virginia	12.7	41
Wisconsin	14.9	7
Wyoming	13.6	24
