name	age_60_64	age_65_74	race_white	age_62_over	age_65_over	race_native	class_unpaid	grapi_15_less	ancestry_welsh	in_agri_mining	ancestry_german	in_construction	job_construction	ancestry_scottish	ancestry_norwegian	class_selfemployed	income_25000_34999	edu_highschool_higher	ancestry_scottish_irish	rank_age_60_64	rank_age_65_74	rank_race_white	rank_age_62_over	rank_age_65_over	rank_race_native	rank_class_unpaid	rank_grapi_15_less	rank_ancestry_welsh	rank_in_agri_mining	rank_ancestry_german	rank_in_construction	rank_job_construction	rank_ancestry_scottish	rank_ancestry_norwegian	rank_class_selfemployed	rank_income_25000_34999	rank_edu_highschool_higher	rank_ancestry_scottish_irish
Alabama	6.6	10.0	67.5	20.8	16.9	0.5	0.2	15.5	0.5	1.4	6.2	6.7	9.5	1.8	0.3	5.4	10.5	86.9	1.4	15	17	37	20	20	24	6	15	26	28	47	26	18	21	45	35	5	45	7
Alaska	6.1	8.1	63.4	15.4	11.9	14.6	0.2	14.5	0.8	4.5	14.3	6.7	11.6	2.2	3.0	6.7	6.7	93.1	1.3	41	49	42	50	51	1	6	23	12	6	21	26	5	11	10	13	47	7	11
Arizona	6.0	10.2	73.8	21.1	17.6	4.3	0.2	13.1	0.6	1.3	12.7	7.1	8.9	1.7	1.7	6.1	9.0	87.9	0.8	44	14	29	16	12	7	6	35	18	31	23	14	29	23	15	23	27	39	27
Arkansas	6.3	9.9	75.4	20.6	16.9	0.6	0.2	17.3	0.5	2.7	9.3	6.9	10.1	1.7	0.5	6.0	11.3	87.2	1.1	32	18	27	24	20	22	6	8	26	16	33	22	14	23	31	25	2	42	16
California	5.7	8.3	56.1	17.6	14.3	0.8	0.2	10.6	0.4	2.1	7.1	6.4	8.8	1.2	0.9	7.8	7.1	83.9	0.5	49	48	49	46	46	18	6	50	38	23	44	36	31	42	19	6	43	51	42
Colorado	5.9	8.8	81.5	17.6	14.2	0.9	0.2	10.5	0.8	2.2	18.3	8.1	9.1	2.5	2.1	6.3	7.2	92.1	1.1	46	45	19	46	47	16	6	51	12	21	15	5	24	10	13	19	41	14	16
Connecticut	6.8	9.7	74.2	21.1	17.2	0.3	0.2	12.2	0.4	0.4	8.4	6.1	7.2	1.6	0.5	6.3	6.9	90.9	0.5	10	24	28	16	16	32	6	41	38	49	40	39	47	30	31	19	45	24	42
Delaware	6.9	11.3	67.4	23.0	18.8	0.4	0.2	12.9	0.8	1.0	12.0	6.9	8.8	1.6	0.4	4.3	8.9	90.6	0.7	6	4	38	6	6	28	6	38	12	38	26	22	31	30	37	50	30	26	34
District of Columbia	4.8	7.0	41.1	15.1	12.2	0.3	0.2	15.1	0.4	0.2	7.3	2.8	2.7	1.3	0.6	4.3	5.5	91.9	0.6	51	51	51	51	50	32	6	18	38	52	43	52	52	40	27	50	52	15	38
Florida	6.5	11.3	71.6	24.3	20.5	0.3	0.2	8.9	0.5	0.9	9.2	7.9	9.3	1.5	0.6	5.9	9.9	88.5	0.8	19	4	31	2	2	32	6	52	26	42	36	7	21	32	27	26	16	35	27
Georgia	5.8	8.5	57.2	17.2	13.9	0.3	0.2	13.5	0.5	1.1	6.4	6.6	8.8	1.7	0.4	5.4	9.3	87.9	1.1	48	46	48	48	48	32	6	32	26	36	46	29	31	23	37	35	22	39	16
Hawaii	6.4	10.4	24.1	22.1	18.4	0.2	0.2	11.1	0.3	1.4	5.8	7.3	9.2	0.9	0.7	6.9	6.3	92.5	0.4	25	11	52	10	8	44	6	49	46	28	48	9	22	51	24	10	50	11	48
Idaho	6.1	9.6	88.4	19.4	15.8	1.3	0.2	15.0	1.4	4.8	16.6	8.2	12.2	3.2	3.0	7.3	9.7	91.3	1.0	41	29	7	35	33	9	6	20	2	5	18	2	2	5	10	8	18	19	22
Illinois	6.2	9.0	69.8	19.2	15.7	0.3	0.2	14.6	0.4	1.0	17.1	5.4	7.2	1.1	1.1	4.6	8.1	89.7	0.5	39	42	34	38	37	32	6	22	38	38	17	51	47	46	17	47	36	31	42
