name	age_5_9	rooms_9	employed	age_10_14	in_finance	age_5_under	age_under18	grapi_15_19	rooms_median	grapi_15_less	ancestry_czech	ancestry_danish	ancestry_german	ancestry_swedish	income_50000_74999	value_100000_149000	value_150000_199999	rank_age_5_9	rank_rooms_9	rank_employed	rank_age_10_14	rank_in_finance	rank_age_5_under	rank_age_under18	rank_grapi_15_19	rank_rooms_median	rank_grapi_15_less	rank_ancestry_czech	rank_ancestry_danish	rank_ancestry_german	rank_ancestry_swedish	rank_income_50000_74999	rank_value_100000_149000	rank_value_150000_199999
Alabama	6.0	11.9	54.0	6.4	5.6	6.0	22.3	13.2	5.8	15.5	0.1	0.1	6.2	0.3	17.5	17.9	16.6	27	31	48	23	36	25	25	34	13	15	44	40	47	48	34	12	19
Alaska	7.2	8.1	59.6	6.7	3.8	7.1	24.9	14.9	4.8	14.5	0.4	0.7	14.3	2.0	18.3	6.3	10.2	2	45	29	11	52	2	4	7	49	23	14	13	21	14	19	40	41
Arizona	6.2	7.8	56.2	6.7	8.6	6.0	22.9	13.3	5.3	13.1	0.4	0.6	12.7	1.3	18.6	9.6	14.4	19	46	42	11	3	25	19	30	42	35	14	15	23	23	11	34	35
Arkansas	6.5	8.6	54.8	6.7	4.9	6.3	23.3	14.3	5.4	17.3	0.2	0.2	9.3	0.5	18.4	20.1	16.6	11	42	47	11	46	12	14	14	37	8	29	28	33	40	16	6	19
California	6.2	6.9	59.4	6.6	6.0	6.1	22.8	11.4	5.1	10.6	0.2	0.4	7.1	0.9	15.3	2.3	3.3	19	49	30	16	30	19	20	49	47	50	29	18	44	26	46	50	50
Colorado	6.1	17.7	64.3	6.4	7.1	5.8	22.1	12.2	5.7	10.5	0.6	0.7	18.3	2.2	17.4	3.7	6.5	24	7	8	23	13	33	30	44	19	51	11	13	15	13	35	48	48
Connecticut	5.4	12.5	61.7	6.2	9.1	5.1	20.6	12.2	5.6	12.2	0.3	0.3	8.4	1.4	15.4	8.3	14.8	44	23	17	35	2	48	43	44	23	41	22	22	40	22	45	37	33
Delaware	5.7	16.5	58.0	6.1	9.4	5.7	21.1	13.7	6.3	12.9	0.2	0.1	12.0	0.7	17.7	7.4	15.5	40	10	37	38	1	38	39	20	2	38	29	40	26	30	30	38	31
District of Columbia	5.0	9.1	65.2	4.3	6.4	6.4	18.0	13.5	4.1	15.1	0.4	0.3	7.3	0.8	12.4	1.0	1.4	51	40	5	52	22	11	52	26	52	18	14	22	43	28	51	52	52
Florida	5.3	6.6	55.4	5.8	7.7	5.3	19.9	10.7	5.2	8.9	0.2	0.2	9.2	0.7	18.3	11.0	14.5	45	50	45	46	7	44	45	52	45	52	29	28	36	30	19	30	34
