name	edu_9_12	age_35_44	job_sales	units_3_4	units_5_9	edu_9_less	unemployed	job_service	in_arts_food	rent_1000_1499	built_1990_1999	built_2000_2009	occupied_renter	units_boat_rv_van	value_200000_299999	value_300000_499999	edu_college_nodegree	rank_edu_9_12	rank_age_35_44	rank_job_sales	rank_units_3_4	rank_units_5_9	rank_edu_9_less	rank_unemployed	rank_job_service	rank_in_arts_food	rank_rent_1000_1499	rank_built_1990_1999	rank_built_2000_2009	rank_occupied_renter	rank_units_boat_rv_van	rank_value_200000_299999	rank_value_300000_499999	rank_edu_college_nodegree
Alabama	9.1	12.2	21.5	2.9	4.2	4.0	3.2	16.1	8.3	23.5	18.1	15.3	30.8	0.1	17.6	11.1	21.6	3	32	20	41	28	20	28	43	40	41	6	16	39	13	41	44	19
Alaska	4.5	12.8	20.4	7.3	4.6	2.4	4.6	17.7	9.0	35.3	14.2	15.7	35.2	0.2	29.3	33.0	26.0	44	13	40	4	16	45	3	14	22	12	24	14	14	3	4	9	2
Arizona	7.0	12.3	23.9	3.4	4.0	5.1	3.5	18.7	10.4	38.0	20.0	23.4	34.7	0.4	26.4	24.2	24.9	17	27	3	33	33	6	16	10	6	6	3	2	15	1	13	18	7
Arkansas	8.1	12.3	21.2	3.4	3.4	4.7	3.0	16.6	7.9	17.6	17.8	15.7	34.2	0.1	15.4	8.4	22.0	5	27	24	33	43	8	34	34	47	50	8	14	17	13	46	49	17
California	7.2	13.3	20.9	5.4	5.9	8.9	3.9	18.1	10.2	26.7	11.0	10.9	44.7	0.1	9.9	26.0	20.9	14	7	30	11	5	1	7	12	9	30	41	39	3	13	49	14	24
Colorado	4.6	13.8	20.9	3.3	4.5	3.3	3.1	16.5	10.4	34.7	16.8	17.1	33.8	0.1	18.4	38.5	20.8	39	2	30	36	22	32	31	36	6	13	16	11	20	13	38	1	26
Connecticut	5.1	11.9	20.9	8.4	5.3	4.0	4.0	17.3	8.3	38.4	7.8	6.8	33.9	0.0	27.3	27.9	16.8	32	43	30	3	7	20	5	19	40	5	48	50	18	30	10	13	45
Delaware	6.1	11.6	21.6	2.2	4.0	3.3	3.6	17.2	8.8	46.0	15.1	18.7	28.6	0.0	30.7	28.8	18.9	22	49	19	50	33	32	13	22	31	1	20	8	48	30	2	12	40
District of Columbia	4.8	15.1	14.5	7.0	7.1	3.3	5.0	13.6	9.0	23.2	3.3	8.2	57.5	0.0	8.5	25.6	12.6	36	1	52	5	2	32	2	52	22	43	52	47	1	30	50	15	51
Florida	6.9	12.1	24.3	3.9	4.9	4.6	3.2	19.6	12.0	39.2	16.9	18.7	33.8	0.2	24.8	22.2	19.8	18	36	2	25	10	13	28	5	3	4	14	8	20	3	15	23	37
Georgia	7.7	13.2	22.0	2.9	4.4	4.5	3.5	16.0	9.2	36.6	20.6	21.0	36.0	0.1	21.0	17.4	20.2	10	9	7	41	23	15	16	45	20	10	2	3	12	13	28	29	35
Hawaii	4.1	12.7	22.9	4.0	6.4	3.5	2.8	23.0	16.0	25.7	13.9	12.3	39.7	0.0	7.0	21.7	20.8	50	15	5	22	3	28	38	2	2	35	27	30	5	30	52	24	26
Idaho	5.6	12.6	21.8	4.3	2.8	3.1	2.6	16.9	9.0	27.8	18.1	19.7	29.2	0.2	26.9	24.1	26.1	28	17	12	19	50	35	41	25	22	26	6	4	43	3	11	19	1
Illinois	5.7	12.9	21.5	6.4	6.3	4.6	3.9	16.8	8.8	30.4	11.3	10.8	33.7	0.0	22.3	18.8	20.4	27	11	20	8	4	13	7	28	31	21	40	42	24	30	19	26	33
Indiana	7.1	12.3	20.6	3.5	4.7	3.6	3.0	16.1	8.6	23.9	14.7	11.9	30.5	0.0	17.4	10.3	20.1	16	27	39	31	14	27	34	43	37	40	22	33	40	30	42	47	36
Iowa	4.6	12.1	20.4	3.4	3.6	2.9	2.6	15.9	7.2	20.9	10.7	10.9	28.8	0.1	19.3	11.6	20.6	39	36	40	33	42	37	41	47	52	47	43	39	45	13	34	43	30
Kansas	5.2	12.3	20.4	3.6	3.9	3.5	2.7	16.3	8.2	26.1	12.9	10.9	33.8	0.1	19.0	12.7	22.8	31	27	40	27	36	28	40	40	42	33	32	39	20	13	37	40	13
Kentucky	7.8	12.4	21.2	4.4	4.4	5.0	3.2	16.2	8.5	20.9	17.1	14.3	32.4	0.1	17.0	10.4	20.9	8	25	24	16	23	7	28	41	38	47	13	22	32	13	43	46	24
Louisiana	9.5	12.6	21.7	4.0	3.1	4.7	3.9	18.8	10.3	26.8	12.8	14.3	33.4	0.2	21.3	12.6	21.2	2	17	15	22	47	8	7	8	8	29	33	22	27	3	26	41	21
Maine	4.5	11.5	21.0	5.4	3.7	2.3	2.5	17.4	8.4	27.7	12.2	12.6	27.1	0.0	24.7	17.5	19.2	44	50	28	11	40	47	45	17	39	27	35	29	51	30	16	28	38
Maryland	5.6	12.9	19.5	2.2	5.0	3.9	3.5	16.6	8.1	33.4	14.2	11.2	32.9	0.0	23.7	34.3	18.7	28	11	47	50	9	22	16	34	45	15	24	36	29	30	18	6	41
Massachusetts	4.7	12.2	19.4	10.7	5.8	4.2	3.4	16.8	8.2	25.8	7.8	7.1	37.5	0.0	17.9	35.6	15.3	38	32	49	2	6	17	20	28	42	34	48	49	8	30	40	4	50
Michigan	6.0	11.7	20.7	2.6	4.1	2.7	3.7	17.3	9.2	28.1	13.3	9.9	28.3	0.0	19.6	13.5	23.2	24	46	37	48	32	41	11	19	20	25	31	44	49	30	33	38	10
Minnesota	3.9	12.7	20.4	2.0	2.2	2.8	2.6	15.8	7.9	31.2	13.5	13.7	28.1	0.0	28.8	23.6	20.8	51	15	40	52	52	39	41	49	47	18	29	26	50	30	5	20	26
Mississippi	10.0	12.5	20.8	3.1	4.2	4.7	4.0	17.8	9.5	21.8	17.3	16.8	31.2	0.1	15.7	7.3	22.2	1	21	35	38	28	8	5	13	18	46	11	12	37	13	45	51	15
Missouri	6.5	12.2	21.9	4.6	3.8	2.9	2.8	16.8	8.8	25.4	14.3	13.0	32.9	0.1	19.8	12.8	22.0	20	32	10	14	39	37	38	28	31	37	23	28	29	13	32	39	17
Montana	4.3	12.0	20.9	4.4	2.8	1.7	2.6	18.8	11.4	25.2	13.9	14.4	31.5	0.1	26.0	24.3	23.3	48	40	30	16	50	51	41	8	4	38	27	21	36	13	14	17	9
Nebraska	4.6	12.5	21.2	2.6	4.0	3.8	2.3	15.9	7.4	25.6	11.6	11.1	33.8	0.0	20.5	12.6	22.7	39	21	24	48	33	25	50	47	51	36	39	37	20	30	30	41	14
Nevada	7.7	13.3	22.9	6.5	7.5	5.3	4.1	25.1	23.1	41.0	26.7	26.6	42.9	0.2	28.6	33.3	25.1	10	7	5	7	1	5	4	1	1	2	1	1	4	3	7	7	5
New Hampshire	4.5	11.5	21.3	5.4	4.6	2.2	2.5	16.0	8.7	39.8	10.7	11.6	28.8	0.0	29.8	30.7	18.0	44	50	22	11	16	48	45	45	35	3	43	34	45	30	3	10	43
New Jersey	5.1	12.8	21.7	6.3	4.7	4.7	3.8	15.7	7.8	37.8	9.7	8.8	36.0	0.0	21.5	34.5	16.1	32	13	15	9	14	8	10	50	50	7	46	46	12	30	24	5	47
New Mexico	7.9	12.1	21.8	3.8	2.9	5.6	3.7	19.7	10.8	27.4	17.7	14.7	32.0	0.2	21.8	14.2	23.4	7	36	12	26	48	4	11	4	5	28	10	20	34	3	22	37	8
New York	6.8	12.4	21.0	6.9	5.1	6.0	3.6	19.6	9.0	26.5	6.3	6.1	45.9	0.0	13.5	22.3	15.5	19	25	28	6	8	3	13	5	22	31	51	51	2	30	48	22	49
North Carolina	7.2	12.6	20.9	2.7	4.2	4.3	3.3	16.8	9.3	31.4	19.7	18.8	34.3	0.1	20.5	16.8	21.1	14	17	30	45	28	16	24	28	19	17	4	6	16	13	30	32	22
North Dakota	4.2	11.9	20.0	3.5	3.9	2.7	2.1	17.1	7.9	22.3	10.1	11.0	37.5	0.0	26.5	17.6	22.2	49	43	45	31	36	41	52	23	47	45	45	38	8	30	12	27	15
Ohio	6.5	12.0	21.1	4.4	4.6	2.7	3.3	16.9	8.9	23.4	11.8	9.4	33.7	0.0	18.2	10.9	20.3	20	40	27	16	16	41	24	25	29	42	36	45	24	30	39	45	34
Oklahoma	7.6	12.5	21.9	2.7	3.7	3.9	3.1	17.3	9.6	23.2	11.7	13.2	33.9	0.2	16.2	9.3	23.1	12	21	10	45	40	22	31	19	15	43	38	27	18	3	44	48	11
Oregon	5.4	13.4	20.7	4.3	4.4	3.4	3.4	17.6	9.6	37.7	16.9	13.9	37.2	0.3	21.5	36.7	25.0	30	5	37	19	23	31	20	15	15	8	14	24	10	2	24	2	6
Pennsylvania	5.9	11.7	20.8	4.0	3.2	3.1	3.4	17.0	8.1	30.6	9.6	8.1	31.0	0.0	21.9	17.1	15.9	25	46	35	22	46	35	20	24	45	20	47	48	38	30	21	30	48
Puerto Rico	null	12.3	25.9	3.0	4.4	null	6.7	20.6	9.8	5.8	15.3	12.3	32.2	0.0	8.5	3.3	null		27	1	40	23		1	3	12	52	19	30	33	30	50	52	
Rhode Island	6.1	11.7	21.7	12.0	4.8	4.7	3.6	18.4	10.0	34.7	7.8	5.9	38.4	0.0	34.5	30.2	18.0	22	46	15	1	12	8	13	11	10	13	48	52	6	30	1	11	43
South Carolina	8.0	12.1	22.0	2.7	4.2	3.7	3.3	17.5	10.0	29.9	19.1	18.8	29.9	0.1	19.2	14.4	20.6	6	36	7	45	28	26	24	16	10	23	5	6	41	13	35	36	30
South Dakota	5.0	11.9	21.3	3.6	3.9	2.8	2.4	16.8	8.9	18.7	12.8	13.9	32.0	0.1	22.3	14.7	21.1	34	43	22	27	36	39	49	28	29	49	33	24	34	13	19	35	22
Tennessee	7.6	12.5	21.8	3.1	4.6	4.2	3.3	16.5	9.6	28.2	17.8	16.1	33.5	0.1	20.8	15.4	20.7	12	21	12	38	16	17	24	36	15	24	8	13	26	13	29	34	29
