name	employed	age_45_54	age_55_59	age_60_64	age_65_74	median_age	race_white	age_16_over	age_18_over	age_21_over	grapi_20_24	grapi_25_29	grapi_30_34	income_median	ancestry_greek	ancestry_irish	rent_1000_1499	ancestry_french	built_1980_1989	ancestry_english	ancestry_italian	income_percapita	ancestry_scottish	ancestry_lithuanian	edu_bachelor_degree	value_200000_299999	value_300000_499999	income_100000_149999	income_150000_199999	edu_highschool_higher	ancestry_frenchcanadian	rank_employed	rank_age_45_54	rank_age_55_59	rank_age_60_64	rank_age_65_74	rank_median_age	rank_race_white	rank_age_16_over	rank_age_18_over	rank_age_21_over	rank_grapi_20_24	rank_grapi_25_29	rank_grapi_30_34	rank_income_median	rank_ancestry_greek	rank_ancestry_irish	rank_rent_1000_1499	rank_ancestry_french	rank_built_1980_1989	rank_ancestry_english	rank_ancestry_italian	rank_income_percapita	rank_ancestry_scottish	rank_ancestry_lithuanian	rank_edu_bachelor_degree	rank_value_200000_299999	rank_value_300000_499999	rank_income_100000_149999	rank_income_150000_199999	rank_edu_highschool_higher	rank_ancestry_frenchcanadian
Alabama	54.0	12.8	6.8	6.6	10.0	39.2	67.5	80.3	77.7	73.5	12.2	11.8	8.5	52035	0.2	8.0	23.5	1.4	14.7	7.9	1.6	28934	1.8	0.0	16.3	17.6	11.1	13.1	4.9	86.9	0.2	48	22	21	15	17	20	37	26	27	30	44	21	44	46	31	40	41	45	19	32	48	47	21	46	45	41	44	45	44	45	35
Alaska	59.6	12.1	6.7	6.1	8.1	34.6	63.4	77.7	75.1	71.5	14.7	11.7	9.4	77790	0.2	9.7	35.3	2.3	26.1	8.0	2.8	37094	2.2	0.1	18.7	29.3	33.0	19.3	9.6	93.1	0.7	29	37	25	41	49	50	42	49	49	46	1	24	11	9	31	31	12	18	1	29	33	15	11	22	35	4	9	2	6	7	13
Arizona	56.2	11.9	6.1	6.0	10.2	37.9	73.8	79.7	77.1	73.0	14.0	12.0	8.9	61529	0.3	8.6	38.0	2.1	17.6	8.5	4.1	32340	1.7	0.2	18.8	26.4	24.2	15.0	6.1	87.9	0.4	42	40	49	44	14	35	29	34	34	34	7	16	27	29	20	36	6	23	4	25	20	34	23	14	34	13	18	31	26	39	21
Arkansas	54.8	12.2	6.5	6.3	9.9	38.3	75.4	79.3	76.7	72.5	13.3	11.6	9.0	49475	0.1	9.4	17.6	1.6	15.0	8.2	1.5	27724	1.7	0.1	15.2	15.4	8.4	11.7	4.0	87.2	0.2	47	36	34	32	18	28	27	39	39	38	24	28	24	49	45	32	50	36	17	27	49	49	23	22	48	46	49	50	50	42	35
California	59.4	12.8	6.3	5.7	8.3	36.7	56.1	79.8	77.2	73.2	12.2	11.5	9.5	78672	0.3	5.9	26.7	1.6	15.1	5.4	3.6	38576	1.2	0.1	21.6	9.9	26.0	17.1	9.4	83.9	0.3	30	22	44	49	48	44	49	32	33	33	44	36	8	7	20	49	30	36	14	47	24	12	42	22	16	49	14	15	8	51	27
Colorado	64.3	12.5	6.5	5.9	8.8	36.9	81.5	80.4	77.9	73.9	13.5	12.5	10.0	75231	0.3	10.9	34.7	2.5	14.2	10.4	4.9	39545	2.5	0.2	26.0	18.4	38.5	18.2	8.7	92.1	0.5	8	28	34	46	45	41	19	22	23	23	19	6	2	12	20	22	13	17	24	12	15	10	10	14	1	38	1	8	12	14	17
Connecticut	61.7	13.8	7.5	6.8	9.7	41.1	74.2	82.0	79.4	75.1	12.3	11.9	9.2	79855	0.8	15.0	38.4	4.6	12.4	8.4	16.5	45668	1.6	0.7	22.2	27.3	27.9	17.6	9.6	90.9	2.5	17	3	4	10	24	7	28	10	10	14	43	18	16	6	3	7	5	7	30	26	1	2	30	1	11	10	13	12	6	24	7
Delaware	58.0	12.6	7.1	6.9	11.3	41.0	67.4	81.3	78.9	74.9	11.8	12.5	9.4	69110	0.5	14.2	46.0	1.4	12.6	9.4	8.4	36574	1.6	0.3	19.0	30.7	28.8	17.0	7.7	90.6	0.3	37	27	9	6	4	8	38	14	14	15	47	6	11	17	8	8	1	45	27	17	8	17	30	7	33	2	12	16	18	26	27
District of Columbia	65.2	10.8	5.2	4.8	7.0	34.1	41.1	83.5	82.0	77.4	13.7	12.1	9.5	90842	0.4	7.1	23.2	1.6	4.5	5.6	4.0	58659	1.3	0.3	25.3	8.5	25.6	16.4	10.3	91.9	0.3	5	50	51	51	51	51	51	4	1	2	14	14	8	1	13	43	43	36	52	44	21	1	40	7	2	50	15	19	5	15	27
Florida	55.4	12.9	6.9	6.5	11.3	42.2	71.6	82.4	80.1	76.6	12.4	11.7	9.6	57703	0.4	8.4	39.2	2.0	20.0	7.0	5.8	32848	1.5	0.2	19.3	24.8	22.2	13.7	5.6	88.5	0.5	45	15	18	19	4	6	31	8	8	5	42	24	7	38	13	38	4	24	2	38	11	28	32	14	31	15	23	40	32	35	17
