name	units_2	age_45_54	in_finance	race_asian	income_mean	rent_median	in_wholesale	ancestry_arab	earnings_male	income_median	ancestry_greek	in_information	rent_1000_1499	rent_1500_1999	rent_2000_2499	rent_2500_2999	ancestry_polish	ancestry_slovak	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	earnings_median	ancestry_italian	ancestry_russian	income_percapita	ancestry_ukranian	in_transportation	ancestry_hungarian	income_200000_more	edu_bachelor_degree	edu_bachelor_higher	value_300000_499999	value_500000_999999	ancestry_west_indian	income_150000_199999	rank_units_2	rank_age_45_54	rank_in_finance	rank_race_asian	rank_income_mean	rank_rent_median	rank_in_wholesale	rank_ancestry_arab	rank_earnings_male	rank_income_median	rank_ancestry_greek	rank_in_information	rank_rent_1000_1499	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_ancestry_polish	rank_ancestry_slovak	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_earnings_median	rank_ancestry_italian	rank_ancestry_russian	rank_income_percapita	rank_ancestry_ukranian	rank_in_transportation	rank_ancestry_hungarian	rank_income_200000_more	rank_edu_bachelor_degree	rank_edu_bachelor_higher	rank_value_300000_499999	rank_value_500000_999999	rank_ancestry_west_indian	rank_income_150000_199999
Alabama	2.0	12.8	5.6	1.4	71964	811	2.5	0.3	50823	52035	0.2	1.5	23.5	4.5	0.9	0.3	0.6	0.0	3.8	8.2	11.3	37425	32080	1.6	0.1	28934	0.1	5.5	0.1	4.4	16.3	26.2	11.1	3.8	0.2	4.9	37	22	36	44	47	45	24	31	36	46	31	36	41	42	45	39	49	40	35	34	15	46	44	48	49	47	34	21	44	45	45	44	44	42	20	44
Alaska	5.4	12.1	3.8	6.4	98811	1240	1.8	0.1	61539	77790	0.2	2.0	35.3	18.9	11.0	2.4	1.9	0.1	1.5	4.6	8.0	51273	40471	2.8	1.2	37094	0.3	8.9	0.2	8.8	18.7	30.0	33.0	9.4	0.2	9.6	10	37	52	9	13	11	48	49	7	9	31	9	12	12	5	11	24	17	50	51	46	7	11	33	8	15	16	1	31	13	35	32	9	17	20	6
Arizona	1.3	11.9	8.6	3.3	84380	1097	2.3	0.5	50312	61529	0.3	1.8	38.0	14.9	3.6	1.1	2.2	0.1	1.4	5.2	7.2	42071	34302	4.1	0.7	32340	0.2	5.5	0.4	6.4	18.8	30.3	24.2	9.3	0.2	6.1	52	40	3	21	24	18	35	17	37	29	20	15	6	19	19	18	21	17	51	50	48	25	31	20	24	34	25	21	11	23	34	31	18	18	20	26
Arkansas	3.2	12.2	4.9	1.5	69357	760	2.4	0.2	45269	49475	0.1	1.4	17.6	2.8	0.8	0.3	0.8	0.0	3.6	6.8	10.1	36482	31343	1.5	0.1	27724	0.1	5.9	0.1	4.0	15.2	23.8	8.4	2.7	0.2	4.0	16	36	46	42	49	50	28	45	51	49	45	46	50	51	47	39	46	40	38	44	23	49	46	49	49	49	34	12	44	49	48	49	49	49	20	50
California	2.4	12.8	6.0	14.8	111622	1586	2.8	0.8	58031	78672	0.3	2.9	26.7	23.8	14.5	7.6	1.2	0.1	5.8	13.3	13.2	50693	38176	3.6	0.9	38576	0.3	5.5	0.3	13.3	21.6	34.7	26.0	37.0	0.2	9.4	26	22	30	2	6	3	4	6	15	7	20	2	30	3	2	3	39	17	11	7	5	9	16	24	15	12	16	21	20	5	16	15	14	3	20	8
Colorado	1.6	12.5	7.1	3.2	100933	1335	2.3	0.4	58307	75231	0.3	2.7	34.7	24.8	9.0	2.9	2.3	0.2	2.5	7.4	8.3	48212	39394	4.9	1.0	39545	0.2	4.8	0.4	9.6	26.0	41.6	38.5	22.8	0.2	8.7	47	28	13	22	12	8	35	22	14	12	20	4	13	2	11	10	18	7	48	37	43	13	14	15	13	10	25	35	11	12	1	3	1	6	20	12
Connecticut	8.2	13.8	9.1	4.6	115337	1201	2.4	0.7	68716	79855	0.8	2.0	38.4	17.9	6.3	2.4	6.9	0.5	6.7	14.7	13.6	55546	42996	16.5	1.4	45668	0.6	4.3	0.9	13.2	22.2	40.0	27.9	12.1	2.6	9.6	5	3	2	14	4	13	28	10	4	6	3	9	5	14	12	11	3	3	7	1	3	4	5	1	5	2	5	44	3	6	11	6	13	13	3	6
Delaware	1.6	12.6	9.4	4.0	92308	1150	2.1	0.4	56025	69110	0.5	1.3	46.0	15.3	3.1	0.8	4.1	0.2	4.5	9.9	10.0	47363	37369	8.4	0.8	36574	0.5	5.8	0.4	7.6	19.0	32.7	28.8	7.5	1.2	7.7	47	27	1	18	18	16	41	22	19	17	8	49	1	17	24	24	10	7	26	20	27	15	18	8	19	17	7	14	11	18	33	21	12	24	9	18
District of Columbia	3.1	10.8	6.4	4.1	133587	1607	0.6	0.8	84061	90842	0.4	3.6	23.2	21.1	14.6	8.6	2.2	0.2	11.3	12.1	11.0	73682	59677	4.0	1.5	58659	0.5	3.3	0.4	19.8	25.3	59.8	25.6	41.3	1.5	10.3	18	50	22	16	1	2	52	6	1	1	13	1	43	6	1	2	21	7	1	11	18	1	1	21	4	1	7	51	11	1	2	1	15	2	6	5
Florida	2.0	12.9	7.7	2.8	83104	1218	2.6	0.6	45980	57703	0.4	1.7	39.2	19.6	6.2	2.2	2.3	0.1	2.0	7.0	8.8	39541	32098	5.8	0.9	32848	0.3	5.8	0.5	6.4	19.3	30.5	22.2	8.7	4.4	5.6	37	15	7	26	28	12	16	13	49	38	13	20	4	10	13	13	18	17	49	41	35	38	43	11	15	28	16	14	7	23	31	30	23	20	1	32
