name	rooms_5	edu_9_12	in_other	class_govt	edu_9_less	job_service	race_native	units_mobile	race_hispanic	built_1980_1989	units_boat_rv_van	income_10000_14999	income_15000_24999	value_150000_199999	rank_rooms_5	rank_edu_9_12	rank_in_other	rank_class_govt	rank_edu_9_less	rank_job_service	rank_race_native	rank_units_mobile	rank_race_hispanic	rank_built_1980_1989	rank_units_boat_rv_van	rank_income_10000_14999	rank_income_15000_24999	rank_value_150000_199999
Alabama	22.2	9.1	4.9	15.7	4.0	16.1	0.5	13.0	4.4	14.7	0.1	5.6	10.9	16.6	10	3	13	16	20	43	24	5	41	19	13	5	7	19
Alaska	18.1	4.5	4.5	25.9	2.4	17.7	14.6	4.4	7.2	26.1	0.2	2.9	6.2	10.2	32	44	34	1	45	14	1	32	32	1	3	49	48	41
Arizona	21.1	7.0	4.7	13.8	5.1	18.7	4.3	10.3	31.5	17.6	0.4	3.7	8.6	14.4	13	17	19	31	6	10	7	11	5	4	1	37	25	35
Arkansas	24.5	8.1	4.8	15.2	4.7	16.6	0.6	11.7	7.6	15.0	0.1	5.6	11.9	16.6	3	5	15	19	8	34	22	9	30	17	13	5	5	19
California	19.4	7.2	5.1	13.9	8.9	18.1	0.8	3.6	39.1	15.1	0.1	3.9	6.9	3.3	24	14	8	29	1	12	18	37	4	14	13	31	40	50
Colorado	15.3	4.6	4.9	13.6	3.3	16.5	0.9	3.9	21.7	14.2	0.1	3.1	6.6	6.5	48	39	13	34	32	36	16	34	8	24	13	45	46	48
Connecticut	18.1	5.1	4.6	12.8	4.0	17.3	0.3	0.8	16.4	12.4	0.0	3.4	6.8	14.8	32	32	25	41	20	19	32	48	12	30	30	42	41	33
Delaware	15.5	6.1	4.2	15.2	3.3	17.2	0.4	7.8	9.4	12.6	0.0	3.5	6.8	15.5	46	22	50	19	32	22	28	19	29	27	30	40	41	31
District of Columbia	11.4	4.8	9.5	24.8	3.3	13.6	0.3	0.1	11.1	4.5	0.0	3.9	5.4	1.4	52	36	1	2	32	52	32	52	21	52	30	31	52	52
Florida	22.3	6.9	5.3	11.7	4.6	19.6	0.3	8.7	25.8	20.0	0.2	4.2	9.3	14.5	8	18	5	49	13	5	32	15	7	2	3	20	18	34
Georgia	19.3	7.7	4.7	14.3	4.5	16.0	0.3	8.6	9.6	16.5	0.1	4.2	9.0	17.1	26	10	19	26	15	45	32	16	26	7	13	20	21	15
Hawaii	19.5	4.1	4.3	20.4	3.5	23.0	0.2	0.2	10.7	15.2	0.0	2.7	5.5	1.9	23	50	46	7	28	2	44	51	23	12	30	50	51	51
Idaho	19.0	5.6	4.6	14.6	3.1	16.9	1.3	7.7	12.7	10.4	0.2	4.0	9.2	16.3	28	28	25	23	35	25	9	20	17	41	3	27	19	26
Illinois	19.3	5.7	4.7	12.2	4.6	16.8	0.3	2.4	17.2	9.1	0.0	3.7	8.1	15.6	26	27	19	45	13	28	32	43	11	48	30	37	32	30
Indiana	20.3	7.1	4.6	10.8	3.6	16.1	0.2	4.7	7.1	9.9	0.0	4.1	9.5	18.2	17	16	25	50	27	43	44	31	33	42	30	22	16	6
Iowa	17.3	4.6	4.4	13.5	2.9	15.9	0.3	3.6	6.2	7.4	0.1	4.0	8.6	17.2	38	39	43	35	37	47	32	37	35	51	13	27	25	14
Kansas	17.5	5.2	4.5	15.8	3.5	16.3	0.8	4.2	12.1	11.6	0.1	4.0	8.7	16.4	36	31	34	14	28	40	18	33	18	35	13	27	23	25
Kentucky	22.0	7.8	4.5	14.3	5.0	16.2	0.2	11.5	3.8	12.5	0.1	5.5	10.4	17.4	11	8	34	26	7	41	44	10	48	29	13	7	9	11
