name	rooms_1	rooms_3	rooms_4	units_2	units_3_4	edu_9_less	in_finance	income_mean	job_service	rent_median	ancestry_arab	grapi_35_more	housing_units	units_20_more	ancestry_greek	in_information	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1940_1949	built_1950_1959	built_1960_1969	earnings_female	occupied_renter	popestimate2020	popestimate2021	ancestry_italian	ancestry_russian	ancestry_ukranian	ancestry_hungarian	built_1939_earlier	income_200000_more	value_1000000_more	in_education_health	value_500000_999999	ancestry_west_indian	rank_rooms_1	rank_rooms_3	rank_rooms_4	rank_units_2	rank_units_3_4	rank_edu_9_less	rank_in_finance	rank_income_mean	rank_job_service	rank_rent_median	rank_ancestry_arab	rank_grapi_35_more	rank_housing_units	rank_units_20_more	rank_ancestry_greek	rank_in_information	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1940_1949	rank_built_1950_1959	rank_built_1960_1969	rank_earnings_female	rank_occupied_renter	rank_popestimate2020	rank_popestimate2021	rank_ancestry_italian	rank_ancestry_russian	rank_ancestry_ukranian	rank_ancestry_hungarian	rank_built_1939_earlier	rank_income_200000_more	rank_value_1000000_more	rank_in_education_health	rank_value_500000_999999	rank_ancestry_west_indian
Alabama	1.5	5.6	13.9	2.0	2.9	4.0	5.6	71964	16.1	811	0.3	38.8	2270398	4.1	0.2	1.5	4.5	0.9	0.3	0.4	3.8	8.2	11.3	37425	30.8	5024803	5039877	1.6	0.1	0.1	0.1	5.1	4.4	0.8	22.7	3.8	0.2	40	50	41	37	41	20	36	47	43	45	31	21	24	42	31	36	42	45	39	43	35	34	15	46	39	24	24	48	49	34	44	39	45	39	36	42	20
Alaska	6.0	12.1	19.8	5.4	7.3	2.4	3.8	98811	17.7	1240	0.1	34.8	318370	4.9	0.2	2.0	18.9	11.0	2.4	1.1	1.5	4.6	8.0	51273	35.2	732441	732673	2.8	1.2	0.3	0.2	1.6	8.8	0.8	24.6	9.4	0.2	2	4	4	10	4	45	52	13	14	11	49	44	51	35	31	9	12	5	11	15	50	51	46	7	14	49	49	33	8	16	31	50	13	39	17	17	20
Arizona	2.7	9.7	16.8	1.3	3.4	5.1	8.6	84380	18.7	1097	0.5	38.6	3040595	7.5	0.3	1.8	14.9	3.6	1.1	1.1	1.4	5.2	7.2	42071	34.7	7177986	7276316	4.1	0.7	0.2	0.4	1.4	6.4	2.0	22.0	9.3	0.2	13	13	14	52	33	6	3	24	10	18	17	24	14	20	20	15	19	19	18	15	51	50	48	25	15	14	14	20	24	25	11	51	23	18	43	18	20
Arkansas	2.1	6.8	15.9	3.2	3.4	4.7	4.9	69357	16.6	760	0.2	34.5	1379778	2.9	0.1	1.4	2.8	0.8	0.3	0.3	3.6	6.8	10.1	36482	34.2	3012232	3025891	1.5	0.1	0.1	0.1	4.6	4.0	0.6	24.6	2.7	0.2	21	42	22	16	33	8	46	49	34	50	45	47	32	50	45	46	51	47	39	46	38	44	23	49	17	34	34	49	49	34	44	41	49	46	17	49	20
California	4.0	11.8	19.1	2.4	5.4	8.9	6.0	111622	18.1	1586	0.8	44.7	14210945	12.6	0.3	2.9	23.8	14.5	7.6	8.2	5.8	13.3	13.2	50693	44.7	39499738	39237836	3.6	0.9	0.3	0.3	9.0	13.3	16.7	21.2	37.0	0.2	5	5	5	26	11	1	30	6	12	3	6	4	1	6	20	2	3	2	3	3	11	7	5	9	3	1	1	24	15	16	20	30	5	2	47	3	20
Colorado	2.2	9.9	15.0	1.6	3.3	3.3	7.1	100933	16.5	1335	0.4	41.2	2361372	11.1	0.3	2.7	24.8	9.0	2.9	1.8	2.5	7.4	8.3	48212	33.8	5784308	5812069	4.9	1.0	0.2	0.4	7.6	9.6	4.0	21.2	22.8	0.2	19	12	34	47	36	32	13	12	36	8	22	9	22	11	20	4	2	11	10	11	48	37	43	13	20	21	21	15	13	25	11	33	12	8	47	6	20
Connecticut	2.1	9.1	15.2	8.2	8.4	4.0	9.1	115337	17.3	1201	0.7	42.2	1521199	9.1	0.8	2.0	17.9	6.3	2.4	2.5	6.7	14.7	13.6	55546	33.9	3600260	3605597	16.5	1.4	0.6	0.9	21.5	13.2	4.7	26.5	12.1	2.6	21	16	30	5	3	20	2	4	19	13	10	7	30	16	3	9	14	12	11	9	7	1	3	4	18	29	29	1	5	5	3	9	6	7	7	13	3
Delaware	1.2	5.4	11.9	1.6	2.2	3.3	9.4	92308	17.2	1150	0.4	39.8	438438	5.1	0.5	1.3	15.3	3.1	0.8	0.8	4.5	9.9	10.0	47363	28.6	991886	1003384	8.4	0.8	0.5	0.4	8.2	7.6	1.5	25.0	7.5	1.2	52	51	52	47	50	32	1	18	22	16	22	17	46	33	8	49	17	24	24	24	26	20	27	15	48	46	46	8	19	7	11	32	18	23	14	24	9
District of Columbia	7.9	21.5	17.3	3.1	7.0	3.3	6.4	133587	13.6	1607	0.8	36.0	319192	37.8	0.4	3.6	21.1	14.6	8.6	10.3	11.3	12.1	11.0	73682	57.5	690093	670050	4.0	1.5	0.5	0.4	33.6	19.8	20.3	18.2	41.3	1.5	1	1	8	18	5	32	22	1	52	2	6	35	50	1	13	1	6	1	2	2	1	11	18	1	1	50	50	21	4	7	11	1	1	1	51	2	6
Florida	2.0	10.0	20.8	2.0	3.9	4.6	7.7	83104	19.6	1218	0.6	46.8	9562324	13.8	0.4	1.7	19.6	6.2	2.2	1.7	2.0	7.0	8.8	39541	33.8	21569932	21781128	5.8	0.9	0.3	0.5	2.1	6.4	2.7	21.1	8.7	4.4	25	10	2	37	25	13	7	28	5	12	13	1	3	5	13	20	10	13	13	12	49	41	35	38	20	3	3	11	15	16	7	48	23	12	49	20	1
Georgia	1.4	6.3	13.8	2.1	2.9	4.5	6.4	85691	16.0	1042	0.3	40.1	4329675	6.5	0.2	2.3	12.8	2.9	0.7	0.7	2.6	5.9	8.5	41521	36.0	10725800	10799566	2.2	0.4	0.1	0.2	4.2	7.1	1.5	20.9	7.4	1.3	47	46	42	32	41	15	22	22	45	21	31	15	10	25	31	6	23	26	26	28	47	49	41	28	12	8	8	38	34	34	31	44	20	23	50	25	8
Hawaii	5.5	13.7	20.4	2.1	4.0	3.5	6.6	107348	23.0	1651	0.2	45.5	546571	19.6	0.2	1.5	20.6	13.8	9.4	12.4	3.5	8.5	14.4	45426	39.7	1451911	1441553	2.1	0.4	0.1	0.2	3.5	11.3	16.5	21.3	49.2	0.2	3	3	3	32	22	28	19	7	2	1	45	2	43	3	31	36	8	3	1	1	39	33	2	18	5	41	41	41	34	34	31	46	9	3	46	1	20
Idaho	1.8	6.1	14.4	2.3	4.3	3.1	5.7	77399	16.9	887	0.2	36.6	737411	3.8	0.2	1.6	7.3	1.4	0.4	0.6	3.8	6.1	6.6	37128	29.2	1847772	1900923	3.1	0.5	0.3	0.2	8.3	4.7	1.5	22.3	7.9	0.1	29	47	38	28	19	35	32	39	25	31	45	33	41	46	31	25	32	36	33	33	35	47	51	47	43	39	39	31	31	16	31	31	40	23	40	21	36
