name	units_mobile	built_1990_1999	built_2000_2009	ancestry_american	ancestry_scottish_irish	rank_units_mobile	rank_built_1990_1999	rank_built_2000_2009	rank_ancestry_american	rank_ancestry_scottish_irish
Alabama	13.0	18.1	15.3	16.2	1.4	5	6	16	1	7
Alaska	4.4	14.2	15.7	3.5	1.3	32	24	14	42	11
Arizona	10.3	20.0	23.4	3.7	0.8	11	3	2	38	27
Arkansas	11.7	17.8	15.7	9.8	1.1	9	8	14	8	16
California	3.6	11.0	10.9	2.9	0.5	37	41	39	48	42
Colorado	3.9	16.8	17.1	3.8	1.1	34	16	11	35	16
Connecticut	0.8	7.8	6.8	3.7	0.5	48	48	50	38	42
Delaware	7.8	15.1	18.7	6.0	0.7	19	20	8	20	34
District of Columbia	0.1	3.3	8.2	2.6	0.6	52	52	47	49	38
Florida	8.7	16.9	18.7	8.0	0.8	15	14	8	11	27
Georgia	8.6	20.6	21.0	9.7	1.1	16	2	3	9	16
Hawaii	0.2	13.9	12.3	1.3	0.4	51	27	30	51	48
Idaho	7.7	18.1	19.7	6.2	1.0	20	6	4	19	22
Illinois	2.4	11.3	10.8	3.7	0.5	43	40	42	38	42
Indiana	4.7	14.7	11.9	7.7	0.8	31	22	33	12	27
Iowa	3.6	10.7	10.9	4.5	0.8	37	43	39	30	27
Kansas	4.2	12.9	10.9	5.9	1.0	33	32	39	21	22
Kentucky	11.5	17.1	14.3	14.0	1.3	10	13	22	2	11
Louisiana	12.9	12.8	14.3	7.5	0.7	6	33	22	15	34
Maine	8.3	12.2	12.6	6.5	1.5	18	35	29	18	5
Maryland	1.3	14.2	11.2	4.6	0.7	45	24	36	28	34
Massachusetts	0.8	7.8	7.1	3.8	0.6	48	48	49	35	38
Michigan	5.4	13.3	9.9	5.0	0.7	28	31	44	23	34
Minnesota	3.2	13.5	13.7	3.0	0.5	41	29	26	47	42
Mississippi	14.8	17.3	16.8	10.7	1.4	3	11	12	4	7
Missouri	5.9	14.3	13.0	7.7	1.1	26	23	28	12	16
Montana	10.2	13.9	14.4	5.0	1.5	12	27	21	23	5
Nebraska	3.3	11.6	11.1	3.7	0.8	40	39	37	38	27
Nevada	5.3	26.7	26.6	3.5	0.6	29	1	1	42	38
New Hampshire	5.7	10.7	11.6	4.3	1.2	27	43	34	32	13
New Jersey	0.9	9.7	8.8	3.3	0.4	46	46	46	45	48
New Mexico	16.7	17.7	14.7	4.2	0.8	1	10	20	33	27
New York	2.3	6.3	6.1	4.9	0.3	44	51	51	25	51
North Carolina	12.4	19.7	18.8	10.4	2.3	8	4	6	6	1
North Dakota	7.1	10.1	11.0	2.6	0.5	22	45	38	49	42
Ohio	3.7	11.8	9.4	6.6	0.9	36	36	45	17	25
Oklahoma	9.2	11.7	13.2	7.3	1.0	13	38	27	16	22
Oregon	7.7	16.9	13.9	4.7	1.2	20	14	24	26	13
Pennsylvania	3.8	9.6	8.1	4.5	1.1	35	47	48	30	16
Puerto Rico	0.3	15.3	12.3	null	null	50	19	30		
Rhode Island	0.9	7.8	5.9	3.4	0.5	46	48	52	44	42
South Carolina	15.8	19.1	18.8	10.2	2.2	2	5	6	7	2
South Dakota	8.6	12.8	13.9	4.0	0.6	16	33	24	34	38
Tennessee	8.9	17.8	16.1	12.3	2.1	14	8	13	3	3
Texas	6.9	15.1	18.7	5.4	0.9	23	20	8	22	25
Utah	3.1	17.2	19.4	4.6	0.8	42	12	5	28	27
Vermont	6.4	10.8	10.8	7.7	1.2	24	42	42	12	13
Virginia	4.9	15.8	14.9	9.4	1.4	30	18	18	10	7
Washington	6.0	16.7	15.0	3.8	1.1	25	17	17	35	16
West Virginia	14.6	13.5	11.3	10.6	1.8	4	29	35	5	4
Wisconsin	3.4	14.0	12.3	3.1	0.4	39	26	30	46	48
Wyoming	12.7	11.8	14.8	4.7	1.4	7	36	19	26	7
