name	rooms_7	rent_500_999	class_private	ancestry_swiss	ancestry_welsh	edu_highschool	ancestry_slovak	built_1950_1959	in_manufacturing	job_prod_transpo	value_50000_99999	ancestry_hungarian	value_100000_149000	rank_rooms_7	rank_rent_500_999	rank_class_private	rank_ancestry_swiss	rank_ancestry_welsh	rank_edu_highschool	rank_ancestry_slovak	rank_built_1950_1959	rank_in_manufacturing	rank_job_prod_transpo	rank_value_50000_99999	rank_ancestry_hungarian	rank_value_100000_149000
Alabama	13.9	54.7	78.7	0.1	0.5	30.3	0.0	8.2	14.2	17.2	19.7	0.1	17.9	4	14	29	44	26	14	40	34	7	6	8	44	12
Alaska	8.6	25.1	67.2	0.4	0.8	28.4	0.1	4.6	3.8	12.1	5.0	0.2	6.3	49	42	52	10	12	21	17	51	50	30	37	31	40
Arizona	11.9	35.6	79.9	0.3	0.6	23.8	0.1	5.2	7.0	10.9	6.7	0.4	9.6	35	34	22	19	18	44	17	50	40	41	32	11	34
Arkansas	12.2	62.1	78.6	0.2	0.5	33.9	0.0	6.8	13.4	17.3	22.9	0.1	20.1	29	1	30	24	26	3	40	44	8	5	4	44	6
California	10.5	14.6	78.1	0.2	0.4	20.4	0.1	13.3	9.0	11.9	2.0	0.3	2.3	47	49	34	24	38	50	17	7	30	34	47	20	50
Colorado	11.4	20.8	80.0	0.4	0.8	21.2	0.2	7.4	6.8	10.0	2.8	0.4	3.7	41	46	21	10	12	49	7	37	41	46	44	11	48
Connecticut	12.8	22.9	80.8	0.2	0.4	26.3	0.5	14.7	10.5	10.2	2.9	0.9	8.3	16	43	14	24	38	32	3	1	21	45	43	3	37
Delaware	16.3	26.3	80.3	0.2	0.8	31.0	0.2	9.9	8.0	11.7	3.7	0.4	7.4	1	39	16	24	12	11	7	20	36	37	40	11	38
District of Columbia	7.1	12.2	70.7	0.2	0.4	16.6	0.2	12.1	1.1	3.7	0.8	0.4	1.0	51	51	49	24	38	51	7	11	52	52	52	11	52
Florida	10.8	26.1	82.2	0.2	0.5	28.2	0.1	7.0	5.1	10.4	9.5	0.5	11.0	46	40	9	24	26	23	17	41	44	44	28	7	30
Georgia	13.4	37.9	80.1	0.1	0.5	27.5	0.1	5.9	10.5	14.7	12.9	0.2	15.1	10	29	19	44	26	27	17	49	21	12	22	31	23
Hawaii	7.8	11.8	72.5	0.1	0.3	27.3	0.0	8.5	2.9	9.3	1.2	0.2	1.5	50	52	47	44	46	28	40	33	51	49	50	31	51
Idaho	12.5	51.3	77.8	0.7	1.4	26.7	0.0	6.1	9.6	13.1	6.3	0.2	11.9	22	18	36	3	2	30	40	47	27	23	33	31	29
Illinois	12.1	37.2	83.1	0.3	0.4	25.6	0.3	12.6	11.7	14.7	13.4	0.4	14.4	31	30	4	19	38	37	5	8	16	12	21	11	26
Indiana	13.7	58.6	84.5	0.6	0.6	33.2	0.3	10.9	18.7	19.5	20.8	0.5	21.7	6	3	1	5	18	5	5	14	1	1	6	7	2
Iowa	13.3	58.1	79.9	0.5	0.6	30.8	0.0	10.1	14.7	17.0	19.6	0.1	20.4	12	5	22	8	18	12	40	17	5	7	9	44	4
Kansas	13.5	53.6	77.8	0.4	0.8	25.8	0.0	12.6	12.5	14.5	19.1	0.2	16.9	8	15	36	10	12	35	40	8	14	15	11	31	15
Kentucky	12.8	58.0	80.3	0.2	0.6	32.6	0.1	9.1	14.3	18.4	19.3	0.2	20.0	16	6	16	24	18	7	17	25	6	2	10	31	7
Louisiana	12.3	51.2	78.4	0.1	0.3	33.3	0.0	9.3	7.6	13.1	14.7	0.1	16.0	25	19	31	44	46	4	40	24	38	23	17	44	18
Maine	12.1	45.2	77.9	0.2	0.9	31.3	0.1	7.2	8.7	12.0	11.6	0.3	14.7	31	25	35	24	9	9	17	40	33	31	26	20	24
Maryland	13.5	15.4	73.1	0.2	0.6	24.2	0.2	11.3	4.5	8.9	3.4	0.4	5.8	8	48	46	24	18	41	7	13	47	51	41	11	42
Massachusetts	12.2	19.3	81.9	0.1	0.4	23.5	0.1	11.4	8.8	9.2	1.2	0.3	3.1	29	47	11	44	38	45	17	12	32	50	50	20	49
Michigan	13.2	50.8	84.2	0.2	0.5	28.5	0.2	14.7	18.6	16.6	16.4	0.8	17.5	13	20	2	24	26	20	7	1	2	10	13	5	14
Minnesota	12.7	37.0	82.3	0.4	0.4	24.2	0.1	9.7	13.4	13.6	7.0	0.2	10.9	19	31	8	10	38	41	17	21	8	22	31	31	31
Mississippi	13.9	56.7	75.7	0.0	0.3	30.1	0.0	7.4	13.2	17.9	24.3	0.1	17.6	4	10	43	51	46	17	40	37	11	3	2	44	13
Missouri	12.3	55.5	81.9	0.4	0.6	30.5	0.1	10.0	11.4	14.7	16.9	0.2	18.6	25	12	11	10	18	13	17	19	18	12	12	31	9
Montana	11.4	51.5	74.7	0.5	1.0	28.1	0.1	9.0	5.0	11.0	7.6	0.3	9.2	41	17	45	8	6	24	17	26	45	40	30	20	35
Nebraska	13.1	55.0	79.5	0.4	0.5	25.7	0.0	9.5	10.2	14.2	15.4	0.2	20.3	14	13	26	10	26	36	40	23	24	19	15	31	5
Nevada	11.1	31.8	82.4	0.3	0.5	27.9	0.1	2.8	4.8	12.0	3.8	0.4	6.2	44	35	7	19	26	26	17	52	46	31	39	11	41
New Hampshire	13.1	28.0	80.1	0.2	0.8	27.3	0.1	6.9	12.6	12.0	4.6	0.3	7.2	14	38	19	24	12	28	17	42	13	31	38	20	39
New Jersey	12.3	14.6	81.6	0.2	0.3	26.7	0.4	14.7	8.1	11.5	2.8	1.0	5.1	25	49	13	24	46	30	4	1	35	38	44	2	45
New Mexico	12.0	50.8	70.7	0.2	0.5	26.2	0.1	9.6	4.0	10.0	12.6	0.2	15.6	33	20	49	24	26	33	17	22	49	46	24	31	20
